date,ts,exit_ts,strat,dir,pnl_1c,mae_1c
2020-12-16,2020-12-16T19:20:00-05:00,2020-12-17T03:20:00-05:00,OD,LONG,1315.0,-115.0
2020-12-17,2020-12-17T09:35:00-05:00,2020-12-17T10:05:00-05:00,FB,LONG,-655.0,-680.0
2020-12-17,2020-12-17T19:20:00-05:00,2020-12-17T21:40:00-05:00,OD,LONG,-465.0,-560.0
2020-12-18,2020-12-18T11:40:00-05:00,2020-12-18T15:00:00-05:00,RV,SHORT,585.0,-640.0
2020-12-20,2020-12-20T19:20:00-05:00,2020-12-21T02:00:00-05:00,OD,LONG,-285.0,-215.0
2020-12-21,2020-12-21T12:55:00-05:00,2020-12-21T14:00:00-05:00,FB,LONG,805.0,-125.0
2020-12-21,2020-12-21T19:20:00-05:00,2020-12-21T23:40:00-05:00,OD,LONG,-270.0,-410.0
2020-12-22,2020-12-22T10:00:00-05:00,2020-12-22T10:20:00-05:00,RV,LONG,-1067.5298069886412,-1215.0
2020-12-22,2020-12-22T19:20:00-05:00,2020-12-22T19:40:00-05:00,OD,LONG,-1345.0,-580.0
2020-12-23,2020-12-23T19:20:00-05:00,2020-12-24T08:00:00-05:00,OD,LONG,265.0,-400.0
2020-12-24,2020-12-24T10:30:00-05:00,2020-12-24T13:15:00-05:00,FB,LONG,-170.0,-935.0
2020-12-27,2020-12-27T19:20:00-05:00,2020-12-28T03:00:00-05:00,OD,LONG,810.0,-20.0
2020-12-28,2020-12-28T19:20:00-05:00,2020-12-29T05:00:00-05:00,OD,LONG,505.0,-55.0
2020-12-29,2020-12-29T13:00:00-05:00,2020-12-29T16:20:00-05:00,B2,LONG,210.0,-545.0
2020-12-29,2020-12-29T19:20:00-05:00,2020-12-30T07:00:00-05:00,OD,LONG,935.0,-150.0
2020-12-30,2020-12-30T11:00:00-05:00,2020-12-30T15:00:00-05:00,RV,SHORT,75.0,-375.0
2020-12-30,2020-12-30T19:20:00-05:00,2020-12-30T23:20:00-05:00,OD,LONG,-245.0,-415.0
2020-12-31,2020-12-31T12:20:00-05:00,2020-12-31T15:00:00-05:00,RV,SHORT,-520.0,-630.0
2021-01-03,2021-01-03T19:20:00-05:00,2021-01-04T02:00:00-05:00,OD,LONG,1560.0,-450.0
2021-01-04,2021-01-04T19:20:00-05:00,2021-01-04T22:40:00-05:00,OD,LONG,130.0,-25.0
2021-01-05,2021-01-05T09:40:00-05:00,2021-01-05T14:40:00-05:00,RV,SHORT,-1397.2406816937655,-1500.0
2021-01-05,2021-01-05T19:20:00-05:00,2021-01-05T19:40:00-05:00,OD,LONG,-365.0,-0.0
2021-01-06,2021-01-06T10:25:00-05:00,2021-01-06T14:00:00-05:00,FB,LONG,1340.0,-235.0
2021-01-06,2021-01-06T19:20:00-05:00,2021-01-07T02:00:00-05:00,OD,LONG,1455.0,-160.0
2021-01-07,2021-01-07T09:40:00-05:00,2021-01-07T10:20:00-05:00,RV,LONG,1349.418586356478,-350.0
2021-01-07,2021-01-07T10:05:00-05:00,2021-01-07T14:00:00-05:00,FB,LONG,810.0,-255.0
2021-01-07,2021-01-07T19:20:00-05:00,2021-01-08T04:20:00-05:00,OD,LONG,245.0,-145.0
2021-01-08,2021-01-08T12:00:00-05:00,2021-01-08T13:40:00-05:00,B2,LONG,-1300.0,-1860.0
2021-01-10,2021-01-10T19:20:00-05:00,2021-01-10T21:00:00-05:00,OD,LONG,-865.0,-475.0
2021-01-11,2021-01-11T10:30:00-05:00,2021-01-11T14:40:00-05:00,B2,LONG,-1515.0,-1640.0
2021-01-11,2021-01-11T19:20:00-05:00,2021-01-11T23:20:00-05:00,OD,LONG,-575.0,-580.0
2021-01-12,2021-01-12T09:40:00-05:00,2021-01-12T10:00:00-05:00,RV,SHORT,1048.8898913986486,-70.0
2021-01-12,2021-01-12T11:20:00-05:00,2021-01-12T12:20:00-05:00,RV,SHORT,1411.7214078343022,-95.0
2021-01-12,2021-01-12T12:40:00-05:00,2021-01-12T14:20:00-05:00,RV,SHORT,-1703.353944428236,-1665.0
2021-01-12,2021-01-12T19:20:00-05:00,2021-01-13T05:20:00-05:00,OD,LONG,-330.0,-200.0
2021-01-13,2021-01-13T09:35:00-05:00,2021-01-13T14:00:00-05:00,FB,LONG,1505.0,-750.0
2021-01-13,2021-01-13T10:00:00-05:00,2021-01-13T11:20:00-05:00,RV,LONG,1286.578493928173,-865.0
2021-01-13,2021-01-13T14:05:00-05:00,2021-01-13T16:20:00-05:00,B2,LONG,-475.0,-755.0
2021-01-13,2021-01-13T19:20:00-05:00,2021-01-13T21:40:00-05:00,OD,LONG,-190.0,-85.0
2021-01-14,2021-01-14T10:35:00-05:00,2021-01-14T12:10:00-05:00,FB,LONG,-680.0,-780.0
2021-01-14,2021-01-14T19:20:00-05:00,2021-01-14T22:40:00-05:00,OD,LONG,-625.0,-895.0
2021-01-15,2021-01-15T10:40:00-05:00,2021-01-15T11:20:00-05:00,RV,SHORT,1562.800495467818,-190.0
2021-01-17,2021-01-17T19:20:00-05:00,2021-01-18T06:00:00-05:00,OD,LONG,1225.0,-60.0
2021-01-18,2021-01-18T19:20:00-05:00,2021-01-18T22:20:00-05:00,OD,LONG,1805.0,-50.0
2021-01-19,2021-01-19T12:40:00-05:00,2021-01-19T14:00:00-05:00,FB,LONG,1135.0,-150.0
2021-01-19,2021-01-19T19:20:00-05:00,2021-01-20T07:20:00-05:00,OD,LONG,1060.0,-435.0
2021-01-20,2021-01-20T09:35:00-05:00,2021-01-20T14:00:00-05:00,FB,LONG,2715.0,-10.0
2021-01-20,2021-01-20T10:20:00-05:00,2021-01-20T13:20:00-05:00,RV,LONG,1074.2457527784427,-425.0
2021-01-20,2021-01-20T19:20:00-05:00,2021-01-21T01:20:00-05:00,OD,LONG,740.0,-25.0
2021-01-21,2021-01-21T10:20:00-05:00,2021-01-21T15:00:00-05:00,RV,LONG,680.0,-1110.0
2021-01-21,2021-01-21T11:00:00-05:00,2021-01-21T14:00:00-05:00,FB,LONG,-430.0,-1400.0
2021-01-21,2021-01-21T19:20:00-05:00,2021-01-21T21:00:00-05:00,OD,LONG,-895.0,-535.0
2021-01-22,2021-01-22T09:35:00-05:00,2021-01-22T14:00:00-05:00,FB,LONG,180.0,-495.0
2021-01-24,2021-01-24T19:20:00-05:00,2021-01-25T02:40:00-05:00,OD,LONG,1435.0,-0.0
2021-01-25,2021-01-25T10:20:00-05:00,2021-01-25T10:50:00-05:00,FB,LONG,-1065.0,-1450.0
2021-01-25,2021-01-25T12:00:00-05:00,2021-01-25T15:00:00-05:00,RV,SHORT,-805.0,-1070.0
2021-01-25,2021-01-25T19:20:00-05:00,2021-01-25T23:20:00-05:00,OD,LONG,-1440.0,-735.0
2021-01-26,2021-01-26T09:35:00-05:00,2021-01-26T09:40:00-05:00,FB,LONG,-795.0,-790.0
2021-01-26,2021-01-26T19:20:00-05:00,2021-01-27T03:00:00-05:00,OD,LONG,-460.0,-430.0
2021-01-27,2021-01-27T12:20:00-05:00,2021-01-27T14:40:00-05:00,RV,SHORT,2507.3424273691853,-820.0
2021-01-27,2021-01-27T14:50:00-05:00,2021-01-27T15:40:00-05:00,B2,SHORT,1217.9160329446133,-245.0
2021-01-27,2021-01-27T19:20:00-05:00,2021-01-27T23:20:00-05:00,OD,LONG,455.0,-410.0
2021-01-28,2021-01-28T09:35:00-05:00,2021-01-28T14:00:00-05:00,FB,LONG,4260.0,-690.0
2021-01-28,2021-01-28T19:20:00-05:00,2021-01-28T20:40:00-05:00,OD,LONG,-1555.0,-1325.0
2021-01-31,2021-01-31T19:20:00-05:00,2021-01-31T22:40:00-05:00,OD,LONG,2210.0,-760.0
2021-02-01,2021-02-01T10:45:00-05:00,2021-02-01T14:00:00-05:00,FB,LONG,2890.0,-1490.0
2021-02-01,2021-02-01T13:25:00-05:00,2021-02-01T16:20:00-05:00,B2,LONG,-1120.0,-1165.0
2021-02-01,2021-02-01T19:20:00-05:00,2021-02-01T21:20:00-05:00,OD,LONG,2375.0,-220.0
2021-02-02,2021-02-02T09:40:00-05:00,2021-02-02T12:00:00-05:00,RV,LONG,1192.9116718387377,-450.0
2021-02-02,2021-02-02T09:50:00-05:00,2021-02-02T14:00:00-05:00,FB,LONG,1120.0,-950.0
2021-02-02,2021-02-02T10:05:00-05:00,2021-02-02T10:40:00-05:00,B2,LONG,440.0,-345.0
2021-02-02,2021-02-02T19:20:00-05:00,2021-02-03T02:40:00-05:00,OD,LONG,1745.0,-20.0
2021-02-03,2021-02-03T10:00:00-05:00,2021-02-03T10:20:00-05:00,RV,LONG,-1286.9908766575463,-1935.0
2021-02-03,2021-02-03T19:20:00-05:00,2021-02-03T22:20:00-05:00,OD,LONG,-715.0,-560.0
2021-02-04,2021-02-04T13:15:00-05:00,2021-02-04T14:00:00-05:00,FB,LONG,-60.0,-130.0
2021-02-04,2021-02-04T19:20:00-05:00,2021-02-05T03:40:00-05:00,OD,LONG,650.0,-420.0
2021-02-05,2021-02-05T11:00:00-05:00,2021-02-05T13:00:00-05:00,RV,LONG,1164.2991772918322,-545.0
2021-02-07,2021-02-07T19:20:00-05:00,2021-02-08T02:40:00-05:00,OD,LONG,420.0,-45.0
2021-02-08,2021-02-08T10:00:00-05:00,2021-02-08T11:40:00-05:00,RV,LONG,-867.7202164527989,-1210.0
2021-02-08,2021-02-08T11:00:00-05:00,2021-02-08T11:15:00-05:00,FB,LONG,-470.0,-555.0
2021-02-08,2021-02-08T12:00:00-05:00,2021-02-08T15:00:00-05:00,RV,SHORT,-180.0,-420.0
2021-02-08,2021-02-08T19:20:00-05:00,2021-02-09T02:00:00-05:00,OD,LONG,-35.0,-285.0
2021-02-09,2021-02-09T10:00:00-05:00,2021-02-09T14:00:00-05:00,FB,LONG,-660.0,-845.0
2021-02-09,2021-02-09T10:00:00-05:00,2021-02-09T14:00:00-05:00,RV,LONG,-842.6839968289642,-845.0
2021-02-09,2021-02-09T12:10:00-05:00,2021-02-09T16:20:00-05:00,B2,LONG,-115.0,-690.0
2021-02-09,2021-02-09T19:20:00-05:00,2021-02-10T02:20:00-05:00,OD,LONG,1535.0,-45.0
2021-02-10,2021-02-10T10:35:00-05:00,2021-02-10T11:00:00-05:00,B2,SHORT,1086.4154323318144,-775.0
2021-02-10,2021-02-10T14:40:00-05:00,2021-02-10T15:00:00-05:00,RV,SHORT,-95.0,-205.0
2021-02-10,2021-02-10T19:20:00-05:00,2021-02-11T04:40:00-05:00,OD,LONG,1355.0,-510.0
2021-02-11,2021-02-11T14:55:00-05:00,2021-02-11T16:20:00-05:00,B2,LONG,650.0,-130.0
2021-02-11,2021-02-11T19:20:00-05:00,2021-02-12T02:40:00-05:00,OD,LONG,-675.0,-595.0
2021-02-12,2021-02-12T12:05:00-05:00,2021-02-12T14:00:00-05:00,FB,LONG,-545.0,-735.0
2021-02-14,2021-02-14T19:20:00-05:00,2021-02-15T01:40:00-05:00,OD,LONG,-160.0,-145.0
2021-02-15,2021-02-15T19:20:00-05:00,2021-02-16T00:20:00-05:00,OD,LONG,305.0,-20.0
2021-02-16,2021-02-16T10:00:00-05:00,2021-02-16T11:20:00-05:00,RV,SHORT,888.1288313823097,-450.0
2021-02-16,2021-02-16T14:20:00-05:00,2021-02-16T15:00:00-05:00,RV,SHORT,280.0,-235.0
2021-02-16,2021-02-16T19:20:00-05:00,2021-02-17T03:00:00-05:00,OD,LONG,365.0,-460.0
2021-02-17,2021-02-17T10:00:00-05:00,2021-02-17T10:40:00-05:00,RV,SHORT,1362.9951696575515,-345.0
2021-02-17,2021-02-17T11:00:00-05:00,2021-02-17T11:20:00-05:00,RV,SHORT,1697.529295822751,-110.0
2021-02-17,2021-02-17T11:35:00-05:00,2021-02-17T14:20:00-05:00,B2,SHORT,-2135.0,-2490.0
2021-02-17,2021-02-17T12:00:00-05:00,2021-02-17T15:00:00-05:00,RV,SHORT,-1160.0,-1805.0
2021-02-17,2021-02-17T19:20:00-05:00,2021-02-17T20:20:00-05:00,OD,LONG,-545.0,-105.0
2021-02-18,2021-02-18T12:15:00-05:00,2021-02-18T13:40:00-05:00,B2,LONG,1342.3796181967557,-135.0
2021-02-18,2021-02-18T14:35:00-05:00,2021-02-18T16:20:00-05:00,B2,LONG,240.0,-365.0
2021-02-18,2021-02-18T19:20:00-05:00,2021-02-18T20:20:00-05:00,OD,LONG,-920.0,-130.0
2021-02-21,2021-02-21T19:20:00-05:00,2021-02-21T21:20:00-05:00,OD,LONG,-720.0,-585.0
2021-02-22,2021-02-22T10:05:00-05:00,2021-02-22T10:20:00-05:00,FB,LONG,-970.0,-1445.0
2021-02-22,2021-02-22T11:20:00-05:00,2021-02-22T15:00:00-05:00,RV,SHORT,55.0,-1080.0
2021-02-22,2021-02-22T11:50:00-05:00,2021-02-22T15:40:00-05:00,B2,SHORT,1678.191452205283,-1240.0
2021-02-22,2021-02-22T19:20:00-05:00,2021-02-22T23:20:00-05:00,OD,LONG,2145.0,-155.0
2021-02-23,2021-02-23T10:20:00-05:00,2021-02-23T11:00:00-05:00,RV,SHORT,-2591.854474123611,-2925.0
2021-02-23,2021-02-23T11:05:00-05:00,2021-02-23T11:55:00-05:00,FB,LONG,-2970.0,-2985.0
2021-02-23,2021-02-23T19:20:00-05:00,2021-02-23T22:00:00-05:00,OD,LONG,-160.0,-165.0
2021-02-24,2021-02-24T19:20:00-05:00,2021-02-25T02:20:00-05:00,OD,LONG,-600.0,-905.0
2021-02-25,2021-02-25T14:20:00-05:00,2021-02-25T15:00:00-05:00,RV,SHORT,1865.0,-345.0
2021-02-25,2021-02-25T19:20:00-05:00,2021-02-25T21:20:00-05:00,OD,LONG,2080.0,-390.0
2021-02-26,2021-02-26T12:10:00-05:00,2021-02-26T14:00:00-05:00,FB,LONG,-1945.0,-2270.0
2021-02-26,2021-02-26T12:15:00-05:00,2021-02-26T16:20:00-05:00,B2,LONG,-3645.0,-4315.0
2021-02-28,2021-02-28T19:20:00-05:00,2021-03-01T02:00:00-05:00,OD,LONG,1965.0,-170.0
2021-03-01,2021-03-01T10:20:00-05:00,2021-03-01T14:00:00-05:00,FB,LONG,1520.0,-100.0
2021-03-01,2021-03-01T19:20:00-05:00,2021-03-01T20:40:00-05:00,OD,LONG,-670.0,-665.0
2021-03-02,2021-03-02T11:00:00-05:00,2021-03-02T15:00:00-05:00,RV,SHORT,255.0,-730.0
2021-03-02,2021-03-02T19:20:00-05:00,2021-03-03T02:20:00-05:00,OD,LONG,1660.0,-510.0
2021-03-03,2021-03-03T10:40:00-05:00,2021-03-03T14:00:00-05:00,RV,SHORT,2056.641796551885,-1805.0
2021-03-03,2021-03-03T12:00:00-05:00,2021-03-03T13:20:00-05:00,B2,SHORT,730.0,-295.0
2021-03-03,2021-03-03T19:20:00-05:00,2021-03-03T21:40:00-05:00,OD,LONG,-700.0,-790.0
2021-03-04,2021-03-04T10:15:00-05:00,2021-03-04T11:00:00-05:00,B2,LONG,2457.308983457806,-1175.0
2021-03-04,2021-03-04T12:05:00-05:00,2021-03-04T12:25:00-05:00,FB,LONG,-2375.0,-3290.0
2021-03-04,2021-03-04T19:20:00-05:00,2021-03-05T02:20:00-05:00,OD,LONG,200.0,-1545.0
2021-03-05,2021-03-05T13:40:00-05:00,2021-03-05T14:00:00-05:00,FB,LONG,-290.0,-960.0
2021-03-07,2021-03-07T19:20:00-05:00,2021-03-07T21:20:00-05:00,OD,LONG,-1065.0,-645.0
2021-03-08,2021-03-08T10:35:00-05:00,2021-03-08T11:45:00-05:00,FB,LONG,-3210.0,-3440.0
2021-03-08,2021-03-08T19:20:00-05:00,2021-03-09T01:20:00-05:00,OD,LONG,430.0,-965.0
2021-03-09,2021-03-09T10:00:00-05:00,2021-03-09T13:20:00-05:00,RV,LONG,1953.2608987806448,-415.0
2021-03-09,2021-03-09T11:20:00-05:00,2021-03-09T13:20:00-05:00,B2,LONG,1835.9428068305715,-220.0
2021-03-09,2021-03-09T12:00:00-05:00,2021-03-09T14:00:00-05:00,FB,LONG,2140.0,-235.0
2021-03-09,2021-03-09T19:20:00-05:00,2021-03-09T20:20:00-05:00,OD,LONG,-870.0,-355.0
2021-03-10,2021-03-10T19:20:00-05:00,2021-03-11T01:40:00-05:00,OD,LONG,2205.0,-740.0
2021-03-11,2021-03-11T19:20:00-05:00,2021-03-11T21:20:00-05:00,OD,LONG,-940.0,-400.0
2021-03-14,2021-03-14T19:20:00-04:00,2021-03-14T22:40:00-04:00,OD,LONG,70.0,-0.0
2021-03-15,2021-03-15T19:20:00-04:00,2021-03-16T02:40:00-04:00,OD,LONG,1670.0,-390.0
2021-03-16,2021-03-16T10:00:00-04:00,2021-03-16T14:00:00-04:00,FB,LONG,-905.0,-1280.0
2021-03-16,2021-03-16T10:10:00-04:00,2021-03-16T11:40:00-04:00,B2,LONG,370.0,-385.0
2021-03-16,2021-03-16T14:05:00-04:00,2021-03-16T14:40:00-04:00,B2,LONG,-1820.0,-1930.0
2021-03-16,2021-03-16T19:20:00-04:00,2021-03-16T21:20:00-04:00,OD,LONG,-1050.0,-1320.0
2021-03-17,2021-03-17T10:00:00-04:00,2021-03-17T12:00:00-04:00,RV,SHORT,1610.3375084902657,-775.0
2021-03-17,2021-03-17T14:20:00-04:00,2021-03-17T15:00:00-04:00,RV,LONG,2275.0,-1045.0
2021-03-17,2021-03-17T19:20:00-04:00,2021-03-17T23:00:00-04:00,OD,LONG,125.0,-10.0
2021-03-18,2021-03-18T19:20:00-04:00,2021-03-18T22:40:00-04:00,OD,LONG,-265.0,-685.0
2021-03-19,2021-03-19T10:40:00-04:00,2021-03-19T15:00:00-04:00,RV,SHORT,-1160.0,-1510.0
2021-03-21,2021-03-21T19:20:00-04:00,2021-03-22T06:00:00-04:00,OD,LONG,1780.0,-640.0
2021-03-22,2021-03-22T09:40:00-04:00,2021-03-22T11:00:00-04:00,RV,LONG,1204.8592483344328,-715.0
2021-03-22,2021-03-22T09:50:00-04:00,2021-03-22T14:00:00-04:00,FB,LONG,3155.0,-20.0
2021-03-22,2021-03-22T10:10:00-04:00,2021-03-22T11:00:00-04:00,B2,LONG,1178.2440786247755,-420.0
2021-03-22,2021-03-22T19:20:00-04:00,2021-03-22T20:20:00-04:00,OD,LONG,-200.0,-195.0
2021-03-23,2021-03-23T11:00:00-04:00,2021-03-23T15:00:00-04:00,RV,LONG,-1630.0,-1645.0
2021-03-23,2021-03-23T19:20:00-04:00,2021-03-23T22:00:00-04:00,OD,LONG,340.0,-25.0
2021-03-24,2021-03-24T10:40:00-04:00,2021-03-24T11:20:00-04:00,RV,SHORT,-1550.7661659050427,-1545.0
2021-03-24,2021-03-24T19:20:00-04:00,2021-03-24T21:00:00-04:00,OD,LONG,-445.0,-365.0
2021-03-25,2021-03-25T09:40:00-04:00,2021-03-25T11:00:00-04:00,RV,SHORT,1569.7948584040205,-1090.0
2021-03-25,2021-03-25T19:20:00-04:00,2021-03-26T02:20:00-04:00,OD,LONG,1330.0,-460.0
2021-03-26,2021-03-26T09:35:00-04:00,2021-03-26T14:00:00-04:00,FB,LONG,220.0,-600.0
2021-03-26,2021-03-26T10:40:00-04:00,2021-03-26T11:40:00-04:00,RV,LONG,-1745.021672697003,-1760.0
2021-03-28,2021-03-28T19:20:00-04:00,2021-03-28T21:00:00-04:00,OD,LONG,-1600.0,-1255.0
2021-03-29,2021-03-29T13:15:00-04:00,2021-03-29T14:00:00-04:00,FB,LONG,-725.0,-860.0
2021-03-29,2021-03-29T19:20:00-04:00,2021-03-29T21:00:00-04:00,OD,LONG,-760.0,-705.0
2021-03-30,2021-03-30T19:20:00-04:00,2021-03-30T22:20:00-04:00,OD,LONG,10.0,-45.0
2021-03-31,2021-03-31T09:40:00-04:00,2021-03-31T10:00:00-04:00,RV,LONG,984.3440699313214,-15.0
2021-03-31,2021-03-31T09:55:00-04:00,2021-03-31T14:00:00-04:00,FB,LONG,1635.0,-90.0
2021-03-31,2021-03-31T19:20:00-04:00,2021-04-01T03:00:00-04:00,OD,LONG,1190.0,-75.0
2021-04-01,2021-04-01T09:40:00-04:00,2021-04-01T15:00:00-04:00,RV,LONG,220.0,-595.0
2021-04-01,2021-04-01T09:55:00-04:00,2021-04-01T14:00:00-04:00,FB,LONG,-210.0,-625.0
2021-04-01,2021-04-01T19:20:00-04:00,2021-04-02T01:40:00-04:00,OD,LONG,315.0,-15.0
2021-04-04,2021-04-04T19:20:00-04:00,2021-04-04T20:00:00-04:00,OD,LONG,125.0,-55.0
2021-04-05,2021-04-05T09:50:00-04:00,2021-04-05T14:00:00-04:00,FB,LONG,2425.0,-395.0
2021-04-05,2021-04-05T10:00:00-04:00,2021-04-05T10:40:00-04:00,RV,LONG,1046.387249330619,-375.0
2021-04-05,2021-04-05T19:20:00-04:00,2021-04-05T21:00:00-04:00,OD,LONG,-600.0,-405.0
2021-04-06,2021-04-06T10:00:00-04:00,2021-04-06T12:00:00-04:00,RV,LONG,1082.9734828188884,-650.0
2021-04-06,2021-04-06T12:00:00-04:00,2021-04-06T13:20:00-04:00,FB,LONG,-1580.0,-1580.0
2021-04-06,2021-04-06T13:35:00-04:00,2021-04-06T15:40:00-04:00,B2,LONG,295.0,-55.0
2021-04-06,2021-04-06T19:20:00-04:00,2021-04-06T21:40:00-04:00,OD,LONG,-695.0,-355.0
2021-04-07,2021-04-07T10:15:00-04:00,2021-04-07T14:00:00-04:00,FB,LONG,-185.0,-880.0
2021-04-07,2021-04-07T19:20:00-04:00,2021-04-07T23:40:00-04:00,OD,LONG,1640.0,-35.0
2021-04-08,2021-04-08T19:20:00-04:00,2021-04-08T21:40:00-04:00,OD,LONG,500.0,-80.0
2021-04-09,2021-04-09T10:00:00-04:00,2021-04-09T12:20:00-04:00,RV,SHORT,-1207.1362725704969,-1165.0
2021-04-11,2021-04-11T19:20:00-04:00,2021-04-12T06:20:00-04:00,OD,LONG,-320.0,-675.0
2021-04-12,2021-04-12T10:20:00-04:00,2021-04-12T11:00:00-04:00,RV,LONG,-1070.4049905043212,-1350.0
2021-04-12,2021-04-12T13:05:00-04:00,2021-04-12T13:45:00-04:00,FB,LONG,-690.0,-755.0
2021-04-12,2021-04-12T19:20:00-04:00,2021-04-12T23:40:00-04:00,OD,LONG,-170.0,-165.0
2021-04-13,2021-04-13T09:40:00-04:00,2021-04-13T15:00:00-04:00,RV,LONG,690.0,-950.0
2021-04-13,2021-04-13T10:30:00-04:00,2021-04-13T14:00:00-04:00,FB,LONG,180.0,-835.0
2021-04-13,2021-04-13T19:20:00-04:00,2021-04-13T22:40:00-04:00,OD,LONG,-30.0,-55.0
2021-04-14,2021-04-14T12:00:00-04:00,2021-04-14T14:00:00-04:00,RV,SHORT,1170.4000297798848,-215.0
2021-04-14,2021-04-14T14:40:00-04:00,2021-04-14T15:00:00-04:00,RV,SHORT,715.0,-280.0
2021-04-14,2021-04-14T19:20:00-04:00,2021-04-14T22:40:00-04:00,OD,LONG,-620.0,-630.0
2021-04-15,2021-04-15T09:40:00-04:00,2021-04-15T13:20:00-04:00,RV,LONG,965.8644322220788,-730.0
2021-04-15,2021-04-15T10:30:00-04:00,2021-04-15T14:00:00-04:00,FB,LONG,480.0,-910.0
2021-04-15,2021-04-15T10:30:00-04:00,2021-04-15T16:00:00-04:00,B2,LONG,385.0,-910.0
2021-04-15,2021-04-15T19:20:00-04:00,2021-04-15T20:40:00-04:00,OD,LONG,-455.0,-485.0
2021-04-18,2021-04-18T19:20:00-04:00,2021-04-19T04:00:00-04:00,OD,LONG,515.0,-500.0
2021-04-19,2021-04-19T11:25:00-04:00,2021-04-19T12:20:00-04:00,B2,SHORT,1358.1508094927267,-320.0
2021-04-19,2021-04-19T12:30:00-04:00,2021-04-19T16:20:00-04:00,B2,SHORT,-795.0,-1020.0
2021-04-19,2021-04-19T19:20:00-04:00,2021-04-20T02:40:00-04:00,OD,LONG,-250.0,-165.0
2021-04-20,2021-04-20T09:55:00-04:00,2021-04-20T10:45:00-04:00,FB,LONG,-1480.0,-1995.0
2021-04-20,2021-04-20T12:20:00-04:00,2021-04-20T15:00:00-04:00,RV,SHORT,1130.0,-130.0
2021-04-20,2021-04-20T12:45:00-04:00,2021-04-20T16:20:00-04:00,B2,SHORT,425.0,-990.0
2021-04-20,2021-04-20T19:20:00-04:00,2021-04-20T22:00:00-04:00,OD,LONG,-450.0,-335.0
2021-04-21,2021-04-21T10:00:00-04:00,2021-04-21T11:40:00-04:00,RV,LONG,1332.4016963389297,-855.0
2021-04-21,2021-04-21T10:25:00-04:00,2021-04-21T14:00:00-04:00,FB,LONG,1200.0,-605.0
2021-04-21,2021-04-21T13:05:00-04:00,2021-04-21T16:00:00-04:00,B2,LONG,1233.1547930213492,-90.0
2021-04-21,2021-04-21T19:20:00-04:00,2021-04-22T05:20:00-04:00,OD,LONG,345.0,-295.0
2021-04-22,2021-04-22T10:50:00-04:00,2021-04-22T12:10:00-04:00,FB,LONG,-805.0,-790.0
