bm,norm,zlook,ema,hz,sl,tp,rr,is_pf,is_wr,oos_pf,oos_wr,tot_t,tot_pf,tot_wr,tot_pnl,tot_mdd
15,100,75,80,1.85,1.5,2.0,1.333,1.051953263705375,46.641386782231855,1.1820868061229677,48.59504132231405,2451,1.0898679786198067,47.12362301101591,119781.37997033159,-34407.79108115133
15,100,75,80,1.85,1.5,2.5,1.667,1.0099071402580864,42.60722347629797,1.1916267935307756,44.027303754266214,2358,1.0629132309781433,42.96013570822731,86507.79312662617,-43196.783727754955
15,100,75,80,1.85,1.5,3.0,2.0,1.0113781124629233,40.141676505312866,1.0657040197820173,39.750445632798574,2255,1.0276126994215933,40.04434589800444,38037.40632225417,-43601.262760804966
15,100,75,80,1.85,2.0,2.0,1.0,1.053700311446048,52.133794694348325,1.1670221885533845,53.06479859894921,2305,1.0865878416755217,52.364425162689805,119928.10551232669,-41473.97861124514
15,100,75,80,1.85,2.0,2.5,1.25,1.0076437955261324,48.02671523983,1.1822564269829425,48.91304347826087,2199,1.05841236939622,48.249204183719876,83790.30222415226,-57671.1658547206
15,100,75,80,1.85,2.0,3.0,1.5,1.0101172804374754,45.66326530612245,1.0488722634378185,44.083969465648856,2092,1.021742854967434,45.267686424474185,31328.30450877769,-59130.1004320609
15,100,75,80,1.9,1.5,2.0,1.333,1.051587150544857,46.717724288840266,1.1932505228074135,48.739495798319325,2423,1.0925812821810679,47.214197276104,122207.60519836284,-35679.42031696964
15,100,75,80,1.9,1.5,2.5,1.667,1.0081759746540901,42.67806267806268,1.2148984450908924,44.463667820069205,2333,1.0679743089663507,43.12044577796828,92566.19074731949,-47759.85892222114
15,100,75,80,1.9,1.5,3.0,2.0,1.0101508524596214,40.20250148898154,1.084684219063248,40.14466546112116,2232,1.0322366742944233,40.18817204301075,44004.63047330068,-45922.550633604515
15,100,75,80,1.9,2.0,2.0,1.0,1.0510557080640675,52.093023255813954,1.1789159975456331,53.10834813499112,2283,1.0879119235303478,52.34340779675865,120926.71084517613,-42812.450320926466
15,100,75,80,1.9,2.0,2.5,1.25,1.0058451947349172,48.041615667074666,1.2101530632646635,49.26739926739927,2180,1.064724524755779,48.34862385321101,92101.58879587369,-62276.325707700016
15,100,75,80,1.9,2.0,3.0,1.5,1.007094752999174,45.69408740359897,1.074600686874497,44.4015444015444,2074,1.0271729520212263,45.37126325940212,38849.74314471252,-64770.49194211959
15,100,75,80,1.95,1.5,2.0,1.333,1.0483706594986073,46.8767274737424,1.2050531415499999,49.05982905982906,2394,1.0932228782091564,47.41019214703425,121599.48097404354,-35273.169658933155
15,100,75,80,1.95,1.5,2.5,1.667,1.007201713656024,42.890040299366724,1.2249156621827864,44.71830985915493,2305,1.0695999363259214,43.34056399132321,93576.72548026283,-50598.079319973585
15,100,75,80,1.95,1.5,3.0,2.0,1.020070129848149,40.638169777242624,1.0881083767203028,40.36697247706422,2206,1.040138597125589,40.57116953762466,54016.02987388618,-44805.70301874668
15,100,75,80,1.95,2.0,2.0,1.0,1.049279377568791,52.2887323943662,1.1866757031572859,53.34538878842676,2257,1.0884228382432455,52.54762959680993,120266.99644504198,-40091.61974293452
15,100,75,80,1.95,2.0,2.5,1.25,1.007057526643703,48.27160493827161,1.2154121536102607,49.440298507462686,2156,1.066521605460644,48.5621521335807,93484.18083257147,-61744.093563508395
15,100,75,80,1.95,2.0,3.0,1.5,1.0167681099437074,46.10894941634241,1.0714912111888348,44.509803921568626,2052,1.0329659195442173,45.71150097465887,46508.74610693478,-66305.25602820172
15,100,75,80,2.0,1.5,2.0,1.333,1.0576006294902494,47.00280112044818,1.2108114195984578,49.13793103448276,2365,1.1016143076428622,47.526427061310784,130654.71460667698,-33084.71437806124
15,100,75,80,2.0,1.5,2.5,1.667,1.0160192287817607,43.02393461762989,1.2337429363945587,44.83985765124555,2275,1.0786049342910635,43.472527472527474,104232.04837717177,-43876.946594244946
15,100,75,80,2.0,1.5,3.0,2.0,1.0317422286872393,40.73170731707317,1.0945316066143995,40.44526901669759,2179,1.0503032463416362,40.660853602569986,66836.95260459921,-40925.67752799943
15,100,75,80,2.0,2.0,2.0,1.0,1.057042484711399,52.465834818775996,1.184376008201478,53.35753176043557,2234,1.0936939155490064,52.6857654431513,125920.30911811836,-42007.51594420316
15,100,75,80,2.0,2.0,2.5,1.25,1.008703825003675,48.40724547158026,1.2161977609013308,49.530956848030016,2134,1.068318854975168,48.687910028116214,95175.29802896461,-60114.10559382439
15,100,75,80,2.0,2.0,3.0,1.5,1.0170299483906842,46.10347085789129,1.0713096802446995,44.57593688362919,2034,1.0331563441073162,45.72271386430678,46511.94203783252,-66486.37782111339
15,100,175,80,1.0,1.5,2.0,1.333,0.9741906118976408,45.17114914425428,1.2196493631133227,48.69402985074627,2172,1.042755742324812,46.04051565377532,52354.735815230306,-52946.90955611055
15,100,175,80,1.0,1.5,2.5,1.667,0.96513735080318,41.56010230179028,1.1963702470787536,45.19230769230769,2084,1.0303895802140919,42.46641074856046,37666.9978265974,-61721.15622291254
15,100,175,80,1.0,1.5,3.0,2.0,0.9796309559168208,39.786381842456606,1.0746829579994512,40.447154471544714,1990,1.0070549219939462,39.949748743718594,8717.460495250853,-51521.45828058539
15,100,175,80,1.0,2.0,2.0,1.0,0.9746017301404103,50.84525357607282,1.3298811121424834,54.69061876247505,2039,1.0690237894221268,51.79009318293281,86668.369413386,-58050.0864933875
15,100,175,80,1.0,2.0,2.5,1.25,0.9719264303700875,47.563486616334934,1.3031562607517526,50.829875518672196,1939,1.061019031735887,48.375451263537904,77457.87809527776,-70077.93260009412
15,100,175,80,1.0,2.0,3.0,1.5,0.9852277235321231,45.58506819813353,1.180304199709069,45.796460176991154,1845,1.0388655497845236,45.636856368563684,49360.1049539194,-60920.633954371406
15,100,175,80,1.05,1.5,2.0,1.333,0.9673593422100891,45.00941619585687,1.1819611545794597,48.16955684007707,2112,1.0276140283730884,45.78598484848485,33044.2295904053,-50266.820311524716
15,100,175,80,1.05,1.5,2.5,1.667,0.9551405294706722,41.41546526867628,1.21698244845185,45.03968253968254,2030,1.0286905661867662,42.31527093596059,34689.2708466366,-67724.82833480336
15,100,175,80,1.05,1.5,3.0,2.0,0.9658245074665478,39.60463531015678,1.0533399743594551,39.91596638655462,1943,0.9910254839930508,39.680905815748844,-10882.402048254298,-57925.39396551092
15,100,175,80,1.05,2.0,2.0,1.0,0.9727925696468497,50.833889259506336,1.3151693893418066,54.845360824742265,1984,1.0637912878581148,51.814516129032256,77936.75584846787,-57152.09261085525
15,100,175,80,1.05,2.0,2.5,1.25,0.9636982390381523,47.53867791842475,1.3390533796573625,51.17773019271949,1889,1.0638833413945263,48.43832715722605,78773.22290583738,-73442.85366110003
15,100,175,80,1.05,2.0,3.0,1.5,0.9736324683170691,45.59471365638767,1.1680591131595466,45.76659038901602,1799,1.027042524995358,45.636464702612564,33498.66560389557,-61873.477104278645
15,100,175,80,1.1,1.5,2.0,1.333,0.970385621763894,45.00322372662798,1.1643891085244806,47.74066797642436,2060,1.0255212135366931,45.679611650485434,29890.800392694655,-50041.841184077675
15,100,175,80,1.1,1.5,2.5,1.667,0.9572094449399857,41.46014735432016,1.1978512158112633,44.64646464646464,1988,1.0254586906919436,42.25352112676056,30204.826107031586,-66459.96047307593
