bm,norm,zlook,ema,hz,sl,tp,variant,of_p1,of_p2,gamma,is_t,is_pf,is_wr,is_pnl,is_mdd,oos_t,oos_pf,oos_wr,oos_pnl,oos_mdd,tot_t,tot_pf,tot_wr,tot_pnl,tot_mdd
15,275,100,80,1.45,2.5,0.75,window_N10_D100,10,100,drop_pos,1182,1.2867584304907183,75.80372250423012,113539.77440354596,-18679.11517378437,290,1.2538577812666536,74.82758620689656,36286.523883089976,-15373.682377762016,1472,1.2780314261489365,75.61141304347827,149826.29828663595,-18679.11517378437
15,275,100,80,1.45,2.5,0.75,window_N10_D250,10,250,none,522,1.2164863428697794,75.47892720306514,37856.3302059699,-18026.4050122727,70,1.149668122890972,75.71428571428571,4990.006598005202,-9091.062914481081,592,1.2057866757999012,75.50675675675676,42846.3368039751,-18026.4050122727
15,275,100,80,1.45,2.5,0.75,window_N10_D250,10,250,drop_pos,457,1.2359032107021775,75.49234135667396,36264.18574282965,-16009.805379298014,56,1.0001621166293715,75.0,5.190758380049374,-10925.35984377544,513,1.1952659076552072,75.43859649122807,36269.3765012097,-16009.805379298014
15,275,100,80,1.45,2.5,0.75,multi_pd25_K2,25,2,none,1477,1.2484691910782442,74.94922139471902,121930.6479094383,-16154.697042902691,422,1.1999124456768895,74.40758293838863,39772.96696316262,-17585.12644957802,1899,1.2344620179416117,74.82885729331227,161703.6148726009,-17585.126449578005
15,275,100,80,1.45,2.5,0.75,multi_pd25_K2,25,2,drop_pos,1256,1.2732056194459973,75.55732484076434,114657.29924339255,-16154.697042902691,325,1.120915985359467,73.84615384615384,20903.590047474354,-18372.415159477096,1581,1.2287750608143801,75.2055660974067,135560.8892908669,-20914.550927884557
15,275,100,80,1.45,2.5,0.75,multi_pd25_K3,25,3,none,1402,1.2443399225529088,75.03566333808844,114742.72315024934,-17657.448075856446,383,1.1665405280766576,73.1070496083551,31263.742841377898,-16270.209978521598,1785,1.2221213820738628,74.6218487394958,146006.46599162725,-17657.448075856446
15,275,100,80,1.45,2.5,0.75,multi_pd25_K3,25,3,drop_pos,1194,1.2761639887045417,75.79564489112228,110636.6597971496,-16644.678838479595,301,1.1406268120718799,73.421926910299,22527.73016450359,-17057.498688420674,1495,1.2374481689296832,75.31772575250837,133164.38996165319,-20965.887461007733
15,275,100,80,1.45,2.5,0.75,multi_pd25_K4,25,4,none,1320,1.2197081229519389,74.84848484848484,99452.67742416203,-22521.95057707824,353,1.1611334743549788,73.08781869688386,28403.02585567122,-13632.83152205433,1673,1.203291366362531,74.47698744769875,127855.70327983325,-26685.64587172994
15,275,100,80,1.45,2.5,0.75,multi_pd25_K4,25,4,drop_pos,1127,1.2484699143371984,75.42147293700089,96734.51948306905,-19251.767392430265,283,1.1588216837164513,73.85159010600707,23814.639809984656,-14420.120231953406,1410,1.2235427773527259,75.1063829787234,120549.1592930537,-27179.283518507946
15,275,100,80,1.45,2.5,0.75,multi_pd25_K5,25,5,none,1241,1.2208523455375686,75.10072522159548,94756.95936853284,-18255.544582698858,317,1.1285386278781002,72.2397476340694,20877.69488043552,-13632.83152205433,1558,1.1955022871371541,74.5186136071887,115634.65424896836,-22968.439647636624
15,275,100,80,1.45,2.5,0.75,multi_pd25_K5,25,5,drop_pos,1062,1.2345422241403208,75.32956685499059,87488.9095300427,-16902.164484671957,256,1.0942577611259985,72.265625,13442.191023499909,-14420.120231953406,1318,1.195742947281783,74.73444613050076,100931.10055354261,-23350.09214431091
15,275,100,80,1.45,2.5,0.75,multi_pd50_K2,50,2,none,840,1.2380972219045423,75.23809523809524,68920.82265038851,-25247.18430868299,178,1.5549013905548708,75.84269662921348,39892.00882653364,-9330.838028064536,1018,1.3011242080437464,75.34381139489194,108812.83147692215,-25247.18430868299
15,275,100,80,1.45,2.5,0.75,multi_pd50_K2,50,2,drop_pos,727,1.2368016168285574,75.51581843191197,61119.417890630975,-18439.40009246515,144,1.566637727366507,76.38888888888889,35007.322139510725,-7674.136216566112,871,1.3005043662479536,75.6601607347876,96126.7400301417,-18439.40009246515
15,275,100,80,1.45,2.5,0.75,multi_pd50_K3,50,3,none,623,1.2086089665711144,74.95987158908507,45390.81217321898,-18538.35986333852,100,1.5895795594254378,75.0,23622.401241989646,-8026.011306238288,723,1.2678517256699415,74.96542185338866,69013.21341520862,-18538.35986333852
15,275,100,80,1.45,2.5,0.75,multi_pd50_K3,50,3,drop_pos,537,1.2287012828583477,75.41899441340782,43557.022216805235,-19013.646618019266,77,1.4521542582542495,74.02597402597402,16456.346733054525,-6669.003076329755,614,1.2645518224154988,75.2442996742671,60013.36894985976,-19013.646618019266
15,275,100,80,1.45,2.5,0.75,multi_pd50_K4,50,4,none,451,1.2644499310587074,75.16629711751663,40171.63660601473,-17039.814516994848,60,1.4109304494487829,73.33333333333333,11140.491977408965,-7524.011021782935,511,1.2866330246195627,74.95107632093934,51312.12858342369,-17039.814516994848
15,100,100,60,2.0,2.5,0.75,baseline,0,0,none,1412,1.2017589098526904,74.07932011331445,95456.42793734871,-16538.11901447749,476,1.270153678798369,74.78991596638656,53924.71027559346,-14979.727860582789,1888,1.2220525431518885,74.25847457627118,149381.13821294217,-16538.11901447749
15,100,100,60,2.0,2.5,0.75,gamma_only,0,0,drop_pos,1201,1.207253760195595,74.18817651956702,84649.8433054581,-18073.58204410186,370,1.1853652997111237,73.24324324324324,32717.318380891156,-20116.698163095134,1571,1.2006490320547925,73.96562698917887,117367.16168634925,-20116.698163095134
15,100,100,60,2.0,2.5,0.75,window_N3_D100,3,100,none,774,1.1775231362478085,73.25581395348837,46966.89911260626,-16767.39193724483,155,1.5769942562893955,76.12903225806451,33280.73042175922,-12116.407132159511,929,1.2490250278777235,73.73519913885899,80247.62953436548,-16767.39193724483
15,100,100,60,2.0,2.5,0.75,window_N3_D100,3,100,drop_pos,665,1.205682915309836,73.53383458646617,46983.41776923891,-14488.494689580366,120,1.5348225846246222,75.83333333333333,26385.521846360207,-9569.198842155529,785,1.2641436225812144,73.88535031847134,73368.93961559911,-14488.494689580366
15,100,100,60,2.0,2.5,0.75,window_N5_D100,5,100,none,966,1.27061217619196,74.43064182194617,86313.9136912096,-14337.969429430726,248,1.205297421116264,72.58064516129032,23070.112812164225,-15535.701669693226,1214,1.2535958514330068,74.05271828665569,109384.02650337383,-15535.701669693226
15,100,100,60,2.0,2.5,0.75,window_N5_D100,5,100,drop_pos,825,1.274320720181592,74.66666666666667,75787.37330826855,-15507.364720439073,194,1.193738446598678,72.68041237113403,18425.0475754722,-13583.069186070352,1019,1.253685030042724,74.28851815505398,94212.42088374074,-15507.364720439073
15,100,100,60,2.0,2.5,0.75,window_N8_D100,8,100,none,1084,1.2273603907600572,74.16974169741698,83711.2959012549,-17038.352194271538,288,1.2908926658544362,72.91666666666667,37711.30147674143,-16960.90647676334,1372,1.2439049112067997,73.9067055393586,121422.59737799631,-17038.352194271538
15,100,100,60,2.0,2.5,0.75,window_N8_D100,8,100,drop_pos,927,1.2292519417154675,74.32578209277239,73179.62408254624,-14752.1666558355,226,1.269295899598262,73.00884955752213,29948.867566308472,-16132.98707676251,1153,1.2395984298102183,74.0676496097138,103128.49164885472,-16132.98707676251
15,100,100,60,2.0,2.5,0.75,window_N10_D100,10,100,none,1105,1.2314725866990657,74.2081447963801,86490.78628724838,-16620.570331406925,307,1.3139047304376503,74.2671009771987,42360.847038034335,-16274.064370559427,1412,1.253344397811208,74.22096317280453,128851.6333252827,-16620.570331406925
15,100,100,60,2.0,2.5,0.75,window_N10_D100,10,100,drop_pos,945,1.2390309616239221,74.39153439153439,77192.4713234511,-16620.570331406925,240,1.2656100967764674,73.75,31057.769822341434,-16012.925065387317,1185,1.2460964637784242,74.26160337552743,108250.24114579253,-16620.570331406925
15,100,100,60,2.0,2.5,0.75,multi_pd25_K2,25,2,none,1203,1.2248110673324066,74.3142144638404,90951.34041737668,-17077.74764841448,356,1.2198756322315611,73.87640449438203,35973.93274010494,-11913.76148127747,1559,1.2233898789501398,74.2142398973701,126925.2731574816,-17077.74764841448
15,100,100,60,2.0,2.5,0.75,multi_pd25_K2,25,2,drop_pos,1020,1.2327752662751006,74.6078431372549,80817.11651174404,-17077.74764841447,275,1.1399769273847227,73.0909090909091,20074.848046753323,-17037.639563052362,1295,1.2056481162149706,74.28571428571429,100891.96455849735,-17077.74764841447
15,100,100,60,2.0,2.5,0.75,multi_pd25_K3,25,3,none,1139,1.2440959967115548,74.53906935908692,92822.5031452997,-16540.087669583074,322,1.2875635724683614,73.2919254658385,41362.03825841003,-14502.434542758492,1461,1.2560252653889923,74.26420260095824,134184.54140370974,-16540.087669583074
15,100,100,60,2.0,2.5,0.75,multi_pd25_K3,25,3,drop_pos,967,1.2618599962099617,74.9741468459152,85094.55832253661,-16540.08766958308,251,1.242498427577891,73.30677290836654,30216.80630068884,-15217.116896196603,1218,1.2564935774763906,74.63054187192118,115311.36462322545,-16540.08766958308
15,100,100,60,2.0,2.5,0.75,multi_pd25_K4,25,4,none,1073,1.230870488169067,74.55731593662628,83837.49990397863,-18379.688579869442,294,1.2987056911151005,73.12925170068027,39399.46798411256,-9555.369120483083,1367,1.2489449020007217,74.25018288222385,123236.9678880912,-18379.688579869442
15,100,100,60,2.0,2.5,0.75,multi_pd25_K4,25,4,drop_pos,913,1.2338016153401656,74.58926615553122,73722.12606030567,-16595.08766958308,234,1.287136880999876,73.93162393162393,32631.862657579113,-9602.659909348295,1147,1.2479317296861825,74.45510026155188,106353.98871788479,-16595.08766958308
15,100,100,60,2.0,2.5,0.75,multi_pd25_K5,25,5,none,1001,1.2555430106327659,74.92507492507492,86264.17941847086,-17964.01228733521,261,1.2839321791516212,73.1800766283525,33965.91116908523,-12390.227140946809,1262,1.26297108337133,74.56418383518225,120230.09058755607,-17964.01228733521
15,100,100,60,2.0,2.5,0.75,multi_pd25_K5,25,5,drop_pos,856,1.234431394667042,74.53271028037383,70093.53024971271,-16595.08766958308,209,1.2509422618199268,73.20574162679426,26218.66584334355,-12447.119304752414,1065,1.2387069290515142,74.27230046948357,96312.19609305626,-16595.08766958308
15,100,100,60,2.0,2.5,0.75,multi_pd50_K2,50,2,none,684,1.273773992281939,74.70760233918129,62375.24356729511,-15578.070675659765,146,1.712979825987541,76.02739726027397,39210.75937198897,-11177.556829109526,830,1.3591763786791546,74.93975903614458,101586.00293928408,-15578.070675659765
15,100,100,60,2.0,2.5,0.75,multi_pd50_K2,50,2,drop_pos,590,1.2499709257715297,74.57627118644068,51185.07646803373,-13838.693756468783,117,1.730758852084024,76.06837606837607,34324.63353086809,-10436.531673363497,707,1.339680995238667,74.82319660537482,85509.70999890182,-13838.693756468783
