entry_ts,exit_ts,direction,pnl_$,strat,cum,peak,dd
2021-09-27 19:00:00-04:00,2021-09-28 05:20:00-04:00,LONG,-3590.0,OD,67254.12354455977,73744.12354455977,-6490.0
2021-09-28 11:10:00-04:00,2021-09-28 16:20:00-04:00,SHORT,1580.0,B2,68834.12354455977,73744.12354455977,-4910.0
2021-09-28 19:00:00-04:00,2021-09-29 07:00:00-04:00,LONG,2860.0,OD,71694.12354455977,73744.12354455977,-2050.0
2021-09-29 10:00:00-04:00,2021-09-29 11:40:00-04:00,SHORT,1670.7343960164508,RV,73364.85794057621,73744.12354455977,-379.2656039835565
2021-09-29 14:20:00-04:00,2021-09-29 15:00:00-04:00,SHORT,-120.0,RV,73244.85794057621,73744.12354455977,-499.2656039835565
2021-09-29 19:00:00-04:00,2021-09-30 05:00:00-04:00,LONG,1020.0,OD,74264.85794057621,74264.85794057621,0.0
2021-09-30 09:50:00-04:00,2021-09-30 10:35:00-04:00,LONG,-1275.0,FB,72989.85794057621,74264.85794057621,-1275.0
2021-09-30 11:20:00-04:00,2021-09-30 12:00:00-04:00,LONG,-1817.5969910764616,RV,71172.26094949976,74264.85794057621,-3092.5969910764543
2021-09-30 12:05:00-04:00,2021-09-30 16:20:00-04:00,SHORT,525.0,B2,71697.26094949976,74264.85794057621,-2567.5969910764543
2021-09-30 19:00:00-04:00,2021-10-01 05:20:00-04:00,LONG,-2275.0,OD,69422.26094949976,74264.85794057621,-4842.596991076454
2021-10-01 11:00:00-04:00,2021-10-01 13:40:00-04:00,SHORT,-1950.6820243616312,RV,67471.57892513814,74264.85794057621,-6793.279015438078
2021-10-03 19:00:00-04:00,2021-10-04 05:20:00-04:00,LONG,-5150.0,OD,62321.578925138136,74264.85794057621,-11943.279015438078
2021-10-04 10:20:00-04:00,2021-10-04 11:00:00-04:00,SHORT,1738.2942206550797,B2,64059.873145793215,74264.85794057621,-10204.984794782999
2021-10-04 12:00:00-04:00,2021-10-04 15:00:00-04:00,SHORT,-105.0,RV,63954.873145793215,74264.85794057621,-10309.984794782999
2021-10-04 14:15:00-04:00,2021-10-04 16:20:00-04:00,SHORT,-1340.0,B2,62614.873145793215,74264.85794057621,-11649.984794782999
2021-10-04 19:00:00-04:00,2021-10-05 08:00:00-04:00,LONG,615.0,OD,63229.873145793215,74264.85794057621,-11034.984794782999
2021-10-05 10:05:00-04:00,2021-10-05 11:20:00-04:00,LONG,2878.416464724869,B2,66108.28961051808,74264.85794057621,-8156.5683300581295
2021-10-05 09:50:00-04:00,2021-10-05 14:00:00-04:00,LONG,3285.0,FB,69393.28961051808,74264.85794057621,-4871.5683300581295
2021-10-05 19:00:00-04:00,2021-10-06 05:00:00-04:00,LONG,-3910.0,OD,65483.289610518084,74264.85794057621,-8781.56833005813
2021-10-06 09:40:00-04:00,2021-10-06 10:20:00-04:00,LONG,-1658.7508584749594,RV,63824.538752043125,74264.85794057621,-10440.319188533089
2021-10-06 10:50:00-04:00,2021-10-06 14:00:00-04:00,LONG,110.0,FB,63934.538752043125,74264.85794057621,-10330.319188533089
2021-10-06 19:00:00-04:00,2021-10-07 07:20:00-04:00,LONG,5520.0,OD,69454.53875204312,74264.85794057621,-4810.319188533089
2021-10-07 10:35:00-04:00,2021-10-07 14:00:00-04:00,LONG,-645.0,FB,68809.53875204312,74264.85794057621,-5455.319188533089
2021-10-07 13:15:00-04:00,2021-10-07 16:00:00-04:00,LONG,-2075.0,B2,66734.53875204312,74264.85794057621,-7530.319188533089
2021-10-07 19:00:00-04:00,2021-10-08 05:00:00-04:00,LONG,-1115.0,OD,65619.53875204312,74264.85794057621,-8645.319188533089
2021-10-10 19:00:00-04:00,2021-10-11 05:00:00-04:00,LONG,-50.0,OD,65569.53875204312,74264.85794057621,-8695.319188533089
2021-10-11 10:00:00-04:00,2021-10-11 13:40:00-04:00,LONG,-1486.7600249143652,RV,64082.77872712876,74264.85794057621,-10182.079213447454
2021-10-11 09:35:00-04:00,2021-10-11 14:00:00-04:00,LONG,150.0,FB,64232.77872712876,74264.85794057621,-10032.079213447454
2021-10-11 19:00:00-04:00,2021-10-12 08:00:00-04:00,LONG,1665.0,OD,65897.77872712875,74264.85794057621,-8367.079213447461
