label,qual,trades,pf,wr,pnl,mdd,mar,max_qty,avg_qty
streak=1 mult=2.5 maxd=3,fc_only,814,1.3115711476342788,55.896805896805894,187341.05257227574,-22106.639422705513,8.474424763985592,16,1.221130221130221
streak=2 mult=1.5 maxd=1,fc_only,814,1.3047671548899074,55.896805896805894,152892.16043392735,-16957.35503886288,9.016274064176223,2,1.0147420147420148
streak=2 mult=1.5 maxd=2,fc_only,814,1.3047671548899074,55.896805896805894,152892.16043392735,-16957.35503886288,9.016274064176223,2,1.0147420147420148
streak=2 mult=1.5 maxd=3,fc_only,814,1.3047671548899074,55.896805896805894,152892.16043392735,-16957.35503886288,9.016274064176223,2,1.0147420147420148
streak=2 mult=1.5 maxd=4,fc_only,814,1.3047671548899074,55.896805896805894,152892.16043392735,-16957.35503886288,9.016274064176223,2,1.0147420147420148
streak=2 mult=2.0 maxd=1,fc_only,814,1.3047671548899074,55.896805896805894,152892.16043392735,-16957.35503886288,9.016274064176223,2,1.0147420147420148
streak=2 mult=2.0 maxd=2,fc_only,814,1.3155376899951958,55.896805896805894,158295.4014159546,-16957.35503886288,9.334911078595281,4,1.0196560196560196
streak=2 mult=2.0 maxd=3,fc_only,814,1.3155376899951958,55.896805896805894,158295.4014159546,-16957.35503886288,9.334911078595281,4,1.0196560196560196
streak=2 mult=2.0 maxd=4,fc_only,814,1.3155376899951958,55.896805896805894,158295.4014159546,-16957.35503886288,9.334911078595281,4,1.0196560196560196
streak=2 mult=2.5 maxd=1,fc_only,814,1.3047671548899074,55.896805896805894,152892.16043392735,-16957.35503886288,9.016274064176223,2,1.0147420147420148
streak=2 mult=2.5 maxd=2,fc_only,814,1.326308225100484,55.896805896805894,163698.6423979819,-16957.35503886288,9.653548093014342,6,1.0245700245700247
streak=2 mult=2.5 maxd=3,fc_only,814,1.326308225100484,55.896805896805894,163698.6423979819,-16957.35503886288,9.653548093014342,6,1.0245700245700247
streak=3 mult=1.5 maxd=1,fc_only,814,1.3173719598389837,55.896805896805894,156250.1253233829,-16957.35503886288,9.214298159429271,2,1.0024570024570025
streak=3 mult=1.5 maxd=2,fc_only,814,1.3173719598389837,55.896805896805894,156250.1253233829,-16957.35503886288,9.214298159429271,2,1.0024570024570025
streak=3 mult=1.5 maxd=3,fc_only,814,1.3173719598389837,55.896805896805894,156250.1253233829,-16957.35503886288,9.214298159429271,2,1.0024570024570025
streak=3 mult=1.5 maxd=4,fc_only,814,1.3173719598389837,55.896805896805894,156250.1253233829,-16957.35503886288,9.214298159429271,2,1.0024570024570025
streak=3 mult=2.0 maxd=1,fc_only,814,1.3173719598389837,55.896805896805894,156250.1253233829,-16957.35503886288,9.214298159429271,2,1.0024570024570025
streak=3 mult=2.0 maxd=2,fc_only,814,1.3173719598389837,55.896805896805894,156250.1253233829,-16957.35503886288,9.214298159429271,2,1.0024570024570025
streak=3 mult=2.0 maxd=3,fc_only,814,1.3173719598389837,55.896805896805894,156250.1253233829,-16957.35503886288,9.214298159429271,2,1.0024570024570025
streak=3 mult=2.0 maxd=4,fc_only,814,1.3173719598389837,55.896805896805894,156250.1253233829,-16957.35503886288,9.214298159429271,2,1.0024570024570025
streak=3 mult=2.5 maxd=1,fc_only,814,1.3173719598389837,55.896805896805894,156250.1253233829,-16957.35503886288,9.214298159429271,2,1.0024570024570025
streak=3 mult=2.5 maxd=2,fc_only,814,1.3173719598389837,55.896805896805894,156250.1253233829,-16957.35503886288,9.214298159429271,2,1.0024570024570025
streak=3 mult=2.5 maxd=3,fc_only,814,1.3173719598389837,55.896805896805894,156250.1253233829,-16957.35503886288,9.214298159429271,2,1.0024570024570025
