bm,norm,zlook,ema,hz,sl,tp,variant,of_p1,of_p2,gamma,is_t,is_pf,is_wr,is_pnl,is_mdd,oos_t,oos_pf,oos_wr,oos_pnl,oos_mdd,tot_t,tot_pf,tot_wr,tot_pnl,tot_mdd
15,350,75,80,1.9,2.0,2.0,multi_pd25_K4,25,4,none,1300,1.1082762637959804,53.53846153846154,82318.7862335841,-43110.65168808389,360,1.2853627998967885,54.166666666666664,76964.02237705726,-14329.070246004412,1660,1.1546476933081056,53.674698795180724,159282.80861064137,-43110.65168808389
15,350,75,80,1.9,2.0,2.0,multi_pd25_K4,25,4,drop_pos,1098,1.1226098642795874,54.28051001821493,80639.62180092651,-35184.08075597916,293,1.3675093997980226,56.31399317406143,82378.97310278247,-14566.325287080108,1391,1.184860299180388,54.70884255930985,163018.59490370896,-35184.08075597916
15,350,75,80,1.9,2.0,2.0,multi_pd25_K5,25,5,none,1232,1.1147244486092769,53.6525974025974,82180.51862812068,-38946.617902202415,333,1.264323625636355,53.453453453453456,66760.44830636281,-16413.77809473488,1565,1.1537216371447225,53.61022364217252,148940.9669344835,-40261.34425065531
15,350,75,80,1.9,2.0,2.0,multi_pd25_K5,25,5,drop_pos,1041,1.1262886299709987,54.274735830931796,78479.15972477884,-31020.046970097683,270,1.3739597538168749,55.925925925925924,77486.23278017905,-18513.214654465773,1311,1.1882204028901644,54.61479786422578,155965.3925049579,-32880.82977416809
15,350,75,80,1.9,2.0,2.0,multi_pd50_K2,50,2,none,873,1.0783008347597707,52.233676975945016,41129.25919877627,-30074.219147949625,201,1.5298130950753683,56.71641791044776,75840.49569425013,-10261.776851135219,1074,1.1749949074178274,53.072625698324025,116969.7548930264,-30074.219147949625
15,350,75,80,1.9,2.0,2.0,multi_pd50_K2,50,2,drop_pos,740,1.0478559644390484,52.027027027027025,22338.69135881272,-36187.47483942505,160,1.7078942463378282,60.0,80831.45615668371,-10261.776851135219,900,1.1775807701080812,53.44444444444444,103170.14751549643,-36406.643475548044
15,350,75,80,1.9,2.0,2.0,multi_pd50_K3,50,3,none,678,1.1048398026704866,52.65486725663717,42338.21252245161,-25309.60173272455,117,1.440700174505104,54.7008547008547,39610.62603090468,-14954.739362492328,795,1.1659829799459624,52.9559748427673,81948.8385533563,-25309.60173272455
15,350,75,80,1.9,2.0,2.0,multi_pd50_K3,50,3,drop_pos,576,1.069404946210254,52.25694444444444,24913.583000113795,-28029.549216097912,86,1.6332886581923205,59.30232558139535,43092.1812729416,-13699.739362492328,662,1.159262276561963,53.17220543806646,68005.76427305539,-28029.549216097912
15,350,75,80,1.9,2.0,2.0,multi_pd50_K4,50,4,none,502,1.247786114498664,55.37848605577689,68425.1169492639,-18374.949249517194,65,1.5546210326876397,55.38461538461539,27547.894053335112,-9368.486102271418,567,1.294562311399298,55.379188712522044,95973.01100259901,-18374.949249517194
15,400,75,80,1.75,1.5,2.0,baseline,0,0,none,1893,1.0778899488698823,46.90966719492869,75484.50773637526,-34985.127018358726,630,1.1906867948102406,47.93650793650794,77064.46845118735,-34470.47434810047,2523,1.1110853602160269,47.16607213634562,152548.97618756263,-34985.127018358726
15,400,75,80,1.75,1.5,2.0,gamma_only,0,0,drop_neg,445,0.9566829219965952,44.49438202247191,-9074.019118769465,-23142.607303675977,150,1.3054044488202772,51.333333333333336,21431.65408789515,-9277.55359446739,595,1.0441890655357486,46.21848739495798,12357.634969125684,-23142.607303675977
15,400,75,80,1.75,1.5,2.0,gamma_only,0,0,drop_pos,1592,1.0929814778034215,47.550251256281406,77007.62582268097,-33197.66698967858,497,1.176923313170641,47.283702213279675,60662.416346149985,-34096.90771739013,2089,1.117558387767302,47.48683580660603,137670.04216883093,-34096.90771739023
15,400,75,80,1.75,1.5,2.0,window_N3_D100,3,100,none,1057,1.1445694210751054,48.15515610217597,79310.09650200586,-22906.579894903625,240,1.1930338558318885,49.583333333333336,31704.34580034722,-18001.485735812894,1297,1.1557359406396122,48.41942945258288,111014.44230235308,-22906.579894903625
15,400,75,80,1.75,1.5,2.0,window_N3_D100,3,100,drop_pos,888,1.1483580194378231,48.42342342342342,70191.44596748546,-21409.6524355132,185,1.2249936492866984,51.891891891891895,30479.870431304225,-22221.989787542843,1073,1.1654167769071397,49.02143522833178,100671.31639878967,-22221.989787542843
15,400,75,80,1.75,1.5,2.0,window_N5_D100,5,100,none,1293,1.1008843754930693,47.95050270688322,69404.09826261314,-31271.552361010545,348,1.2283725981120182,49.71264367816092,53848.57021248419,-24542.001413543185,1641,1.1334265109921609,48.32419256550884,123252.66847509734,-31988.679071164588
15,400,75,80,1.75,1.5,2.0,window_N5_D100,5,100,drop_pos,1091,1.0883228190331349,48.02933088909258,52690.88899065948,-26634.883474719172,273,1.2678520913421785,51.282051282051285,51862.32199809179,-26800.423345723466,1364,1.1323132395883184,48.68035190615836,104553.21098875126,-26800.423345723466
15,400,75,80,1.75,1.5,2.0,window_N8_D100,8,100,none,1436,1.1254178174473848,48.74651810584958,95065.17875899965,-36590.309956343626,402,1.1977085358496933,48.25870646766169,55487.08300332408,-24405.55100199752,1838,1.14495151658,48.63982589771491,150552.26176232373,-36590.309956343626
15,400,75,80,1.75,1.5,2.0,window_N8_D100,8,100,drop_pos,1211,1.1406260924765668,49.46325350949628,91237.1111193092,-28322.039765883674,317,1.2118316952159576,48.89589905362776,49916.83044308287,-21372.362111677357,1528,1.159597685793881,49.345549738219894,141153.94156239205,-28322.039765883674
15,400,75,80,1.75,1.5,2.0,window_N8_D250,8,250,none,469,1.104034314895554,47.33475479744136,25281.288718184733,-19032.152554459826,66,1.5484382527916407,53.03030303030303,20097.88098145531,-6949.400040845867,535,1.162268521684064,48.03738317757009,45379.16969964004,-19032.152554459826
15,400,75,80,1.75,1.5,2.0,window_N10_D100,10,100,none,1481,1.1047961268726412,48.27819041188386,82245.98796384106,-36275.60262255414,419,1.2013288069154981,48.92601431980907,58195.82392095268,-26675.752717345677,1900,1.1307800961095427,48.421052631578945,140441.81188479374,-36275.60262255414
15,400,75,80,1.75,1.5,2.0,window_N10_D100,10,100,drop_pos,1251,1.1181427642201427,49.00079936051159,79578.14526737544,-28007.33243209419,328,1.2109960661110224,49.390243902439025,50945.611878367854,-23008.697566045958,1579,1.1426443902435648,49.08169727675744,130523.7571457433,-28007.33243209419
15,400,75,80,1.75,1.5,2.0,window_N10_D250,10,250,none,618,1.2129706512568488,49.19093851132686,65796.1189342921,-12868.328775215887,84,1.0410999251309225,45.23809523809524,2330.626575827191,-11591.48961476123,702,1.1863163715654899,48.717948717948715,68126.74551011929,-12868.328775215887
15,400,75,80,1.75,1.5,2.0,window_N10_D250,10,250,drop_pos,528,1.2054452307271142,49.053030303030305,55488.32692577147,-13237.449446437786,63,0.9778611585941375,46.03174603174603,-1045.9014415366255,-13636.423622997245,591,1.1715635272393528,48.73096446700507,54442.425484234845,-13636.423622997245
