bm,norm,zlook,ema,hz,sl,tp,is_t,is_pf,is_wr,is_pnl,is_mdd,oos_t,oos_pf,oos_wr,oos_pnl,oos_mdd,tot_t,tot_pf,tot_wr,tot_pnl,tot_mdd,robust_pf
20,250,75,40,1.75,3.0,0.75,1365,1.1972107549614164,74.7985347985348,100089.22401147804,-16926.705601862886,439,1.2116208110506803,74.71526195899773,45444.11209025864,-23232.911899382016,1804,1.201495125039114,74.77827050997783,145533.3361017367,-23232.911899382016,1.1972107549614164
20,250,75,40,1.95,3.0,0.75,1273,1.198373668379906,75.01963864886096,94542.91461431913,-17375.866899007488,404,1.1971776093636208,74.75247524752476,39939.421776670715,-20848.667641015272,1677,1.1980169430964531,74.95527728085868,134482.33639098983,-20848.667641015272,1.1971776093636208
20,225,75,40,2.0,3.0,1.0,1182,1.2470498389159328,70.98138747884941,127134.14084201875,-19777.48322429885,382,1.196364498029733,70.68062827225131,46208.6091134914,-19046.810899783304,1564,1.2311452794989415,70.9079283887468,173342.74995551014,-20226.874647008153,1.196364498029733
20,250,100,40,1.95,3.0,0.75,1158,1.2092444681679622,76.3385146804836,91233.23931910013,-14573.530720919844,399,1.196259570293419,75.18796992481202,39337.743899731504,-28263.479121403143,1557,1.2051551316250355,76.04367373153501,130570.98321883165,-28263.479121403143,1.196259570293419
20,300,175,80,1.5,3.0,0.75,1119,1.1960305403123626,76.05004468275246,84505.36396235257,-14688.457997330115,363,1.2073158928001486,77.13498622589532,36703.940384938614,-21790.97669011666,1482,1.1993160406465153,76.3157894736842,121209.30434729118,-21790.97669011666,1.1960305403123626
20,225,100,40,1.95,3.0,0.75,1158,1.1950707177675772,76.07944732297064,86008.12138730168,-20537.296793131565,394,1.2182095421403907,76.14213197969544,42751.05302205571,-25180.394376674958,1552,1.2021893143941251,76.09536082474227,128759.17440935741,-25180.394376674958,1.1950707177675772
20,200,75,40,2.0,3.0,0.75,1257,1.194766695251165,74.78122513922037,91687.6063045245,-20904.389521367957,392,1.2188346343063097,74.74489795918367,42280.334822469085,-20504.24710184394,1649,1.2017702330342792,74.7725894481504,133967.94112699357,-20904.389521367957,1.194766695251165
20,225,75,40,1.85,2.5,1.0,1261,1.194671578200118,68.2791435368755,106778.06161728113,-15446.22047070181,409,1.278144120253631,70.4156479217604,64905.85178861205,-19245.01137379564,1670,1.219584824926263,68.80239520958084,171683.9134058932,-20582.90721149926,1.194671578200118
20,225,100,40,1.8,3.0,0.75,1213,1.1943379651700647,75.92745259686727,89337.11983403933,-20900.10567835583,411,1.196529444734842,75.4257907542579,40758.366797658164,-25909.585615776305,1624,1.1950192706300575,75.80049261083744,130095.4866316975,-25909.585615776305,1.1943379651700647
20,250,75,40,1.7,3.0,0.75,1391,1.1931851356678627,74.91013659237959,100024.74482257028,-19589.67696797903,451,1.2121532378117905,74.94456762749445,46669.37858808444,-25033.154237016934,1842,1.1988410063340758,74.9185667752443,146694.12341065472,-25033.154237016934,1.1931851356678627
20,150,125,20,2.0,3.0,0.75,1141,1.1931498691425917,75.98597721297108,83446.73007996455,-19453.127713425216,356,1.2188422157139913,74.15730337078652,38211.87305943953,-13680.002726345047,1497,1.200544896475648,75.55110220440882,121658.60313940408,-19453.127713425216,1.1931498691425917
20,225,75,40,1.75,3.0,1.0,1280,1.1914064261356088,70.0,109295.39518120163,-19815.509158616114,417,1.2256722467463088,70.9832134292566,56014.69152211743,-19223.93202932246,1697,1.2017884464911668,70.24160282852093,165310.08670331907,-19815.509158616114,1.1914064261356088
