entry_ts,exit_ts,entry_close,exit_close,drift,prev_drift,prev2_drift,sign,prev_sign,year
2024-10-14 19:00:00-04:00,2024-10-15 08:00:00-04:00,20624.5,20628.25,3.75,85.0,-64.75,1.0,1.0,2024
2024-10-15 19:00:00-04:00,2024-10-16 08:00:00-04:00,20359.0,20359.0,0.0,3.75,85.0,0.0,1.0,2024
2024-10-16 19:00:00-04:00,2024-10-17 08:00:00-04:00,20321.5,20530.75,209.25,0.0,3.75,1.0,0.0,2024
2024-10-17 19:00:00-04:00,2024-10-18 08:00:00-04:00,20401.75,20467.0,65.25,209.25,0.0,1.0,1.0,2024
2024-10-20 19:00:00-04:00,2024-10-21 08:00:00-04:00,20519.75,20381.5,-138.25,65.25,209.25,-1.0,1.0,2024
2024-10-21 19:00:00-04:00,2024-10-22 08:00:00-04:00,20517.25,20434.0,-83.25,-138.25,65.25,-1.0,-1.0,2024
2024-10-22 19:00:00-04:00,2024-10-23 08:00:00-04:00,20502.25,20491.25,-11.0,-83.25,-138.25,-1.0,-1.0,2024
2024-10-23 19:00:00-04:00,2024-10-24 08:00:00-04:00,20285.0,20408.5,123.5,-11.0,-83.25,1.0,-1.0,2024
2024-10-24 19:00:00-04:00,2024-10-25 08:00:00-04:00,20376.0,20460.25,84.25,123.5,-11.0,1.0,1.0,2024
2024-10-27 19:00:00-04:00,2024-10-28 08:00:00-04:00,20611.75,20617.25,5.5,84.25,123.5,1.0,1.0,2024
2024-10-28 19:00:00-04:00,2024-10-29 08:00:00-04:00,20504.75,20494.0,-10.75,5.5,84.25,-1.0,1.0,2024
2024-10-29 19:00:00-04:00,2024-10-30 08:00:00-04:00,20743.5,20711.75,-31.75,-10.75,5.5,-1.0,-1.0,2024
2024-10-30 19:00:00-04:00,2024-10-31 08:00:00-04:00,20444.75,20389.5,-55.25,-31.75,-10.75,-1.0,-1.0,2024
2024-10-31 19:00:00-04:00,2024-11-01 08:00:00-04:00,20076.0,20114.5,38.5,-55.25,-31.75,1.0,-1.0,2024
2024-11-04 19:00:00-05:00,2024-11-05 08:00:00-05:00,20080.75,20141.25,60.5,38.5,-55.25,1.0,1.0,2024
2024-11-05 19:00:00-05:00,2024-11-06 08:00:00-05:00,20344.75,20686.25,341.5,60.5,38.5,1.0,1.0,2024
2024-11-06 19:00:00-05:00,2024-11-07 08:00:00-05:00,20902.75,20990.25,87.5,341.5,60.5,1.0,1.0,2024
2024-11-07 19:00:00-05:00,2024-11-08 08:00:00-05:00,21235.75,21178.75,-57.0,87.5,341.5,-1.0,1.0,2024
2024-11-10 19:00:00-05:00,2024-11-11 08:00:00-05:00,21295.75,21313.75,18.0,-57.0,87.5,1.0,-1.0,2024
2024-11-11 19:00:00-05:00,2024-11-12 08:00:00-05:00,21214.5,21202.0,-12.5,18.0,-57.0,-1.0,1.0,2024
