date,fill_idx,dir,kind,bos,sl,tp,pnl_pts,reason
2022-02-24,623,-1,REV,True,50.0,76.0,76.0,TP
2022-02-24,631,-1,REV,False,50.0,76.0,-50.0,SL
2022-02-25,571,-1,CONT,False,50.0,76.0,-50.0,SL
2022-02-28,658,-1,REV,True,50.0,76.0,-50.0,SL
2022-03-01,575,1,CONT,False,50.0,76.0,-50.0,SL
2022-03-02,574,-1,CONT,False,50.0,76.0,-50.0,SL
2022-03-04,571,1,CONT,False,50.0,76.0,-50.0,SL
2022-03-04,637,1,REV,True,50.0,76.0,-50.0,SL
2022-03-07,571,1,CONT,False,50.0,76.0,-50.0,SL
2022-03-08,576,1,CONT,False,50.0,76.0,-50.0,SL
2022-03-08,577,-1,CONT,False,50.0,76.0,-50.0,SL
2022-03-08,616,1,REV,False,50.0,76.0,76.0,TP
2022-03-09,577,-1,CONT,False,50.0,76.0,-50.0,SL
2022-03-10,545,-1,CONT,False,50.0,76.0,-50.0,SL
2022-03-11,578,-1,CONT,False,50.0,76.0,76.0,TP
2022-03-14,577,1,CONT,False,50.0,76.0,-50.0,SL
2022-03-14,579,-1,CONT,False,50.0,76.0,-50.0,SL
2022-03-16,579,1,CONT,False,25.0,38.0,38.0,TP
2022-03-18,573,1,CONT,False,50.0,76.0,-50.0,SL
2022-03-24,572,-1,CONT,False,50.0,76.0,-50.0,SL
2022-03-25,575,-1,CONT,False,50.0,76.0,-50.0,SL
2022-03-28,577,1,CONT,False,50.0,76.0,-50.0,SL
2022-03-29,572,1,CONT,False,50.0,76.0,-50.0,SL
2022-04-01,575,-1,CONT,False,50.0,76.0,76.0,TP
2022-04-04,573,1,CONT,False,50.0,76.0,76.0,TP
2022-04-04,614,-1,REV,True,50.0,76.0,-50.0,SL
2022-04-05,572,1,CONT,False,25.0,38.0,-25.0,SL
2022-04-05,577,-1,CONT,False,50.0,76.0,76.0,TP
2022-04-07,574,1,CONT,False,50.0,76.0,-50.0,SL
2022-04-08,609,1,REV,True,50.0,76.0,-50.0,SL
2022-04-12,579,1,CONT,False,50.0,76.0,76.0,TP
2022-04-12,638,-1,REV,True,50.0,76.0,76.0,TP
2022-04-18,571,1,CONT,False,50.0,76.0,-50.0,SL
2022-04-19,580,-1,CONT,False,50.0,76.0,-50.0,SL
2022-04-20,573,-1,CONT,False,25.0,38.0,38.0,TP
2022-04-22,574,1,CONT,False,50.0,76.0,-50.0,SL
2022-04-22,576,-1,CONT,False,50.0,76.0,-50.0,SL
2022-04-25,574,-1,CONT,False,50.0,76.0,-50.0,SL
2022-04-25,651,-1,REV,False,50.0,76.0,76.0,TP
2022-04-26,549,-1,CONT,False,50.0,76.0,76.0,TP
2022-04-26,610,1,REV,False,50.0,76.0,-50.0,SL
2022-04-28,564,-1,CONT,False,50.0,76.0,76.0,TP
2022-04-28,588,1,REV,False,50.0,76.0,-50.0,SL
2022-04-29,573,1,CONT,False,50.0,76.0,-50.0,SL
2022-05-02,571,1,CONT,False,50.0,76.0,-50.0,SL
2022-05-02,577,-1,CONT,False,50.0,76.0,-50.0,SL
2022-05-02,600,-1,REV,False,50.0,76.0,76.0,TP
2022-05-02,645,-1,REV,True,50.0,76.0,76.0,TP
2022-05-04,627,1,REV,True,50.0,76.0,-50.0,SL
2022-05-05,573,-1,CONT,False,50.0,76.0,76.0,TP
2022-05-05,644,1,REV,False,50.0,76.0,-50.0,SL
2022-05-06,572,1,CONT,False,50.0,76.0,-50.0,SL
2022-05-06,573,-1,CONT,False,50.0,76.0,76.0,TP
2022-05-06,576,-1,CONT,False,50.0,76.0,76.0,TP
2022-05-06,596,1,REV,False,50.0,76.0,76.0,TP
2022-05-11,574,-1,CONT,False,50.0,76.0,76.0,TP
2022-05-11,582,1,REV,False,50.0,76.0,76.0,TP
2022-05-11,638,1,REV,True,50.0,76.0,-50.0,SL
2022-05-12,571,1,CONT,False,50.0,76.0,-50.0,SL
2022-05-12,578,-1,CONT,False,50.0,76.0,-50.0,SL
2022-05-16,580,1,CONT,False,50.0,76.0,-50.0,SL
2022-05-17,574,1,CONT,False,50.0,76.0,-50.0,SL
2022-05-25,641,-1,REV,True,50.0,76.0,76.0,TP
2022-05-26,572,1,CONT,False,25.0,38.0,38.0,TP
2022-05-26,575,1,CONT,False,50.0,76.0,76.0,TP
2022-05-27,571,1,CONT,False,50.0,76.0,76.0,TP
2022-05-31,574,-1,CONT,False,50.0,76.0,76.0,TP
2022-05-31,615,1,REV,False,50.0,76.0,76.0,TP
2022-06-01,621,1,REV,False,50.0,76.0,-50.0,SL
2022-06-06,571,1,CONT,False,50.0,76.0,-50.0,SL
2022-06-06,577,-1,CONT,False,50.0,76.0,-50.0,SL
2022-06-09,565,-1,REV,False,50.0,76.0,76.0,TP
2022-06-10,573,-1,CONT,False,50.0,76.0,-50.0,SL
2022-06-13,571,1,CONT,False,50.0,76.0,-50.0,SL
2022-06-14,622,1,REV,True,50.0,76.0,-50.0,SL
2022-06-14,637,1,REV,True,50.0,76.0,76.0,TP
2022-06-15,578,1,CONT,False,25.0,38.0,38.0,TP
2022-06-16,574,-1,CONT,False,50.0,76.0,-50.0,SL
2022-06-21,571,1,CONT,False,25.0,38.0,-25.0,SL
2022-06-21,574,1,CONT,False,50.0,76.0,76.0,TP
2022-06-21,586,-1,REV,False,50.0,76.0,-50.0,SL
2022-06-22,577,1,CONT,False,25.0,38.0,-25.0,SL
2022-06-22,603,-1,REV,False,50.0,76.0,-50.0,SL
2022-06-24,573,1,CONT,False,50.0,76.0,76.0,TP
2022-06-27,572,-1,CONT,False,50.0,76.0,76.0,TP
2022-06-27,577,-1,CONT,False,25.0,38.0,-25.0,SL
2022-06-27,597,1,REV,False,50.0,76.0,-50.0,SL
2022-06-29,574,-1,CONT,False,50.0,76.0,-50.0,SL
2022-07-01,571,1,CONT,False,50.0,76.0,-50.0,SL
2022-07-04,574,-1,CONT,False,25.0,38.0,5.75,FC
2022-07-05,643,-1,REV,False,50.0,76.0,76.0,TP
2022-07-07,571,1,CONT,False,50.0,76.0,76.0,TP
2022-07-07,601,-1,REV,True,50.0,76.0,-50.0,SL
2022-07-11,576,-1,CONT,False,50.0,76.0,76.0,TP
2022-07-11,608,1,REV,True,50.0,76.0,76.0,TP
2022-07-12,576,1,CONT,False,50.0,76.0,-50.0,SL
2022-07-13,578,1,REV,True,50.0,76.0,-50.0,SL
2022-07-13,622,1,REV,True,50.0,76.0,76.0,TP
2022-07-13,635,1,REV,True,50.0,76.0,-50.0,SL
2022-07-15,573,1,CONT,False,50.0,76.0,-50.0,SL
2022-07-18,578,1,CONT,False,50.0,76.0,-50.0,SL
2022-07-21,574,-1,CONT,False,50.0,76.0,-50.0,SL
2022-07-25,576,-1,CONT,False,50.0,76.0,76.0,TP
2022-07-25,629,1,REV,True,50.0,76.0,76.0,TP
2022-07-26,573,-1,CONT,False,50.0,76.0,76.0,TP
2022-07-29,576,-1,CONT,False,25.0,38.0,-25.0,SL
2022-08-01,572,-1,CONT,False,50.0,76.0,-50.0,SL
2022-08-03,571,1,CONT,False,50.0,76.0,76.0,TP
2022-08-03,636,-1,REV,True,50.0,76.0,-50.0,SL
2022-08-04,573,1,CONT,False,50.0,76.0,-50.0,SL
2022-08-05,571,1,CONT,False,50.0,76.0,76.0,TP
2022-08-08,573,1,CONT,False,50.0,76.0,76.0,TP
2022-08-08,628,-1,REV,True,50.0,76.0,76.0,TP
2022-08-09,572,-1,CONT,False,50.0,76.0,76.0,TP
2022-08-10,574,1,CONT,False,25.0,38.0,-25.0,SL
2022-08-10,620,-1,REV,True,50.0,76.0,-50.0,SL
2022-08-15,571,1,CONT,False,50.0,76.0,76.0,TP
2022-08-17,576,1,CONT,False,50.0,76.0,-50.0,SL
2022-08-23,573,1,CONT,False,50.0,76.0,-50.0,SL
2022-08-26,575,1,CONT,False,25.0,38.0,-25.0,SL
2022-08-26,621,1,REV,False,50.0,76.0,-50.0,SL
2022-08-29,575,1,CONT,False,25.0,38.0,-25.0,SL
2022-08-31,575,-1,CONT,False,25.0,38.0,-25.0,SL
2022-09-05,576,1,CONT,False,25.0,38.0,6.0,FC
2022-09-06,579,-1,CONT,False,50.0,76.0,76.0,TP
2022-09-06,615,1,REV,False,50.0,76.0,76.0,TP
2022-09-13,576,-1,CONT,False,50.0,76.0,76.0,TP
2022-09-14,562,-1,CONT,False,50.0,76.0,-50.0,SL
2022-09-16,571,-1,CONT,False,50.0,76.0,-50.0,SL
2022-09-19,572,1,CONT,False,25.0,38.0,38.0,TP
2022-09-20,574,1,CONT,False,25.0,38.0,-25.0,SL
2022-09-20,579,-1,CONT,False,50.0,76.0,-50.0,SL
2022-09-22,579,-1,CONT,False,25.0,38.0,38.0,TP
2022-09-23,573,-1,CONT,False,50.0,76.0,76.0,TP
2022-09-26,572,1,CONT,False,25.0,38.0,38.0,TP
2022-09-26,646,-1,REV,True,50.0,76.0,76.0,TP
