date,entry_time,exit_time,side,reason,fair,cndl_rng,entry,sl_price,tp_price,exit_reason,pnl_pts
2026-03-02,10:02,10:02,SHORT,above-fair BOS,24640.25,61.8,24804.75,24854.75,24728.75,SL,-50.0
2026-03-02,10:23,10:42,SHORT,above-fair candle,24640.25,44.5,24879.0,24929.0,24803.0,SL,-50.0
2026-03-03,11:00,11:05,LONG,below-fair BOS,24521.75,25.2,24442.25,24392.25,24518.25,TP,76.0
2026-03-04,10:54,10:56,SHORT,above-fair BOS,24859.25,39.8,25047.5,25097.5,24971.5,SL,-50.0
2026-03-06,10:52,10:56,SHORT,above-fair BOS,24670.0,45.2,24762.5,24812.5,24686.5,SL,-50.0
2026-03-11,10:08,10:24,SHORT,above-fair candle,24993.5,45.8,25102.25,25152.25,25026.25,TP,76.0
2026-03-12,10:45,10:47,LONG,below-fair candle,24776.75,32.5,24622.0,24572.0,24698.0,TP,76.0
2026-03-13,09:58,10:10,SHORT,above-fair candle,24652.75,36.5,24754.75,24804.75,24678.75,TP,76.0
2026-03-16,10:21,10:39,SHORT,above-fair candle,24656.25,27.8,24734.0,24784.0,24658.0,TP,76.0
2026-03-23,10:32,11:03,SHORT,above-fair BOS,24509.75,26.5,24613.0,24663.0,24537.0,SL,-50.0
2026-03-27,10:33,10:39,LONG,below-fair BOS,23652.5,26.5,23503.5,23453.5,23579.5,SL,-50.0
2026-03-27,10:49,11:24,LONG,below-fair candle,23652.5,30.0,23487.25,23437.25,23563.25,TP,76.0
2026-03-30,10:58,11:06,LONG,below-fair BOS,23511.75,28.8,23340.5,23290.5,23416.5,TP,76.0
2026-03-31,10:07,10:34,SHORT,above-fair candle,23384.0,30.8,23530.5,23580.5,23454.5,SL,-50.0
2026-04-01,10:28,10:40,SHORT,above-fair candle,24097.25,25.0,24175.5,24225.5,24099.5,SL,-50.0
2026-04-02,10:40,10:40,SHORT,above-fair candle,23754.75,84.0,24156.5,24206.5,24080.5,SL,-50.0
2026-04-02,10:48,10:51,SHORT,above-fair candle,23754.75,36.5,24165.25,24215.25,24089.25,TP,76.0
2026-04-07,10:35,10:40,LONG,below-fair BOS,24245.75,59.5,24136.5,24086.5,24212.5,SL,-50.0
2026-04-08,10:59,11:36,LONG,below-fair candle,25207.75,38.8,24972.25,24922.25,25048.25,TP,76.0
2026-04-16,10:23,10:50,LONG,below-fair BOS,26426.25,25.0,26339.75,26289.75,26415.75,TP,76.0
2026-04-17,10:57,11:07,SHORT,above-fair BOS,26696.0,36.8,26804.25,26854.25,26728.25,SL,-50.0
2026-04-30,10:48,10:58,LONG,below-fair BOS,27499.25,35.5,27288.5,27238.5,27364.5,TP,76.0
2026-05-01,10:32,10:37,SHORT,above-fair BOS,27627.5,32.2,27844.75,27894.75,27768.75,TP,76.0
2026-05-01,10:52,11:19,SHORT,above-fair BOS,27627.5,32.8,27799.5,27849.5,27723.5,SL,-50.0
2026-05-05,10:46,11:16,SHORT,above-fair BOS,27998.0,31.5,28087.75,28137.75,28011.75,SL,-50.0
2026-05-08,10:32,10:45,SHORT,above-fair BOS,28881.75,35.0,29082.0,29132.0,29006.0,SL,-50.0
2026-05-12,10:54,11:00,LONG,below-fair candle,29140.75,42.0,29056.0,29006.0,29132.0,SL,-50.0
2026-05-13,09:51,09:55,LONG,below-fair candle,29294.0,68.2,29135.75,29085.75,29211.75,TP,76.0
2026-05-14,09:50,10:00,SHORT,above-fair candle,29478.0,25.8,29645.0,29695.0,29569.0,TP,76.0
2026-05-14,10:04,10:20,SHORT,above-fair candle,29478.0,29.8,29590.0,29640.0,29514.0,SL,-50.0
2026-05-18,09:52,09:57,LONG,below-fair candle,29357.75,68.2,29223.25,29173.25,29299.25,TP,76.0
2026-05-18,10:08,10:28,LONG,below-fair candle,29357.75,98.8,29225.25,29175.25,29301.25,SL,-50.0
2026-05-18,10:39,11:20,LONG,below-fair candle,29357.75,58.0,29051.75,29001.75,29127.75,SL,-50.0
2026-05-19,09:42,09:45,SHORT,above-fair candle,28831.5,63.8,28985.0,29035.0,28909.0,TP,76.0
2026-05-20,10:39,10:46,SHORT,above-fair candle,29073.25,37.2,29182.25,29232.25,29106.25,SL,-50.0
