date,strat,pnl_pts,mae_pts,stop_pts,ratio
2025-06-19,OD,-44.0,45.75,63.45746403686393,0.7209553784472501
2025-06-22,OD,72.5,39.75,80.9492912368454,0.4910481536360523
2025-06-23,RV,88.49925657996211,0.0,89.35049955145286,0.0
2025-06-23,FB,-163.0,204.25,162.25,1.2588597842835132
2025-06-23,OD,81.5,47.25,71.65687135823383,0.6593924504990362
2025-06-24,FB,91.25,24.75,67.0,0.3694029850746269
2025-06-24,OD,55.0,0.0,32.00726291318344,0.0
2025-06-25,RV,-40.15835499464083,55.0,40.15838816513384,1.3695768807711233
2025-06-25,OD,79.5,18.0,36.59725458281506,0.4918401723076857
2025-06-26,RV,56.094719388220255,6.5,56.09471957349672,0.11587543443342356
2025-06-26,FB,38.75,50.5,80.5,0.6273291925465838
2025-06-26,OD,59.75,17.25,34.13192810410674,0.5053919001406922
2025-06-27,RV,51.60338754449549,0.0,51.60338754561153,0.0
2025-06-27,FB,-76.5,94.5,75.75,1.2475247524752475
2025-06-27,RV,-67.56867036718175,115.75,67.56867036795076,1.7130720401877653
2025-06-30,OD,8.25,18.75,39.90054158161196,0.4699184336044421
2025-07-01,OD,29.75,35.25,43.99672254536774,0.8011960428109514
2025-07-02,RV,-66.45016838120137,109.25,66.45035332165078,1.644084561464691
2025-07-02,OD,10.25,20.0,31.799546662434146,0.6289397837116546
2025-07-03,FB,64.25,5.25,134.0,0.03917910447761194
2025-07-03,RV,-10.0,39.75,68.87929330989535,0.5770965131880851
2025-07-03,OD,-45.5,20.5,38.29319211168909,0.5353431999141781
2025-07-06,OD,-92.5,29.0,38.283717231940855,0.7575021992849935
2025-07-07,OD,69.75,4.0,48.63308766027169,0.08224853062882115
2025-07-08,OD,-64.5,64.5,34.3333078560702,1.8786421707571141
2025-07-09,FB,-102.5,104.75,101.75,1.0294840294840295
2025-07-09,B2,-198.5,128.5,71.51104236068552,1.7969252825581128
2025-07-09,B2,80.42353673516845,34.5,98.29719403018375,0.35097644790762
2025-07-09,OD,-83.0,44.25,34.85418418383457,1.2695749746029983
2025-07-10,OD,-71.5,5.5,32.50187284912413,0.1692210176789309
2025-07-11,RV,12.75,55.0,73.76280785585364,0.7456332208432238
