sl_mult,tp_mult,RR,no_n,no_wr,no_pf,no_total_pts,no_mdd_pts,no_avg_win,no_avg_loss,no_payoff,mart_n,mart_wr,mart_pf,mart_total_pts,mart_mdd_pts,mart_total_mnq_$,mart_mdd_mnq_$,tp_n,sl_n,fc_n
2.25,5.0,2.2222222222222223,717,42.11994421199442,1.1120278389398137,2609.6984866487674,-1389.4209536205972,85.77744224724448,-56.13274475185318,1.528117725695439,717,42.11994421199442,1.0896994467411043,2243.1757406505776,-1579.0286304786428,4486.351481301155,-3158.0572609572855,131,0,221
2.5,3.0,1.2,763,48.75491480996068,1.0734727525375312,1766.9172494085287,-1341.9253249610454,69.39656684657479,-61.50538521104166,1.1283006619413298,763,48.75491480996068,1.0499979648818416,1288.2455000664017,-1616.1969686652235,2576.4910001328035,-3232.393937330447,288,0,132
2.5,3.25,1.3,758,48.15303430079156,1.1094113028268702,2646.119048573043,-1308.3878898672747,73.51008271588468,-61.539595783014924,1.1945168274272877,758,48.15303430079156,1.0873777912681255,2263.29574672079,-1433.3565723247252,4526.59149344158,-2866.7131446494504,264,0,149
2.5,3.5,1.4,751,47.270306258322236,1.0746421826984047,1835.9812816360989,-1371.7499809184837,74.45938576321426,-62.113890566426676,1.198755786897375,751,47.270306258322236,1.0498432002857632,1317.8192907719658,-1675.4151043736683,2635.6385815439317,-3350.8302087473367,235,0,169
2.5,3.75,1.5,736,47.14673913043478,1.114521310569575,2771.4497434238947,-1389.1864191839823,77.72837715490782,-62.21156074377666,1.2494201435491776,736,47.14673913043478,1.0874081282659473,2273.890378041845,-1614.2787297329087,4547.78075608369,-3228.5574594658174,213,0,183
2.5,4.0,1.6,722,46.81440443213297,1.1038605727728374,2494.3142630375546,-1309.538291238196,78.432846751233,-62.54163525749792,1.2540901181797917,722,46.81440443213297,1.086992123981297,2236.9030795004,-1534.6306017871225,4473.8061590008,-3069.261203574245,186,0,201
2.5,4.25,1.7,718,46.10027855153203,1.0931294655546904,2250.1832172882623,-1549.5406775941865,79.79476090561036,-62.433805277697054,1.2780697980956655,718,46.10027855153203,1.0727778507731816,1890.187886604661,-1785.8829881431143,3780.375773209322,-3571.7659762862286,171,0,212
2.5,4.5,1.8,711,45.42897327707454,1.095514304084621,2289.839567614587,-1480.239684744241,81.31153690843156,-61.78811044796086,1.315973838962331,711,45.42897327707454,1.075983012966415,1958.3439428519705,-1716.5819952931683,3916.687885703941,-3433.1639905863367,157,0,221
2.5,4.75,1.9,704,45.3125,1.102576868263268,2448.1098561624603,-1506.0582231642838,82.4896879185194,-61.989871661935666,1.330696220317737,704,45.3125,1.0882357295742588,2254.478909372383,-1742.4005337132098,4508.957818744766,-3484.8010674264196,143,0,229
2.5,5.0,2.0,702,45.15669515669516,1.1129613091614756,2697.655880149392,-1448.5266793285487,83.84509030232688,-62.029188949839565,1.3517037981929594,702,45.15669515669516,1.1001693191635051,2569.20916919089,-1684.868989877475,5138.41833838178,-3369.73797975495,132,0,238
2.75,3.0,1.0909090909090908,748,50.93582887700535,1.1062711898973097,2526.7618009021216,-1140.7804019034909,69.03755243938018,-64.7862280068167,1.0656208049667,748,50.93582887700535,1.0949697773163851,2443.8397421585987,-1462.832117140131,4887.679484317197,-2925.664234280262,294,0,146
2.75,3.25,1.1818181818181819,743,50.20188425302826,1.1376504465984647,3301.481395652244,-1132.4636121013516,73.15284809082927,-64.8230566006137,1.1285004430065197,743,50.20188425302826,1.1173084235137032,3065.386910958419,-1486.3320087500722,6130.773821916838,-2972.6640175001444,269,0,164
2.75,3.5,1.2727272727272727,736,49.32065217391305,1.101733305023017,2485.7209955250905,-1336.633073122169,74.15818295176382,-65.50589655754739,1.132084084775717,736,49.32065217391305,1.0799102823746403,2135.003191393007,-1647.7670425811777,4270.006382786014,-3295.5340851623555,240,0,184
2.75,3.75,1.3636363636363635,721,49.237170596393895,1.1428566919610461,3432.9707261610843,-1284.8560386838235,77.36293424583104,-65.65811729811183,1.1782691528387124,721,49.237170596393895,1.1196011654360736,3143.0917466419196,-1660.548990575247,6286.183493283839,-3321.097981150494,218,0,198
2.75,4.0,1.4545454545454546,707,48.939179632248944,1.1383248658450282,3295.5008228689753,-1315.7553473265566,78.38108856786994,-65.99544548923552,1.187674209740044,707,48.939179632248944,1.1249262373188302,3241.2296154357364,-1571.8022129454325,6482.459230871473,-3143.604425890865,191,0,216
2.75,4.25,1.5454545454545454,701,48.21683309557774,1.122422957033168,2930.6054479751374,-1328.4381108880643,79.493995846497,-65.9459094990106,1.2054424065178702,701,48.21683309557774,1.1066520894327536,2792.133300574363,-1678.3876835730211,5584.266601148726,-3356.7753671460423,174,0,228
2.75,4.5,1.6363636363636365,694,47.40634005763689,1.104149683631224,2484.867116392115,-1273.8846855012011,80.07137165343178,-65.3660661851697,1.2249684939981662,694,47.40634005763689,1.092333428008388,2408.327915117855,-1649.5776373926228,4816.65583023571,-3299.1552747852456,158,0,238
2.75,4.75,1.7272727272727273,687,47.30713245997089,1.1116817930422047,2651.9131312159407,-1312.9285500296069,81.22206891828597,-65.5946388597431,1.2382424894808557,687,47.30713245997089,1.1002530412839358,2596.5328499214843,-1688.621501921028,5193.065699842969,-3377.243003842056,144,0,246
2.75,5.0,1.8181818181818181,686,47.08454810495627,1.123879325612401,2942.862107652062,-1288.8081833601987,82.65863714653746,-65.44318923052214,1.2630594278554228,686,47.08454810495627,1.1141412983785888,2967.895245753376,-1664.5011352516203,5935.790491506752,-3329.0022705032407,133,0,256
3.0,3.0,1.0,742,52.695417789757414,1.1172813992862847,2809.8794322449044,-1196.7509704320123,68.46117642133285,-68.25766538033118,1.0029815118912684,742,52.695417789757414,1.10704946468668,2823.1354550346955,-1338.9888501683988,5646.270910069391,-2677.9777003367976,299,0,165
3.0,3.25,1.0833333333333333,737,51.9674355495251,1.1484082579100743,3588.669113117463,-1203.7313138603527,72.50582232196886,-68.30808145818251,1.0614530634469095,737,51.9674355495251,1.1296488642977576,3474.8964573105573,-1491.8385736295222,6949.7929146211145,-2983.6771472590444,273,0,184
3.0,3.5,1.1666666666666667,730,51.0958904109589,1.1142811970406976,2819.0152300237005,-1410.8613291852275,73.69000936224242,-69.09624163051184,1.0664836121810428,730,51.0958904109589,1.0955435493506638,2621.5696888567372,-1681.1532032832615,5243.1393777134745,-3362.306406566523,245,0,203
3.0,3.75,1.25,715,51.048951048951054,1.155990182211041,3785.2167098894893,-1282.5513455317423,76.85192751168587,-69.33067666250244,1.108483736366752,715,51.048951048951054,1.136827815587288,3692.043455200801,-1583.3391519981824,7384.086910401602,-3166.678303996365,222,0,217
3.0,4.0,1.3333333333333333,701,50.78459343794579,1.153663425394766,3693.6101846087276,-1362.2817625721223,77.89501682006934,-69.67250957488683,1.1180165218011076,701,50.78459343794579,1.1458546568588466,3881.8713223929794,-1534.171875730971,7763.742644785959,-3068.343751461942,195,0,235
3.0,4.25,1.4166666666666667,695,50.07194244604316,1.1389908681497294,3356.2350571788065,-1408.7824892863596,79.03275114524145,-69.58836409615337,1.1357179058849314,695,50.07194244604316,1.129816403146712,3486.073339677906,-1565.2636523130654,6972.146679355812,-3130.527304626131,178,0,247
3.0,4.5,1.5,688,49.27325581395349,1.1210938310062826,2913.564623019718,-1329.7352965525588,79.56918335253081,-68.94094135669978,1.1541644454902438,688,49.27325581395349,1.1186592576612635,3179.130725872678,-1587.319788450487,6358.261451745356,-3174.639576900974,161,0,258
