delta,lowz,sl,tp,n_is,n_oos,pf_is,pf_oos,wr_is,wr_oos,pnl_is,pnl_oos,mdd_is,mdd_oos
50,-1.0,2.75,2.75,783,229,1.0941377227306437,1.1421642690536946,52.87356321839081,54.148471615720524,51016.51178860229,31620.374582330915,-53203.100628427506,-20907.124289833955
50,-1.0,2.75,3.0,777,228,1.0828498556999404,1.1749034779566014,52.12355212355212,53.94736842105263,45256.222573415434,38893.12118475267,-52986.9756462761,-21880.088951130892
50,-1.0,3.0,1.0,895,256,1.3151086639273397,0.9954233911832069,71.95530726256983,66.015625,118004.83226609256,-788.6240606014326,-31945.03496026693,-26390.967409078585
50,-1.0,3.0,1.25,863,249,1.1061235412805324,1.0628975272470462,65.00579374275782,63.45381526104418,48860.04369878392,11292.709600557355,-37536.31160063931,-24088.192033061205
50,-1.0,3.0,1.5,844,246,1.091998307648627,1.0985940233688238,61.37440758293839,61.78861788617886,45503.06173609879,18475.867302586776,-38766.452732348625,-21564.612410690097
50,-1.0,3.0,1.75,829,238,1.1132126428988107,1.1479611212330614,59.71049457177322,60.08403361344538,57456.51610169094,28185.29784761886,-39374.739352380275,-25937.277494326336
50,-1.0,3.0,2.0,815,237,1.1414822615438307,1.227235332580415,58.282208588957054,59.07172995780591,73446.73058769392,44082.465380715876,-43747.44197487926,-24453.154856445035
50,-1.0,3.0,2.25,797,233,1.1702973484394967,1.157162064493004,57.340025094102884,56.223175965665234,87932.7683939159,32198.049170766317,-31907.455199126198,-22598.11734586976
50,-1.0,3.0,2.5,790,232,1.114758480551259,1.1479717558829536,55.56962025316456,54.310344827586206,61209.03642244935,31782.255130082704,-46599.40669484342,-21988.718667427165
50,-1.0,3.0,2.75,778,228,1.1130907748887666,1.1834256835384571,54.24164524421594,54.3859649122807,60703.44363592874,39607.279368751406,-49286.83306034363,-20240.09264272223
50,-1.0,3.0,3.0,772,227,1.1000172526418923,1.2188290193967353,53.49740932642487,54.18502202643172,54188.90870812178,47239.46092215752,-49564.546870887905,-24927.702069949228
50,0.9,1.0,1.0,2316,619,1.0324114523938608,0.96191640160862,51.295336787564764,47.81906300484653,27632.16877044666,-11478.514017295893,-23355.515684804268,-25042.835230757046
50,0.9,1.0,1.25,2220,603,0.9901875877863747,1.0325319995898297,46.08108108108108,45.107794361525706,-8862.727875316268,10026.878329571118,-29857.908489165493,-24117.31090217945
50,0.9,1.0,1.5,2160,575,0.9668432496102001,1.032550224740483,42.73148148148148,42.95652173913044,-30971.186513429784,10085.462248095137,-49708.68434243141,-22510.891305963232
50,0.9,1.0,1.75,2109,563,0.9881913395034072,1.0804046983162754,40.87245139876719,41.740674955595026,-11083.376965937277,24999.160487255576,-31244.660114310245,-22398.232185819725
