sl_mult,tp_mult,no_n,no_total_pts,no_wr,no_pf,no_mdd_pts,no_avg,no_tp,no_sl,no_fc,mart_n,mart_total_pts,mart_wr,mart_pf,mart_mdd_pts,mart_avg,mart_total_mnq_$,mart_mdd_mnq_$
1.25,4.75,819,2314.755325980904,28.93772893772894,1.1206919926494487,-1100.892638413358,2.826319079341763,128,0,130,819,2094.113509957082,28.93772893772894,1.105956356093331,-1213.2153413884773,2.5569151525727496,4188.227019914164,-2426.4306827769547
1.25,5.0,815,2415.797552215384,28.588957055214724,1.1261338121589812,-1081.5238128137544,2.9641687757243975,117,0,137,815,2210.879614801099,28.588957055214724,1.112013872643192,-1195.4873682869054,2.71273572368233,4421.759229602198,-2390.974736573811
1.5,1.0,982,-1301.2675222059875,57.73930753564155,0.9205618338297828,-2010.4444039816924,-1.3251196763808426,567,0,3,982,-1328.1295626629524,57.73930753564155,0.9191431183244191,-2037.3064444386578,-1.3524740963981186,-2656.2591253259047,-4074.6128888773155
1.5,1.25,959,7.338236785765162,54.11887382690303,1.0004251473360617,-1225.9143227393342,0.007651967451267113,518,0,5,959,16.715998036788733,54.11887382690303,1.0009659493180738,-1216.53656148831,0.017430654887162392,33.431996073577466,-2433.07312297662
1.5,1.5,937,36.77775602448537,49.51974386339381,1.001984187628745,-1380.5365420395594,0.039250540047476384,460,0,10,937,103.28043861399374,49.51974386339381,1.0055505857122518,-1314.0338594500515,0.11022458763499865,206.56087722798748,-2628.067718900103
1.5,1.75,913,-986.712778003826,45.016429353778754,0.9500934181512788,-2138.2286915332975,-1.0807368871892946,402,0,18,913,-889.3371694811431,45.016429353778754,0.955338504158099,-2020.2069711267586,-0.9740823323999377,-1778.6743389622861,-4040.4139422535172
1.5,2.0,890,749.7988255380363,44.26966292134831,1.0383062779531143,-1484.5266085714068,0.8424705904921757,381,0,23,890,714.009344464402,44.26966292134831,1.0360030198991952,-1451.683908796198,0.8022576904094405,1428.018688928804,-2903.367817592396
1.5,2.25,880,-61.90822467390615,40.79545454545455,0.9969833542654384,-1572.3128962677433,-0.07035025531125698,339,0,32,880,-129.68895187982707,40.79545454545455,0.9937769624209802,-1567.1639383735646,-0.14737380895434896,-259.37790375965415,-3134.3278767471293
1.5,2.5,864,-246.15709313536183,38.54166666666667,0.9881805564979689,-1851.2595525398137,-0.28490404298074284,299,0,48,864,-556.0811038758495,38.54166666666667,0.9738807308335555,-2014.1942935582106,-0.6436123887451962,-1112.162207751699,-4028.388587116421
1.5,2.75,857,1022.7269794221722,38.03967327887982,1.049066075474147,-1331.8952801090825,1.1933803727213212,284,0,56,857,713.8889232381782,38.03967327887982,1.03348168720948,-1493.7440665709858,0.8330092453187611,1427.7778464763564,-2987.4881331419715
1.5,3.0,839,1727.1638664490429,37.18712753277711,1.0834703756960002,-1009.1015109243682,2.058598172168108,259,0,67,839,1433.6951707162636,37.18712753277711,1.0677234789929715,-1155.5809369350563,1.7088142678382165,2867.3903414325273,-2311.1618738701127
1.5,3.25,835,2462.702848139569,36.64670658682635,1.1185391551187867,-934.743327942509,2.9493447283108614,237,0,84,835,2249.1416410245083,36.64670658682635,1.1058253320236986,-1021.2087601638409,2.693582803622166,4498.283282049017,-2042.4175203276818
1.5,3.5,828,1852.9848970729624,35.628019323671495,1.0880560003275752,-1201.8364119569897,2.237904465063964,211,0,100,828,1576.5611166233039,35.628019323671495,1.0731065788994676,-1333.0972458617966,1.9040593195933622,3153.1222332466077,-2666.1944917235933
1.5,3.75,812,2523.8491789135373,35.221674876847295,1.1214532289575148,-1095.5322260635858,3.1081886439821886,192,0,110,812,2290.3626110108285,35.221674876847295,1.10765235042221,-1230.3194696337287,2.8206436096192467,4580.725222021657,-2460.6389392674573
1.5,4.0,802,2531.237704403904,34.91271820448878,1.12260863018862,-1182.9325964357395,3.1561567386582343,169,0,127,802,2313.8271078200373,34.91271820448878,1.1094526439669328,-1191.817481493852,2.8850712067581514,4627.654215640075,-2383.634962987704
1.5,4.25,796,2193.9513892977548,34.04522613065327,1.1055036174275878,-1214.0957181442982,2.7562203383137622,158,0,132,796,1925.1268781044848,34.04522613065327,1.0900658869075746,-1303.1544931912445,2.4185011031463377,3850.2537562089697,-2606.308986382489
1.5,4.5,788,2176.9581559510443,33.50253807106599,1.1053918724429797,-1144.3087445105075,2.76263725374498,145,0,141,788,2038.975351596459,33.50253807106599,1.0956620294006114,-1279.0959880806504,2.5875321720767244,4077.950703192918,-2558.1919761613008
1.5,4.75,784,2487.4014120745906,33.41836734693878,1.1208398523556016,-1188.104150108717,3.172705882748202,135,0,149,784,2376.2539862509616,33.41836734693878,1.1118616179188505,-1322.8913936788595,3.0309362069527572,4752.507972501923,-2645.782787357719
1.5,5.0,780,2642.5418541066074,33.07692307692307,1.128574375439571,-1168.735324509113,3.3878741719315477,124,0,156,780,2558.2298068139353,33.07692307692307,1.1206077738613363,-1303.5225680792555,3.279781803607609,5116.459613627871,-2607.045136158511
1.75,1.0,969,-1587.0634898156663,60.8875128998968,0.9081985346423214,-1945.718334703134,-1.6378364187984173,590,0,5,969,-1611.248212779718,60.8875128998968,0.9072687493997896,-2015.2458914644042,-1.662794853229843,-3222.496425559436,-4030.4917829288083
1.75,1.25,945,-421.2641539912861,57.03703703703704,0.9770600153264414,-1394.8481396743982,-0.4457821735357525,537,0,9,945,-370.8930664531881,57.03703703703704,0.979898717358293,-1428.13589472768,-0.3924794354001991,-741.7861329063762,-2856.27178945536
1.75,1.5,923,-156.93348208293332,52.76273022751896,0.9920235465108748,-1400.311346132892,-0.1700254410432647,481,0,15,923,-94.45393692955474,52.76273022751896,0.9952280193587609,-1380.9581613933403,-0.10233362614252951,-188.9078738591095,-2761.9163227866807
1.75,1.75,900,-1847.8808083833546,47.66666666666667,0.9137571642718025,-2654.434271536046,-2.0532008982037273,416,0,25,900,-1718.6497859123738,47.66666666666667,0.9205414294722009,-2495.2201104863166,-1.909610873235971,-3437.2995718247475,-4990.440220972633
1.75,2.0,877,-274.8247755711161,46.7502850627138,0.9871056175310285,-1816.5212225311766,-0.31336918537185415,392,0,31,877,-286.3921532510276,46.7502850627138,0.9867732334069782,-1815.2639736460321,-0.3265588976636575,-572.7843065020552,-3630.5279472920643
1.75,2.25,867,-814.3456588548765,43.59861591695502,0.9633307366553053,-2209.666414115392,-0.939268349313583,352,0,43,867,-914.6891852749595,43.59861591695502,0.9597404919976106,-2200.296181595407,-1.0550048273067585,-1829.378370549919,-4400.592363190814
1.75,2.5,852,-983.4531249770868,41.31455399061033,0.9564742196110438,-2402.1085937630237,-1.1542877053721676,313,0,58,852,-1333.4730558027502,41.31455399061033,0.9427120376789244,-2640.184651434013,-1.565109220425763,-2666.9461116055004,-5280.369302868026
1.75,2.75,842,469.15360119264653,40.85510688836104,1.0208474665770435,-1786.2273245124982,0.5571895501100315,297,0,66,842,200.84046042853015,40.85510688836104,1.0086806906831873,-2053.113477930902,0.23852786274172227,401.6809208570603,-4106.226955861804
1.75,3.0,825,1160.4114489381625,39.87878787878788,1.0518624162821106,-1422.4360062259022,1.4065593320462575,270,0,79,825,884.9841310657648,39.87878787878788,1.038400117436693,-1700.3300864042333,1.0727080376554725,1769.9682621315296,-3400.6601728084665
1.75,3.25,821,1761.0216914879893,39.2204628501827,1.0782166845603711,-1344.1652487017861,2.1449716096077824,245,0,97,821,1517.71178941107,39.2204628501827,1.0654574301083442,-1606.689968428901,1.8486136290025212,3035.42357882214,-3213.379936857802
1.75,3.5,815,1257.6682508805175,38.40490797546012,1.0552308919472766,-1509.7213722970491,1.5431512280742545,219,0,115,815,955.9316331214916,38.40490797546012,1.0406881191084987,-1847.420863050535,1.172922249228824,1911.8632662429832,-3694.84172610107
1.75,3.75,799,2024.8168062924337,38.04755944931164,1.090111782355114,-1260.5635784841297,2.534188743795286,200,0,125,799,1782.2778585652163,38.04755944931164,1.0769492267072036,-1531.3562607996125,2.2306356177286815,3564.5557171304326,-3062.712521599225
1.75,4.0,789,2026.8303722539845,37.6425855513308,1.0905898950352781,-1410.5323147029521,2.56885978739415,177,0,140,789,1851.38257269621,37.6425855513308,1.0804035062003798,-1630.981904193254,2.3464924875744106,3702.76514539242,-3261.963808386508
1.75,4.25,783,1670.218237540944,36.7816091954023,1.0741493684769814,-1307.0898484573295,2.133101197370299,164,0,148,783,1399.2892861101911,36.7816091954023,1.06000938330865,-1558.1971115819208,1.7870872108686988,2798.5785722203823,-3116.3942231638416
1.75,4.5,775,1753.0441801400098,36.25806451612903,1.0784044261736505,-1392.655852040783,2.2619924905032383,152,0,156,775,1611.5899204450793,36.25806451612903,1.0693340632803272,-1664.231718417467,2.079470865090425,3223.1798408901586,-3328.463436834934
1.75,4.75,769,2055.689239708727,36.28088426527958,1.0926655164672943,-1201.7263163849943,2.673197971012649,140,0,166,769,1952.8539424915944,36.28088426527958,1.0846534036604034,-1462.1906828402637,2.5394719668291215,3905.7078849831887,-2924.3813656805273
1.75,5.0,767,2168.683871299341,35.853976531942635,1.0975612132383936,-1193.5983677298882,2.8274887500643295,129,0,174,767,2195.0089434994316,35.853976531942635,1.0949652950588094,-1442.9512342637377,2.8618108780957385,4390.017886998863,-2885.9024685274753
