entry_time,exit_time,direction,entry_price,exit_price,contracts,bars_held,gross_pnl,net_pnl,exit_reason,signal_time
2021-02-19 14:31:00-05:00,2021-02-19 14:59:00-05:00,short,13557.1875,13583.264577594686,1,29,-521.54,-526.04,band_stop,2021-02-19 14:30:00-05:00
2021-02-22 11:01:00-05:00,2021-02-22 11:25:00-05:00,short,13300.1875,13340.75577245875,1,25,-811.37,-815.87,band_stop,2021-02-22 11:00:00-05:00
2021-02-22 11:31:00-05:00,2021-02-22 11:37:00-05:00,short,13331.1875,13335.664138202039,1,7,-89.53,-94.03,band_stop,2021-02-22 11:30:00-05:00
2021-02-22 12:01:00-05:00,2021-02-22 12:53:00-05:00,short,13322.6875,13331.652925982376,1,53,-179.31,-183.81,band_stop,2021-02-22 12:00:00-05:00
2021-02-22 15:31:00-05:00,2021-02-22 16:45:00-05:00,short,13254.1875,13218.3125,1,60,717.5,713.0,eod_close,2021-02-22 15:30:00-05:00
2021-02-23 10:01:00-05:00,2021-02-23 10:01:00-05:00,short,12884.9375,12885.0625,1,1,-2.5,-7.0,vwap_stop,2021-02-23 10:00:00-05:00
2021-02-23 13:01:00-05:00,2021-02-23 13:03:00-05:00,short,12900.9375,12946.6999157928,1,3,-915.25,-919.75,band_stop,2021-02-23 13:00:00-05:00
2021-02-24 12:31:00-05:00,2021-02-24 12:49:00-05:00,long,13230.5625,13215.66417086067,1,19,-297.97,-302.47,band_stop,2021-02-24 12:30:00-05:00
2021-02-24 13:31:00-05:00,2021-02-24 14:07:00-05:00,long,13232.0625,13221.732400336208,1,37,-206.6,-211.1,band_stop,2021-02-24 13:30:00-05:00
2021-02-24 14:31:00-05:00,2021-02-24 14:52:00-05:00,long,13238.5625,13223.612764580448,1,22,-298.99,-303.49,band_stop,2021-02-24 14:30:00-05:00
2021-02-24 15:01:00-05:00,2021-02-24 15:03:00-05:00,long,13234.8125,13233.38444529606,1,3,-28.56,-33.06,band_stop,2021-02-24 15:00:00-05:00
2021-02-24 15:31:00-05:00,2021-02-24 15:43:00-05:00,long,13273.8125,13267.761868576448,1,13,-121.01,-125.51,band_stop,2021-02-24 15:30:00-05:00
2021-02-25 11:31:00-05:00,2021-02-25 16:45:00-05:00,short,13100.6875,12824.8125,1,300,5517.5,5513.0,eod_close,2021-02-25 11:30:00-05:00
2021-02-26 10:31:00-05:00,2021-02-26 10:31:00-05:00,short,12759.1875,12779.163657496587,1,1,-399.52,-404.02,band_stop,2021-02-26 10:30:00-05:00
2021-02-26 12:31:00-05:00,2021-02-26 12:35:00-05:00,long,13046.5625,13048.058254640526,1,5,29.92,25.42,band_stop,2021-02-26 12:30:00-05:00
2021-02-26 13:31:00-05:00,2021-02-26 13:31:00-05:00,long,13050.5625,13050.4375,1,1,-2.5,-7.0,band_stop,2021-02-26 13:30:00-05:00
2021-03-01 11:01:00-05:00,2021-03-01 12:58:00-05:00,long,13179.8125,13206.096186081257,1,118,525.67,521.17,band_stop,2021-03-01 11:00:00-05:00
2021-03-01 13:01:00-05:00,2021-03-01 13:01:00-05:00,long,13204.8125,13203.61150059644,1,1,-24.02,-28.52,band_stop,2021-03-01 13:00:00-05:00
2021-03-01 13:31:00-05:00,2021-03-01 13:31:00-05:00,long,13200.0625,13199.9375,1,1,-2.5,-7.0,band_stop,2021-03-01 13:30:00-05:00
2021-03-01 14:01:00-05:00,2021-03-01 14:01:00-05:00,long,13208.0625,13202.770459419728,1,1,-105.84,-110.34,band_stop,2021-03-01 14:00:00-05:00
2021-03-01 14:31:00-05:00,2021-03-01 15:37:00-05:00,long,13252.8125,13262.441271392585,1,67,192.58,188.08,band_stop,2021-03-01 14:30:00-05:00
2021-03-02 10:01:00-05:00,2021-03-02 10:01:00-05:00,short,13218.6875,13228.569480393273,1,1,-197.64,-202.14,vwap_stop,2021-03-02 10:00:00-05:00
2021-03-02 10:31:00-05:00,2021-03-02 12:38:00-05:00,short,13156.9375,13183.447978678107,1,128,-530.21,-534.71,vwap_stop,2021-03-02 10:30:00-05:00
2021-03-02 13:01:00-05:00,2021-03-02 13:04:00-05:00,short,13167.9375,13180.893195276029,1,4,-259.11,-263.61,vwap_stop,2021-03-02 13:00:00-05:00
2021-03-02 13:31:00-05:00,2021-03-02 13:31:00-05:00,short,13184.9375,13185.0625,1,1,-2.5,-7.0,vwap_stop,2021-03-02 13:30:00-05:00
2021-03-02 14:01:00-05:00,2021-03-02 14:01:00-05:00,short,13185.4375,13185.5625,1,1,-2.5,-7.0,vwap_stop,2021-03-02 14:00:00-05:00
2021-03-02 14:31:00-05:00,2021-03-02 14:56:00-05:00,short,13137.9375,13174.338256714916,1,26,-728.02,-732.52,band_stop,2021-03-02 14:30:00-05:00
2021-03-02 15:01:00-05:00,2021-03-02 15:02:00-05:00,short,13166.6875,13171.777057863856,1,2,-101.79,-106.29,band_stop,2021-03-02 15:00:00-05:00
2021-03-02 15:31:00-05:00,2021-03-02 15:35:00-05:00,short,13112.4375,13133.164443480937,1,5,-414.54,-419.04,band_stop,2021-03-02 15:30:00-05:00
2021-03-03 10:01:00-05:00,2021-03-03 10:59:00-05:00,short,12904.4375,12910.609524955988,1,59,-123.44,-127.94,vwap_stop,2021-03-03 10:00:00-05:00
2021-03-03 11:01:00-05:00,2021-03-03 11:01:00-05:00,short,12907.4375,12910.600887007213,1,1,-63.27,-67.77,vwap_stop,2021-03-03 11:00:00-05:00
2021-03-03 12:01:00-05:00,2021-03-03 12:15:00-05:00,short,12892.9375,12903.60846361374,1,15,-213.42,-217.92,band_stop,2021-03-03 12:00:00-05:00
2021-03-03 12:31:00-05:00,2021-03-03 16:45:00-05:00,short,12860.6875,12668.5625,1,240,3842.5,3838.0,eod_close,2021-03-03 12:30:00-05:00
2021-03-04 10:01:00-05:00,2021-03-04 10:03:00-05:00,short,12589.1875,12605.738019631828,1,3,-331.01,-335.51,band_stop,2021-03-04 10:00:00-05:00
2021-03-04 13:01:00-05:00,2021-03-04 14:48:00-05:00,short,12483.9375,12518.800694005513,1,108,-697.26,-701.76,band_stop,2021-03-04 13:00:00-05:00
2021-03-04 15:01:00-05:00,2021-03-04 15:01:00-05:00,short,12510.6875,12519.970376761812,1,1,-185.66,-190.16,band_stop,2021-03-04 15:00:00-05:00
2021-03-04 15:31:00-05:00,2021-03-04 15:32:00-05:00,short,12460.9375,12482.059917881557,1,2,-422.45,-426.95,band_stop,2021-03-04 15:30:00-05:00
2021-03-05 10:01:00-05:00,2021-03-05 10:01:00-05:00,short,12422.1875,12422.3125,1,1,-2.5,-7.0,band_stop,2021-03-05 10:00:00-05:00
2021-03-05 10:31:00-05:00,2021-03-05 10:53:00-05:00,short,12354.9375,12406.78358183787,1,23,-1036.92,-1041.42,band_stop,2021-03-05 10:30:00-05:00
2021-03-05 11:01:00-05:00,2021-03-05 12:05:00-05:00,short,12340.1875,12376.315757521641,1,65,-722.57,-727.07,vwap_stop,2021-03-05 11:00:00-05:00
2021-03-08 12:01:00-05:00,2021-03-08 12:01:00-05:00,short,12508.1875,12522.203223965082,1,1,-280.31,-284.81,band_stop,2021-03-08 12:00:00-05:00
2021-03-08 14:01:00-05:00,2021-03-08 14:31:00-05:00,short,12423.4375,12489.848002182693,1,31,-1328.21,-1332.71,band_stop,2021-03-08 14:00:00-05:00
2021-03-08 15:01:00-05:00,2021-03-08 16:45:00-05:00,short,12419.4375,12333.5625,1,90,1717.5,1713.0,eod_close,2021-03-08 15:00:00-05:00
2021-03-09 10:01:00-05:00,2021-03-09 10:50:00-05:00,long,12704.8125,12704.38691200217,1,50,-8.51,-13.01,band_stop,2021-03-09 10:00:00-05:00
2021-03-09 11:01:00-05:00,2021-03-09 11:01:00-05:00,long,12705.3125,12700.87611703557,1,1,-88.73,-93.23,band_stop,2021-03-09 11:00:00-05:00
2021-03-09 11:31:00-05:00,2021-03-09 11:46:00-05:00,long,12743.3125,12725.863953129465,1,16,-348.97,-353.47,band_stop,2021-03-09 11:30:00-05:00
2021-03-09 12:01:00-05:00,2021-03-09 15:48:00-05:00,long,12748.0625,12803.246962000212,1,228,1103.69,1099.19,band_stop,2021-03-09 12:00:00-05:00
2021-03-11 13:31:00-05:00,2021-03-11 13:32:00-05:00,long,13082.8125,13081.9375,1,2,-17.5,-22.0,band_stop,2021-03-11 13:30:00-05:00
2021-03-16 11:01:00-04:00,2021-03-16 11:01:00-04:00,long,13274.3125,13268.408035390314,1,1,-118.09,-122.59,band_stop,2021-03-16 11:00:00-04:00
2021-03-22 10:01:00-04:00,2021-03-22 10:02:00-04:00,long,13008.3125,13007.485514432732,1,2,-16.54,-21.04,band_stop,2021-03-22 10:00:00-04:00
2021-03-22 11:01:00-04:00,2021-03-22 11:19:00-04:00,long,13056.8125,13061.918497440176,1,19,102.12,97.62,band_stop,2021-03-22 11:00:00-04:00
2021-03-22 11:31:00-04:00,2021-03-22 15:24:00-04:00,long,13075.8125,13105.010272442754,1,234,583.96,579.46,band_stop,2021-03-22 11:30:00-04:00
