entry_time,exit_time,direction,entry_price,exit_price,contracts,bars_held,gross_pnl,net_pnl,exit_reason,signal_time
2025-02-27 12:01:00-05:00,2025-02-27 12:30:00-05:00,short,21006.1875,21052.16966377185,1,30,-919.64,-924.14,band_stop,2025-02-27 12:00:00-05:00
2025-02-27 13:01:00-05:00,2025-02-27 13:01:00-05:00,short,21037.9375,21053.544857003653,1,1,-312.15,-316.65,band_stop,2025-02-27 13:00:00-05:00
2025-02-27 14:01:00-05:00,2025-02-27 14:01:00-05:00,short,21051.6875,21053.107459356008,1,1,-28.4,-32.9,band_stop,2025-02-27 14:00:00-05:00
2025-02-27 14:31:00-05:00,2025-02-27 16:45:00-05:00,short,20897.9375,20646.0625,1,135,5037.5,5033.0,eod_close,2025-02-27 14:30:00-05:00
2025-03-03 13:31:00-05:00,2025-03-03 13:49:00-05:00,short,20685.1875,20747.963023466345,1,19,-1255.51,-1260.01,band_stop,2025-03-03 13:30:00-05:00
2025-03-03 14:31:00-05:00,2025-03-03 14:31:00-05:00,short,20714.4375,20726.134409845436,1,1,-233.94,-238.44,band_stop,2025-03-03 14:30:00-05:00
2025-03-03 15:01:00-05:00,2025-03-03 16:45:00-05:00,short,20604.1875,20529.0625,1,105,1502.5,1498.0,eod_close,2025-03-03 15:00:00-05:00
2025-03-04 10:01:00-05:00,2025-03-04 10:01:00-05:00,short,20233.1875,20233.3125,1,1,-2.5,-7.0,band_stop,2025-03-04 10:00:00-05:00
2025-03-04 10:31:00-05:00,2025-03-04 10:32:00-05:00,short,20158.9375,20205.126936726585,1,2,-923.79,-928.29,band_stop,2025-03-04 10:30:00-05:00
2025-03-04 11:01:00-05:00,2025-03-04 11:01:00-05:00,short,20197.1875,20199.746769337067,1,1,-51.19,-55.69,band_stop,2025-03-04 11:00:00-05:00
2025-03-04 11:31:00-05:00,2025-03-04 11:31:00-05:00,short,20142.4375,20196.109657952977,1,1,-1073.44,-1077.94,band_stop,2025-03-04 11:30:00-05:00
2025-03-05 10:01:00-05:00,2025-03-05 10:01:00-05:00,short,20322.4375,20326.208023586863,1,1,-75.41,-79.91,band_stop,2025-03-05 10:00:00-05:00
2025-03-06 12:31:00-05:00,2025-03-06 12:31:00-05:00,short,20156.4375,20159.7033613712,1,1,-65.32,-69.82,band_stop,2025-03-06 12:30:00-05:00
2025-03-06 13:31:00-05:00,2025-03-06 13:32:00-05:00,short,20136.4375,20156.24907987167,1,2,-396.23,-400.73,band_stop,2025-03-06 13:30:00-05:00
2025-03-06 14:01:00-05:00,2025-03-06 14:49:00-05:00,short,20118.4375,20124.07209373651,1,49,-112.69,-117.19,band_stop,2025-03-06 14:00:00-05:00
2025-03-06 15:01:00-05:00,2025-03-06 15:07:00-05:00,short,20051.1875,20107.619812695895,1,7,-1128.65,-1133.15,band_stop,2025-03-06 15:00:00-05:00
2025-03-07 11:31:00-05:00,2025-03-07 12:05:00-05:00,short,19873.1875,19887.63918841344,1,35,-289.03,-293.53,band_stop,2025-03-07 11:30:00-05:00
2025-03-07 12:31:00-05:00,2025-03-07 12:33:00-05:00,short,19874.1875,19881.091099842823,1,3,-138.07,-142.57,band_stop,2025-03-07 12:30:00-05:00
2025-03-10 10:31:00-04:00,2025-03-10 11:38:00-04:00,short,19668.4375,19697.527282525152,1,68,-581.8,-586.3,vwap_stop,2025-03-10 10:30:00-04:00
2025-03-10 12:01:00-04:00,2025-03-10 16:45:00-04:00,short,19586.4375,19473.0625,1,285,2267.5,2263.0,eod_close,2025-03-10 12:00:00-04:00
2025-03-11 13:31:00-04:00,2025-03-11 13:42:00-04:00,short,19208.6875,19270.52076640121,1,12,-1236.67,-1241.17,band_stop,2025-03-11 13:30:00-04:00
2025-03-13 10:01:00-04:00,2025-03-13 10:13:00-04:00,short,19367.4375,19455.0103013217,1,13,-1751.46,-1755.96,vwap_stop,2025-03-13 10:00:00-04:00
2025-03-13 11:01:00-04:00,2025-03-13 11:01:00-04:00,short,19424.1875,19437.899804531804,1,1,-274.25,-278.75,band_stop,2025-03-13 11:00:00-04:00
2025-03-13 11:31:00-04:00,2025-03-13 14:45:00-04:00,short,19354.4375,19373.945871145417,1,195,-390.17,-394.67,vwap_stop,2025-03-13 11:30:00-04:00
2025-03-13 15:01:00-04:00,2025-03-13 15:01:00-04:00,short,19362.1875,19370.480034554384,1,1,-165.85,-170.35,band_stop,2025-03-13 15:00:00-04:00
2025-03-13 15:31:00-04:00,2025-03-13 16:45:00-04:00,short,19260.6875,19291.5625,1,75,-617.5,-622.0,eod_close,2025-03-13 15:30:00-04:00
2025-03-14 11:01:00-04:00,2025-03-14 11:10:00-04:00,long,19610.3125,19614.206110057552,1,10,77.87,73.37,band_stop,2025-03-14 11:00:00-04:00
2025-03-14 11:31:00-04:00,2025-03-14 12:17:00-04:00,long,19645.3125,19624.153875114145,1,47,-423.17,-427.67,band_stop,2025-03-14 11:30:00-04:00
2025-03-14 13:01:00-04:00,2025-03-14 13:35:00-04:00,long,19686.8125,19637.278356920793,1,35,-990.68,-995.18,band_stop,2025-03-14 13:00:00-04:00
2025-03-14 15:01:00-04:00,2025-03-14 15:01:00-04:00,long,19673.8125,19671.708020248534,1,1,-42.09,-46.59,band_stop,2025-03-14 15:00:00-04:00
2025-03-17 10:01:00-04:00,2025-03-17 10:01:00-04:00,long,19998.5625,19998.4375,1,1,-2.5,-7.0,band_stop,2025-03-17 10:00:00-04:00
2025-03-17 14:31:00-04:00,2025-03-17 15:11:00-04:00,long,20127.8125,20123.491089132338,1,41,-86.43,-90.93,band_stop,2025-03-17 14:30:00-04:00
2025-03-18 10:01:00-04:00,2025-03-18 10:41:00-04:00,short,19672.9375,19727.668504154044,1,41,-1094.62,-1099.12,vwap_stop,2025-03-18 10:00:00-04:00
