date,strat,tp,mae_pre,flat_pnl
2025-01-27,RV,1,1125.0,2280.0
2025-01-27,OD,1,1830.0,1295.0
2025-01-28,FB,1,1590.0,1190.0
2025-01-28,OD,1,115.0,2090.0
2025-01-29,OD,1,50.0,1600.0
2025-01-30,RV,0,2850.0,-2820.0
2025-01-30,OD,1,410.0,2030.0
2025-01-31,RV,1,50.0,1550.0
2025-01-31,FB,1,605.0,-2415.0
2025-01-31,B2,1,510.0,100.0
2025-01-31,B2,0,3745.0,-3130.0
2025-01-31,B2,0,2445.0,-2045.0
2025-02-02,OD,0,2745.0,-2555.0
2025-02-03,RV,1,3890.0,1110.0
2025-02-03,B2,1,1570.0,2670.0
2025-02-03,FB,1,305.0,990.0
2025-02-03,OD,0,1640.0,-1510.0
2025-02-04,FB,1,0.0,1575.0
2025-02-04,B2,0,2320.0,-1465.0
2025-02-04,OD,0,510.0,-395.0
2025-02-05,FB,1,1225.0,1765.0
2025-02-05,B2,1,1235.0,630.0
2025-02-05,OD,0,560.0,30.0
2025-02-06,FB,0,1565.0,-945.0
2025-02-06,OD,0,130.0,65.0
2025-02-10,FB,0,575.0,395.0
2025-02-10,OD,0,585.0,-380.0
2025-02-11,RV,0,2090.0,-1525.0
2025-02-11,FB,1,510.0,545.0
2025-02-11,B2,0,2685.0,-1420.0
2025-02-11,OD,0,445.0,-410.0
2025-02-12,RV,0,3205.0,-2300.0
2025-02-12,RV,1,490.0,870.0
2025-02-12,OD,1,60.0,305.0
2025-02-13,RV,1,855.0,2365.0
2025-02-13,FB,1,25.0,1565.0
2025-02-13,OD,1,125.0,290.0
2025-02-14,FB,1,1045.0,805.0
2025-02-16,OD,1,345.0,460.0
2025-02-17,OD,0,225.0,580.0
2025-02-18,RV,1,570.0,810.0
2025-02-18,RV,0,800.0,-520.0
2025-02-18,OD,0,370.0,-250.0
2025-02-19,RV,0,1750.0,-1105.0
2025-02-19,OD,0,630.0,-465.0
2025-02-20,RV,1,610.0,955.0
2025-02-20,OD,1,1200.0,1105.0
2025-02-21,B2,1,190.0,340.0
2025-02-23,OD,0,690.0,-245.0
2025-02-24,B2,1,2085.0,2555.0
2025-02-24,OD,0,585.0,-160.0
2025-02-25,RV,1,160.0,-1105.0
2025-02-25,B2,0,2590.0,-745.0
2025-02-25,OD,1,440.0,2095.0
2025-02-26,FB,1,10.0,-2390.0
2025-02-26,B2,1,530.0,2385.0
2025-02-26,OD,1,1340.0,2120.0
2025-02-27,RV,1,1575.0,5065.0
2025-02-27,OD,0,2715.0,-2385.0
2025-03-02,OD,1,740.0,2200.0
2025-03-03,RV,1,150.0,-5395.0
2025-03-03,RV,1,1440.0,5985.0
2025-03-03,OD,1,1205.0,-570.0
2025-03-04,FB,1,55.0,950.0
2025-03-04,OD,1,2225.0,-205.0
2025-03-05,RV,1,1210.0,2780.0
2025-03-05,FB,0,2515.0,850.0
2025-03-05,OD,0,1965.0,-1890.0
2025-03-06,RV,1,1375.0,5185.0
2025-03-06,OD,0,1775.0,-1425.0
2025-03-07,B2,1,1315.0,350.0
2025-03-09,OD,1,840.0,1250.0
2025-03-10,RV,1,170.0,3995.0
2025-03-10,OD,0,2945.0,-2015.0
2025-03-11,RV,1,305.0,2920.0
2025-03-11,OD,0,1060.0,-760.0
2025-03-12,OD,0,1180.0,-1080.0
