atr_n,sl_mult,n_all,wr_all,all_net,all_PF,all_mdd,is_n,is_net,is_PF,oos_n,oos_net,oos_PF,beat_both,net_mdd_ratio
14,2.65,1347,48.3,213667.0,1.129,-83235.0,808,58566.0,1.065,539,155101.0,1.205,True,2.567033099056887
14,2.75,1346,48.9,211944.0,1.127,-84343.0,807,65383.0,1.073,539,146562.0,1.192,True,2.51288192262547
14,2.85,1346,49.6,239982.0,1.145,-64165.0,807,85816.0,1.097,539,154166.0,1.2,True,3.740076365619886
14,2.95,1346,50.0,249158.0,1.151,-59646.0,807,92672.0,1.105,539,156486.0,1.203,True,4.177279281091775
21,0.25,1379,7.0,85882.0,1.235,-50163.0,827,11377.0,1.059,552,74505.0,1.431,True,1.7120586886749198
21,0.35,1376,10.0,133699.0,1.272,-49208.0,825,55792.0,1.216,551,77908.0,1.333,True,2.717017558120631
21,0.45,1373,12.7,114733.0,1.189,-38532.0,823,71555.0,1.227,550,43177.0,1.147,True,2.977603031246756
21,0.55,1369,15.2,134184.0,1.187,-39488.0,821,111334.0,1.302,548,22850.0,1.065,True,3.398095623987034
21,0.65,1364,17.3,168575.0,1.205,-49675.0,818,108011.0,1.254,546,60564.0,1.152,True,3.393558127830901
21,0.75,1362,19.9,220250.0,1.242,-41465.0,817,130278.0,1.276,545,89973.0,1.205,True,5.311708669962619
21,0.85,1361,21.6,201330.0,1.201,-47278.0,816,114500.0,1.219,545,86830.0,1.181,True,4.258428867549389
21,0.95,1359,24.0,211087.0,1.197,-59990.0,815,115133.0,1.205,544,95953.0,1.188,True,3.5187031171861975
21,1.05,1356,26.2,232110.0,1.203,-59672.0,813,114231.0,1.189,543,117879.0,1.218,True,3.889764043437458
21,1.15,1354,28.4,239976.0,1.2,-65079.0,812,97526.0,1.152,542,142450.0,1.253,True,3.68745678329415
21,1.25,1353,30.2,260819.0,1.207,-46572.0,811,110164.0,1.164,542,150656.0,1.256,True,5.600339259640986
21,1.35,1352,32.2,234413.0,1.178,-46412.0,811,100811.0,1.144,541,133602.0,1.216,True,5.050698095320175
21,1.45,1352,33.9,243789.0,1.179,-54259.0,811,109555.0,1.151,541,134234.0,1.21,True,4.493061058994821
21,1.55,1352,35.9,230571.0,1.163,-49140.0,811,106727.0,1.143,541,123844.0,1.186,True,4.692124542124542
21,1.65,1351,37.4,243051.0,1.167,-51806.0,810,123768.0,1.161,541,119283.0,1.173,True,4.691560823070687
21,1.75,1350,39.0,229438.0,1.154,-60972.0,810,139813.0,1.181,540,89625.0,1.125,True,3.7630059699534213
21,1.85,1350,39.8,200351.0,1.13,-68914.0,810,107722.0,1.134,540,92630.0,1.126,True,2.9072612241344284
21,1.95,1349,41.2,223313.0,1.144,-68023.0,809,121443.0,1.15,540,101871.0,1.138,True,3.282904311776899
21,2.05,1348,42.5,240710.0,1.154,-76391.0,808,116035.0,1.14,540,124675.0,1.17,True,3.151025644382192
21,2.15,1347,43.8,266274.0,1.17,-46179.0,808,118988.0,1.142,539,147285.0,1.202,True,5.766127460534009
21,2.25,1347,44.5,250640.0,1.157,-58203.0,808,110322.0,1.129,539,140318.0,1.19,True,4.30630723502225
21,2.35,1347,45.7,253007.0,1.158,-54732.0,808,92870.0,1.107,539,160136.0,1.218,True,4.622652196155814
21,2.45,1347,46.4,238256.0,1.147,-69060.0,808,83154.0,1.095,539,155102.0,1.208,True,3.449985519837822
21,2.55,1347,46.9,223891.0,1.137,-78814.0,808,71802.0,1.081,539,152090.0,1.202,True,2.8407516431090922
21,2.65,1346,47.6,206053.0,1.125,-85847.0,807,59508.0,1.066,539,146545.0,1.195,True,2.40023530234021
21,2.75,1346,48.4,226709.0,1.138,-74590.0,807,65680.0,1.073,539,161029.0,1.215,True,3.0394020646199222
21,2.85,1346,49.2,242808.0,1.147,-66389.0,807,65954.0,1.073,539,176855.0,1.235,True,3.6573528747232222
21,2.95,1346,49.6,226705.0,1.136,-71473.0,807,61918.0,1.069,539,164786.0,1.215,True,3.17189708001623
28,0.25,1379,7.0,79265.0,1.218,-48989.0,827,13067.0,1.068,552,66198.0,1.384,True,1.6180162893710832
28,0.35,1375,9.7,122436.0,1.25,-53280.0,825,47226.0,1.184,550,75210.0,1.323,True,2.297972972972973
28,0.45,1370,12.6,117832.0,1.195,-42205.0,822,76281.0,1.244,548,41551.0,1.143,True,2.791896694704419
28,0.55,1368,15.1,136965.0,1.192,-39535.0,820,108040.0,1.296,548,28925.0,1.083,True,3.464398634121664
28,0.65,1364,17.2,162754.0,1.199,-56485.0,818,109575.0,1.26,546,53179.0,1.134,True,2.8813667345312917
28,0.75,1362,19.5,195474.0,1.215,-42830.0,817,124628.0,1.266,545,70846.0,1.161,True,4.56395050198459
28,0.85,1360,21.7,210482.0,1.212,-46469.0,816,123869.0,1.241,544,86613.0,1.181,True,4.529514299855818
28,0.95,1355,23.8,218596.0,1.205,-59986.0,813,118948.0,1.214,542,99648.0,1.195,True,3.6441169606241455
28,1.05,1354,26.2,234117.0,1.205,-58721.0,812,100530.0,1.167,542,133587.0,1.249,True,3.986938233340713
28,1.15,1354,28.2,240108.0,1.2,-62041.0,812,95716.0,1.15,542,144391.0,1.257,True,3.870150384423204
28,1.25,1353,30.4,265352.0,1.212,-39715.0,811,115040.0,1.173,542,150312.0,1.257,True,6.681405010701247
28,1.35,1352,32.0,241565.0,1.185,-47404.0,811,106229.0,1.154,541,135336.0,1.219,True,5.09587798498017
28,1.45,1352,33.7,228378.0,1.167,-46971.0,811,107635.0,1.15,541,120743.0,1.187,True,4.862106406080348
28,1.55,1350,36.0,241290.0,1.173,-48026.0,810,106141.0,1.143,540,135149.0,1.206,True,5.024153583475617
28,1.65,1350,37.3,254796.0,1.177,-50829.0,810,132105.0,1.175,540,122692.0,1.18,True,5.012807649176652
28,1.75,1350,38.8,232634.0,1.157,-59670.0,810,136438.0,1.177,540,96196.0,1.135,True,3.8986760516172283
28,1.85,1349,39.8,214666.0,1.141,-57984.0,809,116401.0,1.147,540,98264.0,1.135,True,3.702159216335541
28,1.95,1348,41.1,233148.0,1.151,-66985.0,808,125598.0,1.156,540,107550.0,1.147,True,3.4806001343584385
28,2.05,1347,42.5,266918.0,1.173,-72497.0,808,118340.0,1.144,539,148578.0,1.205,True,3.681779935721478
28,2.15,1347,43.4,267824.0,1.171,-46318.0,808,116712.0,1.139,539,151112.0,1.208,True,5.782287663543331
28,2.25,1347,44.5,267592.0,1.169,-45865.0,808,119476.0,1.141,539,148116.0,1.201,True,5.834339910607217
28,2.35,1347,45.3,230964.0,1.143,-71280.0,808,95919.0,1.111,539,135045.0,1.18,True,3.24023569023569
28,2.45,1346,46.2,255960.0,1.159,-58356.0,807,89719.0,1.103,539,166241.0,1.225,True,4.3861813695249845
28,2.55,1346,46.9,236107.0,1.145,-73272.0,807,84122.0,1.096,539,151985.0,1.202,True,3.2223359537067364
28,2.65,1346,47.6,229781.0,1.14,-72714.0,807,76958.0,1.087,539,152823.0,1.202,True,3.160065461946805
28,2.75,1346,48.4,223620.0,1.135,-64271.0,807,79219.0,1.089,539,144401.0,1.191,True,3.4793297132454764
28,2.85,1346,48.9,235858.0,1.143,-71217.0,807,67761.0,1.075,539,168097.0,1.222,True,3.3118216156254827
28,2.95,1346,49.6,224837.0,1.135,-72373.0,807,64988.0,1.073,539,159849.0,1.208,True,3.106641979743827
