atr_n,sl_mult,tp_mult,rr,n_all,wr_strict_all,wr_inc_fc_all,net_all,pf_all,mdd_all,is_n,wr_strict_is,wr_inc_fc_is,net_is,pf_is,oos_n,wr_strict_oos,wr_inc_fc_oos,net_oos,pf_oos,robust_1to1
14,3.0,6.0,2.0,1386,6.277056277056277,50.649350649350644,134037.51609853734,1.1045260047706766,-41245.43016803621,831,5.776173285198556,49.21780986762936,23793.61703829958,1.034505595235785,555,7.027027027027027,52.792792792792795,110243.89906023775,1.1859782907605168,False
21,0.5,0.5,1.0,1386,27.417027417027416,27.56132756132756,-235747.7406127433,0.3910382265640728,-235925.60361790805,831,28.399518652226234,28.51985559566787,-114319.58134370868,0.41857269244108647,555,25.945945945945947,26.126126126126124,-121428.15926903463,0.36262110235025274,False
21,0.5,0.75,1.5,1386,26.984126984126984,27.200577200577204,-164595.08576838722,0.576645290873843,-165022.08107350935,831,27.918170878459687,28.158844765342963,-75380.92898941445,0.618062970567133,555,25.585585585585584,25.765765765765764,-89214.15677897276,0.5339419640667625,False
21,0.5,1.0,2.0,1386,26.623376623376622,26.911976911976907,-97710.2227606115,0.7502125953498675,-103356.82169044077,831,27.67749699157641,28.038507821901327,-35569.65662764065,0.8198364433989666,555,25.045045045045043,25.225225225225223,-62140.56613297086,0.6792641153267475,False
21,0.75,0.75,1.0,1386,39.82683982683983,40.04329004329004,-148373.56946773734,0.6894054715523331,-150120.07992583993,831,40.19253910950662,40.43321299638989,-73217.59389184101,0.7018305341341231,555,39.27927927927928,39.45945945945946,-75155.97557589636,0.6762629165407984,False
21,0.75,1.12,1.5,1386,37.301587301587304,37.66233766233766,-43405.91408425075,0.9133627548397806,-64579.016114362305,831,38.1468110709988,38.50782190132371,-5678.8893034594685,0.9775172471574319,555,36.03603603603604,36.3963963963964,-37727.02478079126,0.8481313939831803,False
21,0.75,1.5,2.0,1386,33.76623376623377,34.34343434343434,24043.578049016367,1.0454895507961273,-19190.202935732927,831,34.65703971119133,35.13838748495788,28577.46452963497,1.1064894003520829,555,32.432432432432435,33.153153153153156,-4533.886480618601,0.9825748402581821,False
21,1.0,1.0,1.0,1386,46.03174603174603,46.39249639249639,-71551.76608259058,0.8749717769076447,-89679.05725961825,831,46.32972322503009,46.690734055354994,-20519.83455571783,0.9286356984491094,555,45.585585585585584,45.94594594594595,-51031.93152687276,0.8207824474703973,False
21,1.0,1.5,1.5,1386,40.18759018759019,40.83694083694084,21871.747126434548,1.0345219144716142,-19865.8447728966,831,40.07220216606498,40.67388688327316,18176.421273368527,1.0559831615222184,555,40.36036036036036,41.08108108108108,3695.3258530660173,1.0119634486119327,False
21,1.0,2.0,2.0,1386,34.34343434343434,35.93073593073593,72643.2005432687,1.105822854708972,-22075.27128310129,831,34.5367027677497,35.98074608904934,42977.42673467402,1.1218408760733865,555,34.054054054054056,35.85585585585586,29665.773808594662,1.0888925115799408,False
21,1.25,1.25,1.0,1386,49.06204906204906,49.63924963924964,-1819.5684730603648,0.9972814289120082,-32490.91795834143,831,49.81949458483754,50.18050541516246,18744.664849036195,1.0556348443660764,555,47.927927927927925,48.82882882882883,-20564.23332209656,0.9381317486557825,False
21,1.25,1.88,1.5,1386,40.115440115440116,42.279942279942276,72612.3876776386,1.0948633933324294,-26550.755174098646,831,39.59085439229844,41.63658243080626,29174.442441261497,1.0730510742361894,555,40.9009009009009,43.24324324324324,43437.94523637711,1.1186598518821336,False
21,1.25,2.5,2.0,1386,32.03463203463203,36.724386724386726,92517.76826565496,1.1108037369812784,-29319.94989472892,831,32.250300842358605,35.98074608904934,41161.7829255111,1.094112796352994,555,31.71171171171171,37.83783783783784,51355.98534014389,1.1291638932552353,False
21,1.5,1.5,1.0,1386,49.711399711399714,51.22655122655123,33549.93018444792,1.0430565006407684,-25561.931078246653,831,50.42117930204573,51.74488567990373,33594.961551180415,1.0849995430746866,555,48.64864864864865,50.45045045045045,-45.03136673249912,0.9998827216884443,False
21,1.5,2.25,1.5,1386,38.23953823953824,43.506493506493506,76402.89569840119,1.0850801503322034,-31309.832801169643,831,38.86883273164862,43.32129963898917,43052.661763554934,1.0925414278175105,555,37.2972972972973,43.78378378378379,33350.233934846256,1.0770595882876932,False
21,1.5,3.0,2.0,1386,27.56132756132756,38.88888888888889,91096.05444921384,1.0945691343000479,-29960.744479839715,831,28.158844765342963,38.26714801444043,49020.29374881467,1.097635218877792,555,26.666666666666668,39.81981981981982,42075.76070039916,1.0912312951838639,False
21,1.75,1.75,1.0,1386,49.92784992784993,53.102453102453104,81172.50313184324,1.0926411172370896,-28233.69632680413,831,50.90252707581227,53.67027677496991,70396.63578757778,1.1600639312841758,555,48.468468468468465,52.25225225225225,10775.86734426548,1.0246926041140867,True
21,1.75,2.62,1.5,1386,35.42568542568543,45.310245310245314,101087.09078033267,1.1003466613314379,-31721.560506120768,831,36.8231046931408,45.246690734055356,74401.87628311725,1.1441321782389466,555,33.33333333333333,45.40540540540541,26685.214497215413,1.0543295800711712,False
21,1.75,3.5,2.0,1386,23.809523809523807,41.63059163059163,105820.18348935989,1.0994342206086867,-34545.673800721255,831,23.586040914560773,40.794223826714806,50219.48118008659,1.090729606653535,555,24.144144144144146,42.88288288288288,55600.702309273285,1.1088681655315997,False
