k,mode,drift,giveback,scale_body,max_gb,min_gap,IS_pf,OOS_pf,FULL_pf,FULL_net,FULL_dd,n,robust_pf
1.0,drift_floor,0.0,0.7,True,0.5,0.0,1.3265968859636406,1.3766670242053702,1.3490185404591886,108995.0,-21705.0,709,1.3265968859636406
1.0,drift_floor,0.0,0.7,True,0.5,0.3,1.2689746539762228,1.0911175238170534,1.1856243052982587,50100.0,-16625.0,709,1.0911175238170534
1.0,drift_floor,0.0,0.7,True,1.0,0.0,1.3538931041240865,1.2499673799582462,1.3058924562698688,101515.0,-22375.0,709,1.2499673799582462
1.0,drift_floor,0.0,0.7,True,1.0,0.3,1.310044874007594,1.091330730877749,1.20686322775924,56725.0,-20550.0,709,1.091330730877749
1.0,drift_floor,0.0,0.7,False,0.5,0.0,1.3742728028256805,1.3386029531601422,1.358455111804923,123995.0,-20480.0,709,1.3386029531601422
1.0,drift_floor,0.0,0.7,False,0.5,0.3,1.2743612827119486,1.1230413562805035,1.2050147988699045,60955.0,-16970.0,709,1.1230413562805035
1.0,drift_floor,0.0,0.7,False,1.0,0.0,1.3348212143028557,1.3069532161992277,1.3224203838623316,121035.0,-17275.0,709,1.3069532161992277
1.0,drift_floor,0.0,0.7,False,1.0,0.3,1.1999126780549036,1.209893471152832,1.2042741477054495,66480.0,-17935.0,709,1.1999126780549036
1.0,drift_floor,1.0,0.0,True,0.5,0.0,1.173123400625533,1.0870840291637816,1.1330309184428797,35045.0,-19620.0,709,1.0870840291637816
1.0,drift_floor,1.0,0.3,True,0.5,0.0,1.2800374006545114,1.148589081867159,1.218272584042911,61650.0,-16385.0,709,1.148589081867159
1.0,drift_floor,1.0,0.3,True,0.5,0.3,1.183488327955969,1.024630331955512,1.1086485184292942,27060.0,-19435.0,709,1.024630331955512
1.0,drift_floor,1.0,0.3,True,1.0,0.0,1.2800374006545114,1.148589081867159,1.218272584042911,61650.0,-16385.0,709,1.148589081867159
