N,k,mode,drift,giveback,scale_body,max_gb,min_gap,IS_pf,OOS_pf,FULL_pf,FULL_net,FULL_dd,n,robust_pf
5,1.5,pure_ratchet,0.0,0.3,False,0.5,0.0,1.3002116877285266,1.5480844882890517,1.4028416423389674,160760.0,-18775.0,709,1.3002116877285266
5,1.5,pure_ratchet,0.0,0.3,False,0.5,0.3,1.357756618671621,1.5472812113132082,1.4378310958518299,163230.0,-15055.0,709,1.357756618671621
5,1.5,pure_ratchet,0.0,0.3,False,1.0,0.0,1.2296471911918347,1.486092638639912,1.334787453472107,141210.0,-20085.0,709,1.2296471911918347
5,1.5,pure_ratchet,0.0,0.3,False,1.0,0.3,1.303503672310116,1.5655694310360935,1.4125398429604292,159195.0,-17420.0,709,1.303503672310116
5,1.5,pure_ratchet,0.0,0.5,True,0.5,0.0,1.3171088827757564,1.49392700287748,1.3918633389251003,153005.0,-14205.0,709,1.3171088827757564
5,1.5,pure_ratchet,0.0,0.5,True,0.5,0.3,1.3119243994517518,1.5466094648974027,1.410405269621525,147040.0,-15110.0,709,1.3119243994517518
5,1.5,pure_ratchet,0.0,0.5,True,1.0,0.0,1.268603422776252,1.4449858716337005,1.3431936789738088,140730.0,-18755.0,709,1.268603422776252
5,1.5,pure_ratchet,0.0,0.5,True,1.0,0.3,1.3096448995275876,1.4066979845431127,1.3511057020042467,135590.0,-18245.0,709,1.3096448995275876
5,1.5,pure_ratchet,0.0,0.5,False,0.5,0.0,1.2682792181238243,1.5149651735493836,1.3699907475276674,153955.0,-20250.0,709,1.2682792181238243
5,1.5,pure_ratchet,0.0,0.5,False,0.5,0.3,1.3033836911387933,1.544538542374977,1.403890248615226,156770.0,-16785.0,709,1.3033836911387933
5,1.5,pure_ratchet,0.0,0.5,False,1.0,0.0,1.2601951063489525,1.476952208687788,1.349994731111033,149460.0,-17950.0,709,1.2601951063489525
5,1.5,pure_ratchet,0.0,0.5,False,1.0,0.3,1.2546813403416557,1.475791541483707,1.3465434469515123,144370.0,-17950.0,709,1.2546813403416557
5,1.5,pure_ratchet,0.0,0.7,True,0.5,0.0,1.3107866571914637,1.4741800624153565,1.3798116985684614,152690.0,-17060.0,709,1.3107866571914637
5,1.5,pure_ratchet,0.0,0.7,True,0.5,0.3,1.3167768364211898,1.5051416314428112,1.3967535424423432,148120.0,-14405.0,709,1.3167768364211898
5,1.5,pure_ratchet,0.0,0.7,True,1.0,0.0,1.2417089152956735,1.4860596663508199,1.3421456390888706,144950.0,-17880.0,709,1.2417089152956735
5,1.5,pure_ratchet,0.0,0.7,True,1.0,0.3,1.290097479280285,1.4665532879818595,1.36394056686228,145740.0,-16750.0,709,1.290097479280285
5,1.5,pure_ratchet,0.0,0.7,False,0.5,0.0,1.2829946877777547,1.5030939162618553,1.3747453684172461,155450.0,-20765.0,709,1.2829946877777547
5,1.5,pure_ratchet,0.0,0.7,False,0.5,0.3,1.298687017528426,1.544538542374977,1.400896907084024,155995.0,-16785.0,709,1.298687017528426
5,1.5,pure_ratchet,0.0,0.7,False,1.0,0.0,1.232968716246735,1.4959782485555682,1.34066265409549,146875.0,-18745.0,709,1.232968716246735
5,1.5,pure_ratchet,0.0,0.7,False,1.0,0.3,1.2579411583297353,1.4779247850380708,1.3492906948785766,145270.0,-17950.0,709,1.2579411583297353
5,1.5,drift_floor,0.0,0.0,True,0.5,0.0,1.346785873440285,1.33248730964467,1.3402836836350382,112035.0,-16450.0,709,1.33248730964467
5,1.5,drift_floor,0.0,0.3,True,0.5,0.0,1.3034007769118945,1.5424580281324949,1.4046968344434525,147340.0,-15400.0,709,1.3034007769118945
5,1.5,drift_floor,0.0,0.3,True,0.5,0.3,1.3133124510571652,1.59950948568131,1.4334756799321582,143125.0,-13725.0,709,1.3133124510571652
5,1.5,drift_floor,0.0,0.3,True,1.0,0.0,1.2929779793970324,1.5230393260233448,1.390422619615107,143330.0,-15735.0,709,1.2929779793970324
5,1.5,drift_floor,0.0,0.3,True,1.0,0.3,1.303397493863842,1.5820906197475235,1.4202915941681167,140100.0,-13725.0,709,1.303397493863842
5,1.5,drift_floor,0.0,0.3,False,0.5,0.0,1.3002116877285266,1.5480844882890517,1.4028416423389674,160760.0,-18775.0,709,1.3002116877285266
