N,tp_rr,delta,n_all,wr_all,all_net,all_PF,all_mdd,is_net,is_PF,oos_net,oos_PF,beat_both,net_mdd_ratio
4,2.5,200,632,58.2,79340.0,1.208,-19745.0,67340.0,1.328,12000.0,1.068,True,4.018232463914915
4,2.5,300,594,57.9,64110.0,1.181,-20655.0,51240.0,1.261,12870.0,1.082,True,3.103848946986202
4,3.0,100,668,57.8,95050.0,1.231,-19535.0,76035.0,1.351,19015.0,1.098,True,4.86562579984643
4,3.0,150,654,57.3,92350.0,1.233,-19320.0,68155.0,1.314,24195.0,1.135,True,4.780020703933747
4,3.0,200,632,58.2,79940.0,1.209,-19745.0,67940.0,1.331,12000.0,1.068,True,4.048619903773107
4,3.0,300,594,57.9,64710.0,1.183,-20655.0,51840.0,1.264,12870.0,1.082,True,3.132897603485839
5,1.0,100,640,58.3,78445.0,1.214,-23530.0,71940.0,1.384,6505.0,1.036,True,3.333829154271143
5,1.0,150,621,58.1,80695.0,1.232,-18360.0,64825.0,1.353,15870.0,1.097,True,4.395152505446623
5,1.0,200,603,58.9,74085.0,1.22,-17960.0,62730.0,1.352,11355.0,1.072,True,4.125
5,1.0,300,568,57.0,39000.0,1.119,-21450.0,35200.0,1.195,3800.0,1.026,True,1.8181818181818181
5,1.5,100,640,58.0,74748.0,1.203,-26715.0,76195.0,1.401,-1448.0,0.992,False,2.7979786636720942
5,1.5,150,621,57.8,73358.0,1.21,-22900.0,66155.0,1.355,7202.0,1.044,True,3.2034061135371177
5,1.5,200,603,58.5,69082.0,1.204,-22100.0,63915.0,1.353,5168.0,1.033,True,3.1258823529411766
5,1.5,300,568,56.9,40498.0,1.123,-26605.0,40668.0,1.225,-170.0,0.999,False,1.5221950761135126
5,2.0,100,640,58.0,80970.0,1.22,-26715.0,81295.0,1.428,-325.0,0.998,False,3.0308815272318923
5,2.0,150,621,57.8,80665.0,1.231,-22900.0,72340.0,1.388,8325.0,1.051,True,3.5224890829694324
5,2.0,200,603,58.5,77160.0,1.227,-22100.0,70870.0,1.391,6290.0,1.04,True,3.4914027149321267
5,2.0,300,568,56.9,46695.0,1.142,-26605.0,44920.0,1.248,1775.0,1.012,True,1.7551212178162
5,2.5,100,640,57.8,76568.0,1.207,-26715.0,76972.0,1.401,-405.0,0.998,False,2.8661051843533594
5,2.5,150,621,57.8,83068.0,1.237,-22900.0,74822.0,1.401,8245.0,1.05,True,3.6274235807860262
5,2.5,200,603,58.4,76175.0,1.224,-22100.0,69965.0,1.386,6210.0,1.039,True,3.4468325791855206
5,2.5,300,568,56.7,44365.0,1.135,-26605.0,43235.0,1.239,1130.0,1.008,True,1.6675436947942117
5,3.0,100,640,57.8,77715.0,1.21,-26715.0,78120.0,1.407,-405.0,0.998,False,2.9090398652442446
5,3.0,150,621,57.8,84065.0,1.24,-22900.0,75820.0,1.406,8245.0,1.05,True,3.670960698689956
5,3.0,200,603,58.4,76620.0,1.226,-22100.0,70410.0,1.389,6210.0,1.039,True,3.4669683257918553
5,3.0,300,568,56.7,44965.0,1.137,-26605.0,43835.0,1.242,1130.0,1.008,True,1.6900958466453675
