force_hour,atr_len,yellow_atr_mult,yellow_drift,yellow_mode,green_atr_mult,green_base,green_decay,yellow_giveback,scale_by_body,max_giveback_atr,giveback_min_gap_atr,IS_trades,IS_win%,IS_gross_$,IS_PF,IS_maxDD_$,OOS_trades,OOS_win%,OOS_gross_$,OOS_PF,OOS_maxDD_$,FULL_trades,FULL_win%,FULL_gross_$,FULL_PF,FULL_maxDD_$,robust_PF
11,30,2.28,2.09,drift_floor,1.44,167.5,2.11,0.89,True,0.26,0.41,764,49.73821989528796,79410.0,1.1029820841519637,-56865.0,622,50.32154340836013,135370.0,1.1634330971036715,-74595.0,1386,50.0,214780.0,1.134288277755026,-74595.0,1.1029820841519637
12,12,1.63,2.88,drift_floor,2.98,113.7,2.87,0.17,True,1.39,0.37,765,39.6078431372549,70135.0,1.1190949227373068,-46405.0,628,41.24203821656051,144965.0,1.2276514051053338,-87800.0,1393,40.344580043072504,215100.0,1.1754937035208883,-87800.0,1.1190949227373068
10,30,1.34,0.0,pure_ratchet,3.68,164.4,2.93,0.0,True,0.61,0.52,762,40.419947506561684,7025.0,1.0112256311920742,-63645.0,625,43.84,151060.0,1.2347328837368308,-48245.0,1387,41.961067051189616,158085.0,1.1245411000992642,-63645.0,1.0112256311920742
10,14,1.45,0.57,drift_floor,2.67,156.4,0.11,0.16,True,1.13,0.16,765,41.17647058823529,33480.0,1.0545223593785624,-54385.0,626,43.13099041533546,130175.0,1.2032793285184462,-63915.0,1391,42.05607476635514,163655.0,1.1304611239322881,-63915.0,1.0545223593785624
12,25,1.81,0.0,pure_ratchet,1.22,126.0,2.17,0.66,False,0.4,0.45,761,48.22601839684626,61015.0,1.0807108747701628,-51970.0,628,51.59235668789809,155855.0,1.1939134167356156,-42470.0,1389,49.74802015838733,216870.0,1.1390455246344662,-51970.0,1.0807108747701628
10,30,1.9,1.44,drift_floor,0.58,147.3,2.15,0.66,False,0.99,0.17,762,52.23097112860893,-11550.0,0.9851629188585082,-106340.0,624,55.608974358974365,124025.0,1.1607520122354282,-52485.0,1386,53.75180375180375,112475.0,1.072565218373081,-106340.0,0.9851629188585082
11,25,0.95,1.96,drift_floor,0.59,83.0,2.76,0.0,False,0.53,0.04,767,41.720990873533246,48295.0,1.113605890240173,-30095.0,626,47.44408945686901,125925.0,1.293449384787472,-35895.0,1393,44.29289303661163,174220.0,1.2039497559205365,-35895.0,1.113605890240173
11,20,1.48,1.77,drift_floor,3.03,55.3,1.35,0.0,True,1.35,0.42,766,38.642297650130544,40740.0,1.0659233968187187,-48780.0,624,42.94871794871795,195775.0,1.3037626066718386,-68530.0,1390,40.57553956834533,236515.0,1.1873400977433484,-68530.0,1.0659233968187187
9,10,2.91,2.26,drift_floor,3.54,100.4,1.29,0.31,False,1.37,0.51,763,51.63826998689384,23790.0,1.035748901160825,-70010.0,622,53.21543408360129,120465.0,1.169993438181318,-65875.0,1385,52.34657039711191,144255.0,1.1049799144179548,-70010.0,1.035748901160825
8,25,2.34,0.0,pure_ratchet,3.86,173.0,0.01,0.75,True,0.43,0.22,763,53.21100917431193,3850.0,1.006797676430602,-58815.0,622,58.68167202572347,191715.0,1.3590571974379144,-31945.0,1385,55.667870036101085,195565.0,1.177736274322691,-58815.0,1.006797676430602
10,10,1.9,0.0,pure_ratchet,3.81,186.4,1.82,0.4,True,0.97,0.07,763,48.492791612057665,37690.0,1.0513732706331358,-83605.0,623,49.919743178170144,161100.0,1.2063612025567783,-59355.0,1386,49.134199134199136,198790.0,1.1312734428654445,-83605.0,1.0513732706331358
15,7,1.75,2.68,drift_floor,3.68,27.7,2.12,0.3,True,0.37,0.45,759,37.8129117259552,27535.0,1.0446453182002433,-50845.0,620,41.4516129032258,112860.0,1.1675363136370047,-69910.0,1379,39.44887599709935,140395.0,1.1088000185989562,-69910.0,1.0446453182002433
13,25,0.83,0.41,drift_floor,2.16,76.1,0.3,0.35,True,1.31,0.13,764,39.659685863874344,75505.0,1.1699491311785362,-24150.0,626,45.52715654952076,199200.0,1.4597913396731603,-27830.0,1390,42.302158273381295,274705.0,1.3130469960798614,-27830.0,1.1699491311785362
11,12,1.11,0.0,pure_ratchet,3.97,48.7,1.06,0.6,True,0.5,0.3,767,40.547588005215125,66440.0,1.1270326854870318,-45790.0,625,44.0,150490.0,1.2698694498242593,-49395.0,1392,42.09770114942529,216930.0,1.2007393664027834,-49395.0,1.1270326854870318
11,12,0.89,1.85,drift_floor,2.45,137.7,0.71,0.15,True,0.59,0.36,767,41.46023468057366,17635.0,1.0517345067840118,-28910.0,626,46.16613418530351,145120.0,1.4283858779076632,-24600.0,1393,43.575017946877246,162755.0,1.2394741294959795,-28910.0,1.0517345067840118
