sl_mult,tp_mult,RR,trades,win%,PF,gross_$,avg_$,MaxDD_$,TP_hits,SL_hits,Force_hits
1.25,1.25,1.0,1360,51.54411764705882,1.1071178587292745,59332.14924568358,43.62658032770851,-20005.207536860034,680,638,42
1.25,1.5,1.2,1359,47.46136865342163,1.138021137172919,81773.17999663175,60.1715820431433,-16991.176918167403,610,687,62
1.25,2.0,1.6,1359,42.75202354672553,1.1174933920383108,77351.75212598956,56.918139901390404,-31746.017654055213,467,746,146
1.25,2.5,2.0,1358,40.058910162002945,1.1131065501831032,78328.60583254034,57.679385738247674,-34393.088532584516,355,778,225
1.25,3.0,2.4,1358,39.175257731958766,1.1271357131050792,88865.92947974845,65.4388287774289,-39364.23480140955,261,788,309
1.5,0.5,0.33,1360,77.13235294117648,1.1271557810497543,41561.10558832905,30.55963646200665,-16980.538554471204,1046,309,5
1.5,0.75,0.5,1360,68.38235294117648,1.1166799965668197,51309.12580116608,37.72729838321035,-14786.54673193254,927,421,12
1.5,1.0,0.67,1360,60.882352941176464,1.0607506866933847,33048.71844043428,24.300528265025203,-16925.407185761505,817,515,28
1.5,1.25,0.83,1360,56.029411764705884,1.1097787841116253,65442.35149655295,48.119376100406576,-19498.912459257845,735,569,56
1.5,1.5,1.0,1359,51.94996320824136,1.1300374131054767,83529.435275576,61.463896450019135,-18593.70111261691,659,614,86
1.5,2.0,1.33,1359,47.16703458425312,1.1172472016550106,83594.9912539432,61.51213484469698,-37879.623991198314,503,670,186
1.5,2.5,1.67,1358,44.329896907216494,1.1078544861547728,81184.0867709092,59.78209629669308,-39575.15133034245,380,702,276
1.5,3.0,2.0,1358,43.15169366715759,1.1128280474233772,86089.57155108546,63.39438258548267,-44972.69524528012,276,715,367
2.0,0.5,0.25,1360,82.05882352941177,1.1138859352373356,39784.27855703139,29.2531459978172,-24658.050366543102,1113,236,11
2.0,0.75,0.38,1360,73.82352941176471,1.0990430641900504,47474.0828550532,34.907413864009705,-24243.14437183406,1000,332,28
2.0,1.0,0.5,1360,66.83823529411764,1.0411136558038256,24782.056261622965,18.222100192369826,-28229.709771053094,893,414,53
2.0,1.25,0.62,1360,62.279411764705884,1.0901546644713795,59943.22174029501,44.07589833845221,-31222.29914084004,810,456,94
2.0,1.5,0.75,1359,58.05739514348785,1.0974472782884004,70383.63671872797,51.790755495752734,-25503.3164747063,723,492,144
2.0,2.0,1.0,1359,52.75938189845475,1.0725225137099448,58685.011165225624,43.1824953386502,-35951.90477910979,545,544,270
2.0,2.5,1.25,1357,49.8894620486367,1.0615345348353413,52273.0345950049,38.52102770449882,-39586.5976209809,405,568,384
2.0,3.0,1.5,1357,48.71039056742815,1.063398687795934,54604.88229957977,40.23941215886497,-43318.92826034109,294,578,485
2.5,0.5,0.2,1360,84.63235294117646,1.1009014649622186,36789.300387691655,27.050956167420335,-28909.764363212016,1148,194,18
2.5,0.75,0.3,1360,77.3529411764706,1.107280160669043,53288.76881780023,39.18291824838252,-25145.72994927832,1045,269,46
2.5,1.0,0.4,1360,70.51470588235294,1.0312112432821228,19913.802924170705,14.642502150125518,-32693.682347926006,937,341,82
2.5,1.25,0.5,1360,65.80882352941177,1.065465787860864,46554.63832852769,34.231351712152716,-26864.238277825352,848,378,134
2.5,1.5,0.6,1359,61.81015452538632,1.0837869390779273,64389.11968572487,47.37977901819343,-25975.727735941982,758,404,197
2.5,2.0,0.8,1359,56.43855776306107,1.0546859159345248,47136.450917148286,34.684658511514556,-31361.652743876002,568,442,349
2.5,2.5,1.0,1357,53.72144436256448,1.0535455704205932,48215.337463989745,35.53083085039775,-48706.62539902674,422,456,479
2.5,3.0,1.2,1357,52.616064848931465,1.058455329685769,53258.20641704828,39.247020204162325,-50219.66948142428,305,462,590
3.0,0.5,0.17,1360,85.58823529411764,1.053008226101271,20476.442379544606,15.056207632018092,-23877.77529801395,1160,168,32
3.0,0.75,0.25,1360,78.82352941176471,1.1074583112076744,54491.703158269556,40.06742879284526,-29522.98396724371,1063,224,73
3.0,1.0,0.33,1360,72.20588235294117,1.0260521041449098,17109.831688046943,12.580758594152163,-33145.94940114919,956,280,124
3.0,1.25,0.42,1360,67.57352941176471,1.0553005000657865,40663.98947915823,29.899992264086933,-37679.90789528361,865,309,186
3.0,1.5,0.5,1359,63.64974245768947,1.074425714215712,59152.894799179194,43.52678057334746,-31369.25608565878,773,331,255
3.0,2.0,0.67,1359,58.351729212656366,1.0510462564478507,45399.901925646736,33.40684468406677,-46379.533580053394,581,357,421
3.0,2.5,0.83,1357,55.63743551952837,1.0433598795419985,40370.39484971512,29.749738282767222,-58460.742087302715,430,369,558
3.0,3.0,1.0,1357,54.532056005895356,1.046267211352486,43618.94807941713,32.1436610754732,-59973.78616970025,308,374,675
