green_base,green_decay,green_atr_mult,n_all,all_net,all_PF,all_mdd,all_worst,is_net,is_PF,is_mdd,oos_net,oos_PF,oos_mdd,oos_worst
180.0,1.5,1.75,1366,231725.0,1.312,-42015.0,-10870.0,51175.0,1.134,-42015.0,180550.0,1.502,-20540.0,-10870.0
180.0,2.0,1.0,1368,216790.0,1.29,-42800.0,-10870.0,47360.0,1.123,-42800.0,169430.0,1.467,-20870.0,-10870.0
180.0,2.0,1.25,1367,229580.0,1.308,-43650.0,-10870.0,46760.0,1.122,-43650.0,182820.0,1.504,-20540.0,-10870.0
180.0,2.0,1.5,1367,233430.0,1.313,-43395.0,-10870.0,48580.0,1.127,-43395.0,184850.0,1.509,-20540.0,-10870.0
180.0,2.0,1.75,1366,225720.0,1.304,-43190.0,-10870.0,48330.0,1.126,-43190.0,177390.0,1.493,-20540.0,-10870.0
180.0,2.5,1.0,1368,223920.0,1.3,-39355.0,-10870.0,48340.0,1.126,-39355.0,175580.0,1.484,-20870.0,-10870.0
180.0,2.5,1.25,1368,225110.0,1.302,-41500.0,-10870.0,46515.0,1.121,-41500.0,178595.0,1.492,-20870.0,-10870.0
180.0,2.5,1.5,1367,230420.0,1.309,-42735.0,-10870.0,47650.0,1.124,-42735.0,182770.0,1.504,-20870.0,-10870.0
180.0,2.5,1.75,1367,223825.0,1.3,-42890.0,-10870.0,47035.0,1.123,-42890.0,176790.0,1.487,-20540.0,-10870.0
200.0,1.0,1.0,1366,239390.0,1.322,-43025.0,-10870.0,51455.0,1.134,-43025.0,187935.0,1.522,-21860.0,-10870.0
200.0,1.0,1.25,1366,234205.0,1.315,-43025.0,-10870.0,52495.0,1.137,-43025.0,181710.0,1.505,-21860.0,-10870.0
200.0,1.0,1.5,1366,221875.0,1.299,-41825.0,-10870.0,54480.0,1.142,-41825.0,167395.0,1.465,-21860.0,-10870.0
200.0,1.0,1.75,1366,226615.0,1.305,-41560.0,-10870.0,54745.0,1.143,-41560.0,171870.0,1.478,-21860.0,-10870.0
200.0,1.5,1.0,1366,234260.0,1.315,-42015.0,-10870.0,50345.0,1.132,-42015.0,183915.0,1.511,-21860.0,-10870.0
200.0,1.5,1.25,1366,242885.0,1.327,-42255.0,-10870.0,51040.0,1.133,-42255.0,191845.0,1.533,-21860.0,-10870.0
200.0,1.5,1.5,1366,223210.0,1.301,-42225.0,-10870.0,51290.0,1.134,-42225.0,171920.0,1.478,-21860.0,-10870.0
200.0,1.5,1.75,1366,219875.0,1.296,-42105.0,-10870.0,52415.0,1.137,-42105.0,167460.0,1.465,-21860.0,-10870.0
200.0,2.0,1.0,1367,227170.0,1.305,-45325.0,-10870.0,46475.0,1.121,-45325.0,180695.0,1.498,-20540.0,-10870.0
200.0,2.0,1.25,1366,236780.0,1.319,-41310.0,-10870.0,50015.0,1.131,-41310.0,186765.0,1.519,-20540.0,-10870.0
200.0,2.0,1.5,1366,228535.0,1.308,-42015.0,-10870.0,50825.0,1.133,-42015.0,177710.0,1.494,-21860.0,-10870.0
200.0,2.0,1.75,1366,224660.0,1.303,-42015.0,-10870.0,52120.0,1.136,-42015.0,172540.0,1.479,-21860.0,-10870.0
200.0,2.5,1.0,1367,222005.0,1.298,-43900.0,-10870.0,46485.0,1.121,-43900.0,175520.0,1.484,-20540.0,-10870.0
200.0,2.5,1.25,1367,231255.0,1.31,-44570.0,-10870.0,45520.0,1.119,-44570.0,185735.0,1.512,-20540.0,-10870.0
200.0,2.5,1.5,1366,233050.0,1.314,-43170.0,-10870.0,47820.0,1.125,-43170.0,185230.0,1.515,-20540.0,-10870.0
200.0,2.5,1.75,1366,224600.0,1.302,-41310.0,-10870.0,49845.0,1.13,-41310.0,174755.0,1.486,-20540.0,-10870.0
225.0,1.0,1.0,1366,234750.0,1.316,-41560.0,-10870.0,53860.0,1.141,-41560.0,180890.0,1.503,-21860.0,-10870.0
225.0,1.0,1.25,1366,232680.0,1.313,-41270.0,-10870.0,52390.0,1.137,-41270.0,180290.0,1.501,-21860.0,-10870.0
225.0,1.0,1.5,1366,227170.0,1.306,-41270.0,-10870.0,52340.0,1.137,-41270.0,174830.0,1.486,-21860.0,-10870.0
225.0,1.0,1.75,1366,226240.0,1.305,-39585.0,-10870.0,53650.0,1.14,-39585.0,172590.0,1.48,-21860.0,-10870.0
225.0,1.5,1.0,1366,238130.0,1.321,-43025.0,-10870.0,52260.0,1.137,-43025.0,185870.0,1.517,-21860.0,-10870.0
225.0,1.5,1.25,1366,232565.0,1.313,-41825.0,-10870.0,54480.0,1.142,-41825.0,178085.0,1.495,-21860.0,-10870.0
225.0,1.5,1.5,1366,227710.0,1.307,-41560.0,-10870.0,54970.0,1.144,-41560.0,172740.0,1.48,-21860.0,-10870.0
225.0,1.5,1.75,1366,227500.0,1.306,-41270.0,-10870.0,54625.0,1.143,-41270.0,172875.0,1.48,-21860.0,-10870.0
225.0,2.0,1.0,1366,241655.0,1.325,-43025.0,-10870.0,50000.0,1.131,-43025.0,191655.0,1.533,-21860.0,-10870.0
225.0,2.0,1.25,1366,232820.0,1.313,-42225.0,-10870.0,51735.0,1.135,-42225.0,181085.0,1.503,-21860.0,-10870.0
225.0,2.0,1.5,1366,221005.0,1.298,-42105.0,-10870.0,52445.0,1.137,-42105.0,168560.0,1.468,-21860.0,-10870.0
225.0,2.0,1.75,1366,226900.0,1.306,-41560.0,-10870.0,54720.0,1.143,-41560.0,172180.0,1.478,-21860.0,-10870.0
225.0,2.5,1.0,1366,238535.0,1.321,-41310.0,-10870.0,50940.0,1.133,-41310.0,187595.0,1.521,-21860.0,-10870.0
225.0,2.5,1.25,1366,238440.0,1.321,-42015.0,-10870.0,51465.0,1.134,-42015.0,186975.0,1.52,-21860.0,-10870.0
225.0,2.5,1.5,1366,229960.0,1.31,-41455.0,-10870.0,52845.0,1.138,-41455.0,177115.0,1.492,-21860.0,-10870.0
225.0,2.5,1.75,1366,222830.0,1.3,-42225.0,-10870.0,51345.0,1.134,-42225.0,171485.0,1.477,-21860.0,-10870.0
250.0,1.0,1.0,1366,236005.0,1.318,-39795.0,-10870.0,53710.0,1.14,-39795.0,182295.0,1.507,-21860.0,-10870.0
