atr_len,yellow_atr_mult,yellow_drift,yellow_mode,green_atr_mult,green_base,green_decay,yellow_giveback,scale_by_body,max_giveback_atr,giveback_min_gap_atr,IS_trades,IS_win%,IS_avg_$,IS_gross_$,IS_PF,OOS_trades,OOS_win%,OOS_avg_$,OOS_gross_$,OOS_PF
25,0.91,2.22,drift_floor,0.82,115.5,1.13,0.55,True,0.45,0.19,765,42.61437908496732,-8.555555555555555,-6545.0,0.9713428784097378,620,44.83870967741935,139.07258064516128,86225.0,1.3317622162370142
14,1.66,2.82,raw_atr,1.36,127.0,1.86,0.0,True,0.98,0.31,763,54.914809960681524,4.908256880733945,3745.0,1.0074695334782695,618,60.03236245954693,232.56472491909386,143725.0,1.30067048105185
7,1.22,1.26,raw_atr,3.81,23.5,2.64,0.47,False,0.85,0.57,765,63.66013071895424,28.372549019607842,21705.0,1.059504879921044,618,65.37216828478964,166.86893203883494,103125.0,1.2413805210308264
7,2.12,1.97,raw_atr,1.44,52.5,2.11,0.59,True,0.67,0.0,764,65.18324607329843,35.6348167539267,27225.0,1.0699125611494165,618,69.41747572815534,165.70388349514562,102405.0,1.2407263751763047
20,0.88,1.75,raw_atr,3.72,115.6,0.17,0.53,False,1.31,0.04,762,53.54330708661418,45.91207349081365,34985.0,1.0756048278172172,617,55.26742301458671,181.9448946515397,112260.0,1.2248235117408501
14,1.36,0.96,raw_atr,0.78,47.1,1.15,0.67,True,0.52,0.25,764,55.75916230366492,25.89005235602094,19780.0,1.0516334494955428,619,63.97415185783522,111.39741518578352,68955.0,1.1687591776798825
30,1.25,0.32,raw_atr,1.79,157.3,1.72,0.0,False,1.31,0.58,762,54.85564304461942,-7.952755905511811,-6060.0,0.9879131180565252,618,59.54692556634305,262.07928802589,161965.0,1.3377965483080452
12,2.42,1.42,pure_ratchet,3.13,171.2,0.83,0.54,False,0.86,0.14,763,53.604193971166445,28.82699868938401,21995.0,1.0467680204125027,619,57.027463651050084,220.4200323101777,136440.0,1.2760685922403763
25,1.55,2.0,pure_ratchet,3.54,149.8,2.91,0.64,False,0.69,0.35,764,49.345549738219894,-0.10471204188481675,-80.0,0.9998187728657674,620,53.064516129032256,220.21774193548387,136535.0,1.3008107691290842
12,2.55,2.0,raw_atr,2.58,191.0,2.67,0.2,False,1.15,0.3,762,54.06824146981627,32.28346456692913,24600.0,1.0518790332785017,617,57.37439222042139,189.6191247974068,116995.0,1.2318017910920906
30,0.9,2.5,drift_floor,2.01,154.0,1.12,0.22,True,0.32,0.57,765,41.045751633986924,-29.19607843137255,-22335.0,0.8464367974148304,621,44.44444444444444,67.23832528180354,41755.0,1.2353057199211046
7,2.76,2.58,drift_floor,3.22,59.4,2.41,0.0,False,0.83,0.33,765,43.92156862745098,6.947712418300654,5315.0,1.019175611076035,620,48.38709677419355,186.38709677419354,115560.0,1.3433818176415528
14,1.72,2.66,pure_ratchet,1.69,101.6,1.25,0.68,True,0.78,0.4,765,45.62091503267974,-16.49673202614379,-12620.0,0.9693481006509278,620,52.25806451612903,217.78225806451613,135025.0,1.3166627579737336
14,2.96,1.83,drift_floor,2.09,179.5,1.73,0.0,False,0.73,0.24,763,41.02228047182175,2.6802096985583224,2045.0,1.005465941438251,619,47.49596122778675,169.21647819063006,104745.0,1.2455949073259944
20,1.61,1.79,pure_ratchet,2.09,129.0,0.3,0.61,False,1.32,0.39,764,50.523560209424076,-3.7041884816753927,-2830.0,0.9936137563749605,619,55.25040387722132,234.53150242326333,145175.0,1.3171006072255471
30,2.66,1.28,drift_floor,2.22,183.7,0.22,0.0,True,1.01,0.04,763,42.463958060288334,14.442988204456094,11020.0,1.0275489669137408,619,47.49596122778675,157.45557350565429,97465.0,1.2210842690257457
16,2.0,0.58,raw_atr,3.79,141.9,2.71,0.36,False,0.63,0.33,762,54.06824146981627,36.371391076115486,27715.0,1.058869760081566,617,56.88816855753647,195.3808752025932,120550.0,1.2401155263419978
7,1.56,2.37,raw_atr,1.63,51.4,0.16,0.0,False,0.91,0.45,763,55.70117955439057,-1.7496723460026213,-1335.0,0.9972830511234125,618,61.48867313915858,199.03721682847896,123005.0,1.2653171273578292
14,1.57,0.21,raw_atr,3.72,132.2,1.99,0.52,True,1.38,0.3,763,50.720838794233295,18.00786369593709,13740.0,1.0304940299169958,617,55.26742301458671,210.73743922204213,130025.0,1.2761319232076114
12,2.52,1.79,pure_ratchet,3.5,46.0,0.39,0.0,True,0.47,0.4,764,43.58638743455497,-4.849476439790576,-3705.0,0.9907289242549359,620,48.225806451612904,214.9758064516129,133285.0,1.3202042042042041
16,2.26,0.64,drift_floor,3.03,178.8,1.73,0.51,True,0.84,0.24,764,51.96335078534031,33.84816753926702,25860.0,1.0568170583001022,619,54.76575121163167,212.65751211631664,131635.0,1.276578980543766
14,2.29,2.53,drift_floor,1.3,25.8,0.95,0.32,True,0.51,0.57,765,52.28758169934641,10.372549019607844,7935.0,1.0224841675757619,621,61.51368760064412,130.57165861513687,81085.0,1.210667844477065
30,2.81,0.54,raw_atr,2.03,166.6,2.91,0.0,True,0.76,0.19,762,54.85564304461942,2.5656167979002626,1955.0,1.0038993158745038,618,59.54692556634305,264.8543689320388,163680.0,1.3413733771312373
10,2.09,1.04,pure_ratchet,2.03,197.2,0.35,0.31,False,0.49,0.03,763,48.23066841415466,14.836173001310616,11320.0,1.025074759109536,619,53.150242326332794,201.82552504038773,124930.0,1.2701744142039986
