trial,y_mult,g_mult,g_base,g_decay,all_trades,all_pf,all_gross,all_win,Pre_pf,Pre_gross,Pre_trades,F1_pf,F1_gross,F1_trades,F2_pf,F2_gross,F2_trades,F3_pf,F3_gross,F3_trades,F4_pf,F4_gross,F4_trades,min_fold_pf,mean_fold_pf,num_folds_pf_ge_1
5725,1.45,2.5,92.5,1.5,1357,1.237994387212606,136535.0,43.33087693441415,0.9816754551311112,-3840.0,505,1.1556359509115415,10970.0,244,1.5322873003285375,46985.0,243,1.494340646561749,63765.0,256,1.2442073569838985,18655.0,109,0.9816754551311112,1.2816293419833678,4
5726,1.45,2.5,92.5,1.6,1357,1.2442956997681676,140150.0,43.33087693441415,0.9946314809954427,-1125.0,505,1.1548556430446195,10915.0,244,1.5262829953551602,46455.0,243,1.4903868516939298,63255.0,256,1.2703233407514072,20650.0,109,0.9946314809954427,1.2872960623681118,4
5727,1.45,2.5,92.5,1.7,1357,1.2419686590318813,138815.0,43.33087693441415,0.9870678342201331,-2710.0,505,1.1459885081932326,10290.0,244,1.5334201880593634,47085.0,243,1.4945732227304442,63795.0,256,1.2664615787406728,20355.0,109,0.9870678342201331,1.2855022663887692,4
5728,1.45,2.5,92.5,1.8,1357,1.2403301434572678,137875.0,43.33087693441415,0.9905036863830498,-1990.0,505,1.1307370362488474,9215.0,244,1.5328537441939505,47035.0,243,1.4915884952321885,63410.0,256,1.2644979709386046,20205.0,109,0.9905036863830498,1.2820361865993282,4
5729,1.45,2.5,92.5,1.9,1357,1.2310132650037477,132530.0,43.33087693441415,0.9893584023287443,-2230.0,505,1.1266226856778039,8925.0,244,1.5403874476039425,47700.0,243,1.4527870377548646,58405.0,256,1.2582798795653882,19730.0,109,0.9893584023287443,1.2734870905861488,4
5730,1.45,2.5,92.5,2.0,1357,1.2283376039324374,130995.0,43.33087693441415,0.9913865095082437,-1805.0,505,1.1460594452720436,10295.0,244,1.547241418375439,48305.0,243,1.43197147065664,55720.0,256,1.2419164812148187,18480.0,109,0.9913865095082437,1.271715065005437,4
5731,1.45,2.5,95.0,1.0,1357,1.229400895954261,131605.0,43.33087693441415,0.994607620910978,-1130.0,505,1.167340568915372,11795.0,244,1.5301914580265095,46800.0,243,1.4350337235444608,56115.0,256,1.2359602042152114,18025.0,109,0.994607620910978,1.2726267151225064,4
5732,1.45,2.5,95.0,1.1,1357,1.229644930188778,131745.0,43.33087693441415,0.9889527808928443,-2315.0,505,1.1607434205859404,11330.0,244,1.5167100940296816,45610.0,243,1.4395689588340181,56700.0,256,1.2673124754549026,20420.0,109,0.9889527808928443,1.2746575459594776,4
5733,1.45,2.5,95.0,1.2,1357,1.2270302776760968,130245.0,43.33087693441415,0.9903605258762616,-2020.0,505,1.1568418812513301,11055.0,244,1.50657074883879,44715.0,243,1.443057601364447,57150.0,256,1.2532399528734128,19345.0,109,0.9903605258762616,1.2700141420408484,4
5734,1.45,2.5,95.0,1.3,1357,1.2303857484007041,132170.0,43.33087693441415,0.9850635871250984,-3130.0,505,1.157551252039441,11105.0,244,1.503455307579019,44440.0,243,1.4689510814791844,60490.0,256,1.2521926953789764,19265.0,109,0.9850635871250984,1.2734427847203438,4
