mnq,slippage,monthly,payout_chance_pct,avg_payouts,med_payouts,avg_dpp,med_dpp,blow_pct,avg_payout_amount,net_lifetime,consistency_blocks
6,0.25,,82.45,12.0331,8.0,22.320690428900285,19.0,99.33999999999999,3627.535669053349,41650.49945928585,22623
7,0.25,,76.17,7.5919,5.0,19.371488033298647,16.0,100.0,3796.5742890449155,26823.212345000095,28860
8,0.25,,71.89,5.5381,3.0,17.31790686336469,14.0,100.0,4022.4877402513107,20276.939354285783,35849
9,0.25,,67.33,4.1719,2.0,15.837579999520601,13.0,100.0,4263.862055572499,15788.40610964291,37799
10,0.25,,63.85999999999999,3.2791,2.0,14.64798267817389,12.0,100.0,4548.520641552355,12915.054035714329,40153
1,0.5,,99.99,10.8429,11.0,131.91234817253687,123.0,0.01,3094.068750189405,31548.678051428702,0
2,0.5,,99.69,22.0512,22.0,65.83523345668263,60.0,1.08,3187.843526299844,68295.77516714313,0
3,0.5,,97.04,29.3279,32.0,44.55082702818817,39.0,19.46,3283.5756267922475,94300.37762500036,254
4,0.5,,92.67,26.8674,30.0,33.7745185615281,29.0,62.67,3379.6824153860507,88803.27932714317,4247
5,0.5,,86.49,17.5006,12.0,27.138932379461277,23.0,93.11,3490.3854785183,59083.840105357354,13078
6,0.5,,79.97,10.6005,7.0,22.88338285929909,19.0,99.55000000000001,3625.273059087522,36429.70706285728,21773
7,0.5,,74.48,6.9537,4.0,19.781483239138876,16.0,99.98,3797.848549333461,24409.09945750009,27404
8,0.5,,70.19,5.0663,3.0,17.623374059964867,15.0,100.0,4012.0441703018114,18326.219380000068,32223
9,0.5,,66.07,3.7906,2.0,16.170104996570466,13.0,100.0,4266.525349643115,14172.690990357192,35433
10,0.5,,63.07000000000001,3.0724,2.0,14.950234344486395,12.0,100.0,4542.212304945425,11955.493085714323,37377
1,0.75,,99.99,10.4461,10.0,136.6788466509032,127.0,0.01,3093.8565876943944,30318.735300714412,0
2,0.75,,99.53999999999999,21.2014,21.0,68.12044487628175,62.0,1.66,3187.348899870506,65576.25896571454,0
3,0.75,,96.58,27.7486,31.0,45.99276720266968,40.0,22.68,3280.7908549826575,89037.35311857177,364
4,0.75,,90.94,24.5344,26.0,34.81270379548715,30.0,67.05,3379.2804367395643,80908.61794714317,4200
5,0.75,,85.21,15.8339,11.0,27.89619108368753,24.0,94.86,3486.893561440971,53211.12396250019,12350
6,0.75,,79.33,9.4054,6.0,23.4732175133434,20.0,99.65,3625.130463198966,32095.802058571557,19891
7,0.75,,73.92999999999999,6.2996,4.0,20.21993459902216,17.0,99.98,3794.7116491523398,21905.165505000077,25089
8,0.75,,68.0,4.5614,2.0,18.010764239049415,15.0,100.0,4010.566763337083,16293.799234285769,30327
9,0.75,,64.05,3.4418,2.0,16.382416177581497,13.0,100.0,4265.056894129331,12679.472818214334,32894
10,0.75,,60.089999999999996,2.7759,1.0,15.145934651824634,12.0,100.0,4547.918668591411,10624.567432142898,35015
1,1.0,,99.99,10.0498,10.0,141.83655396127287,132.0,0.01,3094.0001362500593,29094.082569285845,0
2,1.0,,99.42,20.3884,21.0,70.52460222479449,64.0,2.3,3186.5879537244,62969.42983571456,0
3,1.0,,96.04,26.1768,30.0,47.590175269704474,42.0,26.11,3279.9153842879537,83857.6890314289,344
4,1.0,,90.28,22.2059,21.0,35.936147600412504,31.0,72.00999999999999,3378.7732935198173,73028.70187857171,3597
5,1.0,,83.78,13.8311,9.0,28.678239619408433,24.0,96.09,3487.5074179359895,46236.063848214464,11345
6,1.0,,77.07000000000001,8.4407,5.0,24.102894309713648,20.0,99.78,3621.4632401849003,28567.684771428685,18203
7,1.0,,70.91,5.5119,3.0,20.62072969393494,17.0,100.0,3791.2906425189267,18897.214892500073,22778
8,1.0,,66.92,4.1564,2.0,18.31209700702531,15.0,100.0,4016.6251536357145,14694.700788571481,29039
9,1.0,,63.7,3.1948,2.0,16.780205333667208,14.0,100.0,4258.874855457096,11606.253388214329,31147
10,1.0,,59.08,2.5887,1.0,15.405222698651833,13.0,100.0,4553.672183776757,9788.09118214289,32953
1,1.5,,99.99,9.2555,9.0,153.25323321268434,142.0,0.02,3092.3433891045615,26621.18423785727,0
2,1.5,,98.76,18.6622,19.0,75.93283214197683,68.0,3.9,3185.511859266338,57448.65942000025,0
3,1.5,,94.95,23.0775,27.0,50.98628534286643,44.0,33.73,3277.8181057616553,73643.8473357146,295
4,1.5,,87.25,17.7357,14.0,38.233957498153444,32.0,80.10000000000001,3373.627337436451,57833.642368571665,3308
5,1.5,,80.05,10.9313,7.0,30.260682626951965,25.0,97.81,3484.598331331668,36091.18973928586,9945
6,1.5,,73.41,6.5215,4.0,25.167875488767923,21.0,99.92,3622.3906654910816,21623.420725000087,15154
7,1.5,,68.19,4.4933,2.0,21.610264171099193,18.0,100.0,3792.1110336501156,15039.092507500063,20025
8,1.5,,63.06,3.4531,2.0,19.05157684399525,16.0,100.0,4014.3813666395135,11862.060297142905,25313
9,1.5,,58.96,2.6551,1.0,17.21245904109073,14.0,100.0,4265.103852962237,9324.277240000036,27516
10,1.5,,55.58,2.1579,1.0,15.809212660456925,13.0,100.0,4540.268455442805,7797.44530000003,29031
