stop_mult,tp_mult,contract_type,num_contracts,challenge_pass_rate,challenge_avg_days,challenge_blowup_rate,funded_avg_payouts,funded_days_per_payout,funded_blowup_rate,funded_net_lifetime
0.7,2.9,MNQ,9,49.7,6.818511066398391,50.3,1.2354,10.49538610976202,100.0,1706.2000000000003
0.5,2.0,MNQ,1,100.0,130.1272,0.0,10.3522,137.75520179285562,0.02,29056.6
0.5,2.0,MNQ,2,99.36,66.52214170692432,0.64,20.8392,68.75678528926254,2.96,60517.600000000006
0.5,2.0,MNQ,3,94.74000000000001,43.658011399620015,5.26,25.227,46.357521702937326,35.28,73681.0
0.5,2.0,MNQ,4,87.92,30.63989990900819,12.08,19.4352,34.80117518728904,81.10000000000001,56305.59999999999
0.5,2.0,MNQ,5,80.94,22.59822090437361,19.06,11.0066,27.67999200479712,98.83999999999999,31019.800000000003
0.5,2.0,MNQ,6,75.84,17.88792194092827,24.16,7.0174,22.597115740872688,100.0,19052.2
0.5,2.0,MNQ,7,70.28,14.005406943653956,29.720000000000002,4.7526,19.0316037537348,100.0,12257.800000000001
0.5,2.0,MNQ,8,66.28,11.459867229933614,33.72,3.5438,16.148936170212767,100.0,8631.4
0.5,2.0,MNQ,9,63.46000000000001,9.875196974472109,36.54,2.7536,14.0331929110982,100.0,6260.799999999999
0.7,2.8,MNQ,1,99.22,139.8933682725257,0.7799999999999999,9.6756,145.2473851750796,0.9199999999999999,27026.8
0.7,2.8,MNQ,2,89.78,64.21964802851414,10.22,14.7354,71.56149137451308,45.18,42206.200000000004
0.7,2.8,MNQ,3,77.5,36.62554838709677,22.5,8.832,46.4096240942029,94.89999999999999,24496.000000000004
0.7,2.8,MNQ,4,66.34,23.338257461561653,33.660000000000004,4.527,32.7194168323393,99.96000000000001,11581.0
0.7,2.8,MNQ,5,61.06,16.930887651490337,38.940000000000005,2.8086,24.44969023712882,100.0,6425.800000000001
0.7,2.8,MNQ,6,55.44,12.703102453102453,44.56,2.116,19.292722117202267,100.0,4348.0
0.7,2.8,MNQ,7,52.6,10.177186311787072,47.4,1.5756,15.403909621731405,100.0,2726.7999999999993
0.7,2.8,MNQ,8,49.18,8.466043106954046,50.82,1.2588,12.847791547505562,100.0,1776.3999999999996
0.7,2.8,MNQ,9,47.980000000000004,6.966652771988328,52.019999999999996,1.1662,10.835534213685474,100.0,1498.6
0.6,2.4,MNQ,1,100.0,119.4898,0.0,11.4916,124.49535312750183,0.0,32474.800000000003
0.6,2.4,MNQ,2,97.5,59.83979487179487,2.5,21.7088,62.31393720518868,13.059999999999999,63126.4
0.6,2.4,MNQ,3,89.38000000000001,37.70686954575968,10.620000000000001,20.362,41.76224339455849,67.0,59085.99999999999
0.6,2.4,MNQ,4,81.06,25.056501357019492,18.94,11.367,31.161432216064046,97.6,32101.0
0.6,2.4,MNQ,5,73.98,18.75317653419843,26.02,6.4046,24.325391125128814,99.94,17213.8
0.6,2.4,MNQ,6,67.82000000000001,14.263639044529638,32.18,4.2538,19.538013070666228,100.0,10761.4
0.6,2.4,MNQ,7,63.82,11.409902851770605,36.18,2.9742,15.997041221168718,100.0,6922.6
0.6,2.4,MNQ,8,60.46,9.474694012570295,39.54,2.353,13.548661283467913,100.0,5059.000000000001
0.6,2.4,MNQ,9,56.89999999999999,7.865377855887522,43.1,2.0284,11.481463222244134,100.0,4085.2
0.7,2.7,MNQ,1,99.53999999999999,139.66947960618847,0.45999999999999996,9.6174,146.2667040988209,0.88,26852.2
0.7,2.7,MNQ,2,91.14,63.75685758174237,8.86,15.0108,72.25372398539719,41.199999999999996,43032.4
0.7,2.7,MNQ,3,77.66,36.97862477465877,22.34,9.2994,46.8115792416715,93.76,25898.2
0.7,2.7,MNQ,4,68.02,24.124963246104087,31.979999999999997,4.7932,33.2998414420429,99.94,12379.599999999999
0.7,2.7,MNQ,5,60.019999999999996,17.15561479506831,39.98,2.9338,25.13136546458518,100.0,6801.4000000000015
0.7,2.7,MNQ,6,56.720000000000006,12.954513399153738,43.28,2.1404,19.502522892917213,100.0,4421.2
0.7,2.7,MNQ,7,53.1,10.23578154425612,46.9,1.616,15.729455445544554,100.0,2848.0
0.7,2.7,MNQ,8,50.96000000000001,8.486263736263735,49.04,1.3868,13.006345543697721,100.0,2160.4000000000005
0.7,2.7,MNQ,9,49.059999999999995,7.251121076233184,50.94,1.2272,11.01173402868318,100.0,1681.6000000000004
0.6,2.3,MNQ,1,99.98,127.56731346269254,0.02,10.6644,133.72026555643075,0.1,29993.2
0.6,2.3,MNQ,2,96.84,63.3211482858323,3.16,20.004,66.8875324935013,14.12,58012.00000000001
0.6,2.3,MNQ,3,88.44,39.89190411578471,11.559999999999999,18.3936,44.60697199025748,69.22,53180.799999999996
0.6,2.3,MNQ,4,79.92,26.715715715715717,20.080000000000002,10.3816,33.007012406565465,97.8,29144.800000000003
0.6,2.3,MNQ,5,73.4,19.18065395095368,26.6,6.0738,25.580427409529456,99.96000000000001,16221.400000000001
0.6,2.3,MNQ,6,66.52,14.80396873120866,33.48,3.9492,20.69360883216854,100.0,9847.6
0.6,2.3,MNQ,7,61.56,11.764457439896036,38.440000000000005,2.8038,16.939368000570653,100.0,6411.4
0.6,2.3,MNQ,8,59.48,9.65366509751177,40.52,2.2404,14.111676486341725,100.0,4721.200000000001
0.6,2.3,MNQ,9,57.42,7.983629397422501,42.58,1.872,11.958226495726496,100.0,3616.0
0.5,1.9,MNQ,1,100.0,125.3688,0.0,10.8802,131.5245859451113,0.0,30640.600000000002
0.5,1.9,MNQ,2,99.48,64.2233614796944,0.52,21.8478,65.9072858594458,2.34,63543.399999999994
0.5,1.9,MNQ,3,96.14,41.74433118369045,3.8600000000000003,28.2844,44.46818033969255,25.240000000000002,82853.20000000001
0.5,1.9,MNQ,4,89.94,30.58149877696242,10.059999999999999,23.4478,33.550439700099794,73.54,68343.40000000001
0.5,1.9,MNQ,5,83.72,22.42833253702819,16.28,14.4934,26.750810713842164,96.44,41480.2
0.5,1.9,MNQ,6,78.53999999999999,17.725999490705373,21.46,8.7158,22.04252048004773,99.94,24147.399999999998
0.5,1.9,MNQ,7,73.11999999999999,14.205962800875273,26.88,5.8144,18.568416345624655,100.0,15443.2
0.5,1.9,MNQ,8,69.58,11.949123311296349,30.42,4.5084,15.797089876674653,100.0,11525.2
0.5,1.9,MNQ,9,66.3,9.855203619909503,33.7,3.3626,13.691250817819544,100.0,8087.799999999999
0.8,3.0,MNQ,1,99.4,117.55412474849095,0.6,11.5774,122.38271114412562,1.08,32732.200000000004
0.8,3.0,MNQ,2,90.03999999999999,53.09795646379387,9.959999999999999,16.5096,60.78451325289529,51.2,47528.799999999996
0.8,3.0,MNQ,3,77.25999999999999,30.537406161014754,22.74,8.6924,39.35361925360085,96.96000000000001,24077.199999999997
0.8,3.0,MNQ,4,67.60000000000001,20.63698224852071,32.4,4.4058,27.911480321394524,99.98,11217.4
0.8,3.0,MNQ,5,60.62,14.54569449026724,39.379999999999995,2.8092,20.81824006834686,100.0,6427.6
0.8,3.0,MNQ,6,57.48,10.995476687543494,42.52,1.9294,16.30133720327563,100.0,3788.2
0.8,3.0,MNQ,7,52.7,8.823529411764707,47.3,1.5634,13.25444543942689,100.0,2690.2
0.8,3.0,MNQ,8,50.18,7.189717018732563,49.82,1.247,10.808660785886127,100.0,1741.0000000000005
0.8,3.0,MNQ,9,48.0,6.134166666666666,52.0,1.1022,9.01614951914353,100.0,1306.6000000000004
0.7,2.6,MNQ,1,99.82,122.37327188940093,0.18,11.239,126.94004804697927,0.26,31717.0
0.7,2.6,MNQ,2,94.36,59.373675286138194,5.64,19.47,63.280965588084236,26.6,56410.0
0.7,2.6,MNQ,3,85.34,34.97820482774783,14.66,14.1012,41.797903724505716,85.92,40303.6
0.7,2.6,MNQ,4,74.52,23.290123456790123,25.480000000000004,7.0176,30.59325125398997,99.7,19052.8
0.7,2.6,MNQ,5,67.82000000000001,16.595694485402536,32.18,4.2302,23.362394213039572,100.0,10690.6
0.7,2.6,MNQ,6,63.339999999999996,13.093779602147142,36.66,2.842,18.81625615763547,100.0,6526.0
0.7,2.6,MNQ,7,59.36,10.410040431266847,40.64,2.1976,15.090826356024754,100.0,4592.8
0.7,2.6,MNQ,8,54.72,8.523391812865498,45.28,1.7936,12.639272970561999,100.0,3380.8
0.7,2.6,MNQ,9,52.66,7.254082795290543,47.339999999999996,1.5244,10.590921018105485,100.0,2573.2
0.6,2.2,MNQ,1,99.96000000000001,119.5438175270108,0.04,11.5414,124.10830575146862,0.04,32624.199999999997
0.6,2.2,MNQ,2,98.0,60.559387755102044,2.0,22.3696,62.21276196266361,8.42,65108.79999999999
0.6,2.2,MNQ,3,91.82000000000001,37.744282291439774,8.18,23.4554,41.808794563298854,55.059999999999995,68366.2
0.6,2.2,MNQ,4,84.14,26.09198954124079,15.86,14.5754,31.186588361211356,93.7,41726.2
