date,variant,direction,entry_time,exit_time,entry_price,exit_price,gap_pct,atr,exit_reason,post_holiday,dow,pnl_gross,pnl_net
2021-10-11,A30,long,2021-10-11 09:31:00-04:00,2021-10-11 10:00:00-04:00,14748.875,14847.875,-0.004354209913422058,247.32142857142858,time,True,Monday,1985.0,1975.5
2021-10-12,A30,short,2021-10-12 09:31:00-04:00,2021-10-12 10:00:00-04:00,14759.875,14686.625,0.0035525488262990734,243.41071428571428,time,False,Tuesday,1470.0,1460.5
2021-10-13,A30,short,2021-10-13 09:31:00-04:00,2021-10-13 10:00:00-04:00,14746.625,14727.375,0.005403102096471768,239.30357142857142,time,False,Wednesday,390.0,380.5
2021-10-14,A30,short,2021-10-14 09:31:00-04:00,2021-10-14 10:00:00-04:00,14919.625,14943.625,0.011302785874059529,250.10714285714286,time,False,Thursday,-475.0,-484.5
2021-10-15,A30,short,2021-10-15 09:31:00-04:00,2021-10-15 10:00:00-04:00,15088.875,15071.375,0.00405908969922808,240.96428571428572,time,False,Friday,355.0,345.5
2021-10-18,A30,long,2021-10-18 09:31:00-04:00,2021-10-18 10:00:00-04:00,15076.625,15138.625,-0.003848758651447848,225.94642857142858,time,True,Monday,1245.0,1235.5
2021-10-22,A30,long,2021-10-22 09:31:00-04:00,2021-10-22 10:00:00-04:00,15422.875,15424.875,-0.003907448371627376,192.39285714285714,time,False,Friday,45.0,35.5
2021-10-25,A30,short,2021-10-25 09:31:00-04:00,2021-10-25 10:00:00-04:00,15405.125,15392.375,0.0037301277039354375,187.10714285714286,time,True,Monday,260.0,250.5
2021-10-26,A30,short,2021-10-26 09:31:00-04:00,2021-10-26 10:00:00-04:00,15597.875,15640.125,0.007020998434398074,182.32142857142858,time,False,Tuesday,-840.0,-849.5
2021-11-05,A30,short,2021-11-05 09:31:00-04:00,2021-11-05 10:00:00-04:00,16409.625,16395.375,0.005576407506702408,174.46428571428572,time,False,Friday,290.0,280.5
2021-11-10,A30,long,2021-11-10 09:31:00-05:00,2021-11-10 10:00:00-05:00,16101.625,16169.875,-0.007183376495252136,192.80357142857142,time,False,Wednesday,1370.0,1360.5
2021-11-11,A30,short,2021-11-11 09:31:00-05:00,2021-11-11 10:00:00-05:00,16102.375,16089.875,0.006752321110381709,186.125,time,False,Thursday,255.0,245.5
2021-11-15,A30,short,2021-11-15 09:31:00-05:00,2021-11-15 10:00:00-05:00,16240.375,16221.125,0.003103719831379914,182.75,time,True,Monday,390.0,380.5
2021-11-18,A30,short,2021-11-18 09:31:00-05:00,2021-11-18 10:00:00-05:00,16397.625,16397.875,0.005503433897473542,177.71428571428572,time,False,Thursday,0.0,-9.5
2021-11-22,A30,short,2021-11-22 09:31:00-05:00,2021-11-22 10:00:00-05:00,16638.625,16720.875,0.009449129406054801,198.07142857142858,time,True,Monday,-1640.0,-1649.5
2021-11-23,A30,long,2021-11-23 09:31:00-05:00,2021-11-23 10:00:00-05:00,16331.125,16398.875,-0.003979568498894581,204.48214285714286,time,False,Tuesday,1360.0,1350.5
2021-11-24,A30,long,2021-11-24 09:31:00-05:00,2021-11-24 10:00:00-05:00,16198.875,16178.875,-0.006485939464564994,206.375,time,False,Wednesday,-395.0,-404.5
2021-12-01,A30,short,2021-12-01 09:31:00-05:00,2021-12-01 10:00:00-05:00,16338.625,16327.875,0.010639120416904957,268.125,time,False,Wednesday,220.0,210.5
2021-12-02,A30,long,2021-12-02 09:31:00-05:00,2021-12-02 10:00:00-05:00,15823.375,15976.875,-0.004545311566166554,274.69642857142856,time,False,Thursday,3075.0,3065.5
2021-12-03,A30,short,2021-12-03 09:31:00-05:00,2021-12-03 10:00:00-05:00,16046.375,15845.125,0.005782158359057821,301.875,time,False,Friday,4030.0,4020.5
2021-12-07,A30,short,2021-12-07 09:31:00-05:00,2021-12-07 10:00:00-05:00,16119.625,16214.625,0.017644923533403745,340.51785714285717,time,False,Tuesday,-1895.0,-1904.5
2021-12-13,A30,short,2021-12-13 09:31:00-05:00,2021-12-13 10:00:00-05:00,16326.375,16281.125,0.009990720692854893,329.2142857142857,time,True,Monday,910.0,900.5
2021-12-14,A30,long,2021-12-14 09:31:00-05:00,2021-12-14 10:00:00-05:00,15882.875,15932.875,-0.013417190775681376,336.26785714285717,time,False,Tuesday,1005.0,995.5
2021-12-16,A30,short,2021-12-16 09:31:00-05:00,2021-12-16 10:00:00-05:00,16321.875,16186.375,0.026218170386670847,380.7142857142857,time,False,Thursday,2715.0,2705.5
