signal_time,exit_time,exit_reason,entry,exit,entry_raw,sl_raw,tp_raw,atr,signal_low,bot_wick_low,signal_bar_total_delta,zone_id,pts,pnl_gross,pnl_net,dev_poc,dev_vah,dev_val,noise_upper_14,noise_lower_14,noise_upper_90,noise_lower_90,prev_week_iso_poc,prev_week_iso_vah,prev_week_iso_val,entry_hour,dev_loc,noise_loc,week_loc
2022-03-04 15:50:00-05:00,2022-03-04 16:55:00-05:00,eod,13828.875,13798.625,13828.75,13707.125,13993.25,42.875,13750.0,13750.0,290,3894,-30.25,-605.0,-609.5,13780.0,13910.0,13760.0,14406.70694442336,13589.364340643217,14279.630591114832,13715.319844087944,14252.5,14467.5,13912.5,15:00,in_va,inside_both,below_week_val
2022-03-09 09:55:00-05:00,2022-03-09 12:35:00-05:00,tp,13568.375,13733.410714285714,13568.25,13454.857142857143,13733.535714285714,51.892857142857146,13506.75,13506.75,787,3942,165.03571428571377,3300.7142857142753,3296.2142857142753,13550.0,13640.0,13487.5,13715.32269181891,13091.48736616703,13681.79832848055,13124.014919378194,13850.0,14162.5,13652.5,09:00,in_va,inside_both,below_week_val
2022-03-18 12:10:00-04:00,2022-03-18 12:40:00-04:00,tp,14238.125,14303.089285714286,14238.0,14200.517857142857,14303.214285714286,27.732142857142858,14228.25,14228.25,218,4001,64.96428571428623,1299.2857142857247,1294.7857142857247,14232.5,14277.5,14035.0,14225.21058364345,13875.139772107663,14209.820884390261,13890.52043743739,14040.0,14262.5,13980.0,12:00,in_va,outside_both,in_week_va
2022-03-24 10:30:00-04:00,2022-03-24 14:00:00-04:00,tp,14501.125,14667.339285714286,14501.0,14384.017857142857,14667.464285714286,49.482142857142854,14433.5,14433.5,829,4020,166.21428571428623,3324.2857142857247,3319.7857142857247,14517.5,14545.0,14487.5,14671.393967147565,14316.715974364017,14633.161989505532,14354.790009418324,13605.0,13682.5,13300.0,10:00,in_va,inside_both,above_week_vah
2022-03-30 11:30:00-04:00,2022-03-30 14:55:00-04:00,sl,15141.875,15083.160714285714,15141.75,15083.285714285714,15227.678571428572,27.464285714285715,15110.75,15110.75,355,4083,-58.714285714286234,-1174.2857142857247,-1178.7857142857247,15175.0,15220.0,15152.5,15346.917387609934,15043.553968428963,15375.776733016804,15014.80551661004,13315.0,13947.5,12952.5,11:00,below_val,inside_both,above_week_vah
2022-04-07 11:20:00-04:00,2022-04-07 11:30:00-04:00,sl,14443.875,14384.05357142857,14443.75,14384.17857142857,14542.642857142859,39.32142857142857,14423.5,14423.5,341,4020,-59.82142857142935,-1196.428571428587,-1200.928571428587,14540.0,14577.5,14477.5,14630.012985943236,14333.502802780953,14642.091880530515,14321.447864334636,14650.0,14692.5,14375.0,11:00,below_val,inside_both,in_week_va
2022-04-08 15:10:00-04:00,2022-04-08 15:50:00-04:00,sl,14389.625,14330.80357142857,14389.5,14330.92857142857,14476.392857142859,28.321428571428573,14359.25,14359.25,486,4181,-58.82142857142935,-1176.428571428587,-1180.928571428587,14395.0,14472.5,14350.0,14687.547350918978,14314.655201636144,14747.690138646141,14254.787595922453,14650.0,14692.5,14375.0,15:00,in_va,inside_both,in_week_va
2022-04-14 11:45:00-04:00,2022-04-14 12:25:00-04:00,sl,14025.625,13984.339285714286,14025.5,13984.464285714286,14096.571428571428,30.035714285714285,14014.5,14014.5,434,4231,-41.285714285713766,-825.7142857142753,-830.2142857142753,14060.0,14210.0,14010.0,14334.109419880004,14101.979806472302,14367.953903274876,14068.162686575737,15152.5,15267.5,14850.0,11:00,in_va,outside_both,below_week_val
2022-04-19 15:05:00-04:00,2022-04-19 16:00:00-04:00,sl,14176.625,14123.232142857143,14176.5,14123.357142857143,14252.785714285714,23.142857142857142,14146.5,14146.5,494,4290,-53.39285714285688,-1067.8571428571377,-1072.3571428571377,14160.0,14195.0,13955.0,14141.45090870916,13700.179943874402,14170.217446458268,13671.597767394795,14470.0,14820.0,14310.0,15:00,in_va,outside_both,below_week_val
2022-05-02 12:05:00-04:00,2022-05-02 13:00:00-04:00,sl,12870.625,12781.660714285714,12870.5,12781.785714285714,13018.178571428572,58.964285714285715,12840.75,12840.75,201,4439,-88.96428571428623,-1779.2857142857247,-1783.7857142857247,12900.0,12947.5,12837.5,13043.746234070097,12688.095209252117,13040.074239777648,12691.753031734623,14090.0,14255.0,13785.0,12:00,in_va,inside_both,below_week_val
