entry_ts,direction,entry_price,qty,exit_ts,exit_price,exit_reason,pnl_points,pnl_dollars,scaled_pnl_dollars
2021-12-15 11:50:00-05:00,LONG,15781.75,1,2021-12-15 14:20:00-05:00,15863.7443160505,TP_FIXED,81.99431605050086,1639.8863210100171,1639.8863210100171
2021-12-17 12:15:00-05:00,LONG,15815.25,1,2021-12-17 16:20:00-05:00,15830.0,FORCE_CLOSE,14.75,295.0,295.0
2021-12-17 14:00:00-05:00,LONG,15901.5,1,2021-12-17 16:40:00-05:00,15827.75,FORCE_CLOSE,-73.75,-1475.0,-1475.0
2021-12-22 11:15:00-05:00,LONG,16115.25,2,2021-12-22 16:20:00-05:00,16177.5,FORCE_CLOSE,62.25,1245.0,2490.0
2021-12-23 10:15:00-05:00,LONG,16258.5,1,2021-12-23 11:20:00-05:00,16301.864526827105,TP_FIXED,43.36452682710478,867.2905365420957,867.2905365420957
2021-12-27 10:25:00-05:00,LONG,16491.75,1,2021-12-27 12:00:00-05:00,16506.75,SL_TRAIL,15.0,300.0,300.0
2021-12-27 11:15:00-05:00,LONG,16531.5,1,2021-12-27 16:20:00-05:00,16571.5,FORCE_CLOSE,40.0,800.0,800.0
2021-12-28 11:30:00-05:00,LONG,16527.5,1,2021-12-28 16:20:00-05:00,16526.0,FORCE_CLOSE,-1.5,-30.0,-30.0
2021-12-28 11:50:00-05:00,LONG,16523.0,2,2021-12-28 16:40:00-05:00,16516.5,FORCE_CLOSE,-6.5,-130.0,-260.0
2021-12-30 10:30:00-05:00,LONG,16557.25,1,2021-12-30 15:40:00-05:00,16481.5,SL_TRAIL,-75.75,-1515.0,-1515.0
2022-01-03 11:30:00-05:00,LONG,16412.0,1,2022-01-03 16:20:00-05:00,16500.434506164936,TP_FIXED,88.43450616493647,1768.6901232987293,1768.6901232987293
2022-01-03 12:25:00-05:00,LONG,16420.0,1,2022-01-03 16:40:00-05:00,16505.45539724649,TP_FIXED,85.45539724648916,1709.1079449297831,1709.1079449297831
2022-01-05 12:50:00-05:00,SHORT,16064.0,1,2022-01-05 14:20:00-05:00,15976.817285749023,TP_FIXED,87.18271425097737,1743.6542850195474,1743.6542850195474
2022-01-05 13:40:00-05:00,SHORT,16072.0,1,2022-01-05 14:40:00-05:00,15988.802323903281,TP_FIXED,83.19767609671908,1663.9535219343816,1663.9535219343816
2022-01-05 14:35:00-05:00,SHORT,15941.5,1,2022-01-05 15:20:00-05:00,15839.531085406401,TP_FIXED,101.96891459359904,2039.3782918719808,2039.3782918719808
2022-01-06 11:50:00-05:00,LONG,15820.25,1,2022-01-06 16:20:00-05:00,15780.0,FORCE_CLOSE,-40.25,-805.0,-805.0
2022-01-07 12:45:00-05:00,LONG,15611.5,2,2022-01-07 16:20:00-05:00,15582.5,FORCE_CLOSE,-29.0,-580.0,-1160.0
2022-01-11 11:00:00-05:00,LONG,15564.5,1,2022-01-11 11:20:00-05:00,15691.04659342279,TP_FIXED,126.54659342279047,2530.9318684558093,2530.9318684558093
2022-01-11 11:30:00-05:00,LONG,15750.5,1,2022-01-11 16:20:00-05:00,15827.5,FORCE_CLOSE,77.0,1540.0,1540.0
2022-01-12 14:25:00-05:00,LONG,15910.0,1,2022-01-12 16:20:00-05:00,15918.75,FORCE_CLOSE,8.75,175.0,175.0
2022-01-13 10:55:00-05:00,SHORT,15740.75,1,2022-01-13 12:40:00-05:00,15656.435726390551,TP_FIXED,84.31427360944872,1686.2854721889744,1686.2854721889744
2022-01-13 14:30:00-05:00,SHORT,15629.5,1,2022-01-13 16:00:00-05:00,15513.157593793134,TP_FIXED,116.34240620686614,2326.848124137323,2326.848124137323
2022-01-18 13:05:00-05:00,SHORT,15241.75,1,2022-01-18 16:20:00-05:00,15226.75,FORCE_CLOSE,15.0,300.0,300.0
2022-01-18 13:25:00-05:00,SHORT,15234.25,1,2022-01-18 16:40:00-05:00,15227.5,FORCE_CLOSE,6.75,135.0,135.0
2022-01-20 10:00:00-05:00,LONG,15277.25,1,2022-01-20 14:00:00-05:00,15182.75,SL_TRAIL,-94.5,-1890.0,-1890.0
2022-01-21 11:10:00-05:00,LONG,14808.5,1,2022-01-21 14:40:00-05:00,14590.25,SL_TRAIL,-218.25,-4365.0,-4365.0
2022-01-25 13:30:00-05:00,LONG,14171.5,1,2022-01-25 15:00:00-05:00,14362.060846880324,TP_FIXED,190.56084688032388,3811.2169376064776,3811.2169376064776
2022-01-28 12:45:00-05:00,LONG,14255.25,1,2022-01-28 16:20:00-05:00,14425.25,FORCE_CLOSE,170.0,3400.0,3400.0
2022-01-31 10:45:00-05:00,LONG,14694.0,1,2022-01-31 14:20:00-05:00,14805.609870639104,TP_FIXED,111.60987063910397,2232.1974127820795,2232.1974127820795
2022-02-02 11:15:00-05:00,SHORT,14962.75,1,2022-02-02 13:00:00-05:00,15111.75,SL_TRAIL,-149.0,-2980.0,-2980.0
2022-02-08 12:00:00-05:00,LONG,14689.75,1,2022-02-08 16:20:00-05:00,14747.5,FORCE_CLOSE,57.75,1155.0,1155.0
2022-02-11 13:50:00-05:00,SHORT,14358.25,1,2022-02-11 15:00:00-05:00,14219.417554244865,TP_FIXED,138.83244575513527,2776.6489151027054,2776.6489151027054
2022-02-11 14:25:00-05:00,SHORT,14321.25,1,2022-02-11 16:00:00-05:00,14265.5,SL_TRAIL,55.75,1115.0,1115.0
2022-02-16 09:55:00-05:00,SHORT,14398.5,1,2022-02-16 14:40:00-05:00,14564.75,SL_TRAIL,-166.25,-3325.0,-3325.0
2022-02-16 11:15:00-05:00,SHORT,14447.0,1,2022-02-16 15:00:00-05:00,14583.75,SL_TRAIL,-136.75,-2735.0,-2735.0
2022-02-18 14:40:00-05:00,SHORT,14083.5,1,2022-02-18 16:20:00-05:00,14026.25,FORCE_CLOSE,57.25,1145.0,1145.0
2022-02-23 10:45:00-05:00,SHORT,13781.25,1,2022-02-23 13:20:00-05:00,13678.343951756802,TP_FIXED,102.9060482431978,2058.120964863956,2058.120964863956
2022-02-23 11:05:00-05:00,SHORT,13753.0,1,2022-02-23 14:40:00-05:00,13645.622955202745,TP_FIXED,107.37704479725471,2147.5408959450942,2147.5408959450942
2022-02-23 14:25:00-05:00,SHORT,13623.5,1,2022-02-23 16:00:00-05:00,13499.254568279219,TP_FIXED,124.2454317207812,2484.908634415624,2484.908634415624
2022-03-02 11:30:00-05:00,LONG,14166.75,1,2022-03-02 16:20:00-05:00,14219.5,FORCE_CLOSE,52.75,1055.0,1055.0
2022-03-03 12:20:00-05:00,SHORT,14121.0,1,2022-03-03 15:40:00-05:00,13997.564799638032,TP_FIXED,123.43520036196787,2468.7040072393575,2468.7040072393575
