date,direction,entry_ts,exit_ts,entry_price,exit_price,reason,pnl,bars_held,mae,mfe,init_atr,entry_hour,on_range,period,year
2022-04-14,SHORT,2022-04-14 10:10:00-04:00,2022-04-14 16:10:00-04:00,14046.5,13880.002460207606,TP,166.49753979239358,18,-40.25,170.0,41.62438494809847,10,120.0,IS,2022
2022-04-18,LONG,2022-04-18 10:50:00-04:00,2022-04-18 11:30:00-04:00,13974.75,13876.0,SL_YELLOW,-98.75,2,-111.0,3.75,40.115093488245556,10,174.25,IS,2022
2022-04-19,LONG,2022-04-19 10:30:00-04:00,2022-04-19 16:10:00-04:00,14081.5,14092.0,SL_YELLOW,10.5,17,-3.0,160.5,48.70718500578048,10,191.0,IS,2022
2022-04-20,SHORT,2022-04-20 12:30:00-04:00,2022-04-20 12:50:00-04:00,14000.5,14051.75,SL_YELLOW,-51.25,1,-57.75,4.75,49.45938420245968,12,255.75,IS,2022
2022-04-21,SHORT,2022-04-21 12:10:00-04:00,2022-04-21 15:10:00-04:00,13958.25,13754.32230019233,TP,203.92769980766934,9,-16.75,240.75,50.98192495191714,12,139.25,IS,2022
2022-04-22,SHORT,2022-04-22 12:10:00-04:00,2022-04-22 16:10:00-04:00,13498.25,13317.5,FORCE_CLOSE,180.75,12,-55.25,183.0,63.42264121021595,12,168.75,IS,2022
2022-04-25,LONG,2022-04-25 10:50:00-04:00,2022-04-25 11:10:00-04:00,13425.0,13317.25,SL_YELLOW,-107.75,1,-123.75,1.0,62.7678706168523,10,176.0,IS,2022
2022-04-26,SHORT,2022-04-26 10:10:00-04:00,2022-04-26 15:30:00-04:00,13253.25,13077.449525681255,TP,175.80047431874482,16,-9.5,191.25,43.95011857968619,10,156.0,IS,2022
2022-04-28,SHORT,2022-04-28 10:10:00-04:00,2022-04-28 11:10:00-04:00,13110.25,13175.0,SL_YELLOW,-64.75,3,-77.0,77.25,48.650477745093724,10,214.5,IS,2022
2022-04-29,SHORT,2022-04-29 12:30:00-04:00,2022-04-29 16:10:00-04:00,13117.25,12853.252844679564,TP,263.9971553204359,11,-19.75,285.5,65.99928883010902,12,242.75,IS,2022
2022-05-04,SHORT,2022-05-04 10:30:00-04:00,2022-05-04 12:30:00-04:00,12962.25,13058.25,SL_YELLOW,-96.0,6,-99.25,79.25,34.64482774937405,10,75.25,IS,2022
2022-05-05,SHORT,2022-05-05 10:10:00-04:00,2022-05-05 11:10:00-04:00,13101.25,12908.215224267347,TP,193.03477573265263,3,-7.75,225.5,48.25869393316334,10,215.25,IS,2022
2022-05-06,SHORT,2022-05-06 10:10:00-04:00,2022-05-06 10:30:00-04:00,12608.75,12713.5,SL_YELLOW,-104.75,1,-231.75,25.5,68.06800928244489,10,186.5,IS,2022
2022-05-09,SHORT,2022-05-09 11:30:00-04:00,2022-05-09 12:10:00-04:00,12276.25,12352.75,SL_YELLOW,-76.5,2,-102.5,38.0,66.82268695431802,11,293.5,IS,2022
2022-05-11,SHORT,2022-05-11 13:30:00-04:00,2022-05-11 16:10:00-04:00,12091.0,11998.25,FORCE_CLOSE,92.75,8,-76.5,152.5,92.64107311724547,13,452.0,IS,2022
2022-05-12,SHORT,2022-05-12 14:10:00-04:00,2022-05-12 14:30:00-04:00,11709.75,11758.75,SL_YELLOW,-49.0,1,-74.75,2.0,98.8297154852753,14,316.75,IS,2022
2022-05-13,LONG,2022-05-13 10:30:00-04:00,2022-05-13 16:10:00-04:00,12321.0,12354.0,FORCE_CLOSE,33.0,17,-102.5,111.0,51.85517425197787,10,316.0,IS,2022
2022-05-17,LONG,2022-05-17 15:30:00-04:00,2022-05-17 15:50:00-04:00,12563.0,12523.75,SL_YELLOW,-39.25,1,-52.25,15.0,61.641447134829455,15,310.0,IS,2022
2022-05-18,SHORT,2022-05-18 10:10:00-04:00,2022-05-18 11:30:00-04:00,12321.75,12174.001655577937,TP,147.74834442206338,4,-38.5,183.75,36.9370861055158,10,236.25,IS,2022
2022-05-19,LONG,2022-05-19 12:10:00-04:00,2022-05-19 12:50:00-04:00,12032.25,11903.5,SL_YELLOW,-128.75,2,-138.75,26.75,75.10674839297297,12,249.5,IS,2022
2022-05-20,SHORT,2022-05-20 11:10:00-04:00,2022-05-20 12:50:00-04:00,11783.25,11573.996186997208,TP,209.2538130027915,5,-8.75,249.25,52.31345325069802,11,201.75,IS,2022
2022-05-24,SHORT,2022-05-24 10:10:00-04:00,2022-05-24 14:10:00-04:00,11629.75,11762.25,SL_YELLOW,-132.5,12,-177.0,53.5,46.80435688511002,10,164.5,IS,2022
