ymult,tpmult,mfe,label,is_live,n,net,pf,wr,sharpe,mdd,worst,worst_mae,tp,sl,fc,is_net,is_pf,is_sharpe,oos_net,oos_pf,oos_sharpe,min_net,min_pf,min_sharpe,yrs_pos,yrs_tot
1.5,2.5,0.6/0.45,y1.5 tp2.5 mfe0.6/0.45,False,724,3068.4523011051624,1.1414815705046646,52.62430939226519,0.9951358203917114,-1198.7974883390998,-202.75,-218.75,185,397,142,2746.7312445499647,1.1571176778715229,1.1302351590810036,321.7210565551977,1.0764909787339985,0.5060222351459658,321.7210565551977,1.0764909787339985,0.5060222351459658,6,7
1.5,2.5,0.8/0.3,y1.5 tp2.5 mfe0.8/0.3,False,712,3042.2979366993313,1.1354223939951404,49.859550561797754,0.9608059129122222,-1041.1421684359702,-202.75,-218.75,205,343,164,2557.977046492859,1.1405327462088155,1.0247426181797068,484.32089020647254,1.1136036803392888,0.7421896397664844,484.32089020647254,1.1136036803392888,0.7421896397664844,7,7
1.5,2.5,0.8/0.45,y1.5 tp2.5 mfe0.8/0.45,False,714,3227.820008010098,1.1440846347134819,50.280112044817926,1.0208871372681276,-1041.1421684359702,-202.75,-218.75,201,353,160,2722.3793487634357,1.1499974847110628,1.0910808000540293,505.4406592466621,1.11885031079811,0.7779958324072405,505.4406592466621,1.11885031079811,0.7779958324072405,7,7
1.5,2.5,0.8/0.6,y1.5 tp2.5 mfe0.8/0.6,False,716,2956.123593181641,1.1317918254670207,50.83798882681564,0.9390420698175144,-1107.1263480860507,-202.75,-218.75,190,368,158,2488.273769608739,1.136801020925215,0.9978277810303742,467.8498235729021,1.1103094190563871,0.7314312281855033,467.8498235729021,1.1103094190563871,0.7314312281855033,7,7
1.5,2.5,1.0/0.45,y1.5 tp2.5 mfe1/0.45,False,710,3570.4834695524005,1.1581889800873866,49.014084507042256,1.1163226804929884,-950.2717561639001,-202.75,-218.75,212,328,170,3040.9976924715666,1.166313331736642,1.2034294754681805,529.4857770808339,1.123531239913872,0.8083881003548505,529.4857770808339,1.123531239913872,0.8083881003548505,7,7
1.5,3.0,off,y1.5 tp3 mfeoff,False,700,3743.082748707011,1.1675225845575166,48.285714285714285,1.1295584226064666,-880.8664556200692,-202.75,-218.75,154,347,199,3049.8362042458266,1.168895816378005,1.1694922921429176,693.2465444611844,1.1617373098772084,1.0100742438480448,693.2465444611844,1.1617373098772084,1.0100742438480448,7,7
1.5,3.0,0.6/0.45,y1.5 tp3 mfe0.6/0.45,False,711,3037.799216676449,1.1376001819394144,51.0548523206751,0.9408736529767651,-1066.5272877997631,-202.75,-218.75,138,399,174,2590.8133808467574,1.1456863598755451,1.0207380930418535,446.9858358296915,1.1041075662815165,0.6663845079333339,446.9858358296915,1.1041075662815165,0.6663845079333339,6,7
1.5,3.0,0.8/0.3,y1.5 tp3 mfe0.8/0.3,False,700,3529.8888312553445,1.1581402847625175,48.42857142857142,1.0691822532730684,-907.6164556200692,-202.75,-218.75,152,355,193,2936.3901510433916,1.1628161991152421,1.129880774426995,593.4986802119529,1.138465717168143,0.8685745034472266,593.4986802119529,1.138465717168143,0.8685745034472266,7,7
1.5,3.0,0.8/0.45,y1.5 tp3 mfe0.8/0.45,False,703,3699.0071072621304,1.1656723110666172,48.79089615931721,1.1245230560224977,-977.9707205692721,-202.75,-218.75,149,369,185,3102.714704201948,1.1718812677174721,1.1972300426124287,596.2924030601826,1.139459136539831,0.878043340755402,596.2924030601826,1.139459136539831,0.878043340755402,6,7
1.5,3.0,0.8/0.6,y1.5 tp3 mfe0.8/0.6,False,706,3683.860394217054,1.1642637234618443,49.008498583569406,1.1261139686794057,-1065.513993647659,-202.75,-218.75,144,382,180,3245.2269939653834,1.1787929972020652,1.2531779399925373,438.63340025167054,1.1025863065547963,0.658672461022757,438.63340025167054,1.1025863065547963,0.658672461022757,6,7
