date,direction,entry_ts,exit_ts,entry_price,exit_price,reason,pnl,bars_held,mae,mfe,init_atr,entry_hour,on_range,period,year
2024-12-24,LONG,2024-12-24 10:30:00-05:00,2024-12-24 13:30:00-05:00,21924.25,22046.5,EOD,122.25,9,-2.5,125.5,31.949842972138768,10,138.5,IS,2024
2024-12-27,SHORT,2024-12-27 10:30:00-05:00,2024-12-27 16:10:00-05:00,21560.75,21724.5,FORCE_CLOSE,-163.75,17,-172.25,62.0,49.839171406324134,10,164.0,IS,2024
2024-12-30,SHORT,2024-12-30 10:30:00-05:00,2024-12-30 16:10:00-05:00,21279.75,21369.5,FORCE_CLOSE,-89.75,17,-291.25,3.5,55.11594406035595,10,384.25,IS,2024
2024-12-31,SHORT,2024-12-31 12:50:00-05:00,2024-12-31 16:10:00-05:00,21226.5,21243.75,FORCE_CLOSE,-17.25,10,-111.0,44.5,59.63838706771807,12,181.25,IS,2024
2025-01-02,SHORT,2025-01-02 13:30:00-05:00,2025-01-02 16:10:00-05:00,21063.75,21182.0,FORCE_CLOSE,-118.25,8,-135.75,76.0,92.90872610066539,13,368.75,OOS,2025
2025-01-03,LONG,2025-01-03 10:30:00-05:00,2025-01-03 14:50:00-05:00,21334.0,21547.776272466566,TP,213.7762724665663,13,-36.0,225.25,53.44406811664166,10,159.0,OOS,2025
2025-01-06,LONG,2025-01-06 10:30:00-05:00,2025-01-06 13:50:00-05:00,21877.5,21718.5,SL_YELLOW,-159.0,10,-169.75,19.25,45.686685107359224,10,282.25,OOS,2025
2025-01-07,SHORT,2025-01-07 10:50:00-05:00,2025-01-07 16:10:00-05:00,21446.25,21382.5,FORCE_CLOSE,63.75,16,-127.0,166.75,63.37018166001198,10,136.25,OOS,2025
2025-01-10,SHORT,2025-01-10 10:30:00-05:00,2025-01-10 16:10:00-05:00,21029.75,21008.25,FORCE_CLOSE,21.5,17,-146.75,144.75,76.98878645909092,10,327.5,OOS,2025
2025-01-14,SHORT,2025-01-14 11:50:00-05:00,2025-01-14 16:10:00-05:00,20853.5,20978.75,SL_YELLOW,-125.25,13,-159.75,80.0,67.32164185673471,11,199.75,OOS,2025
2025-01-15,LONG,2025-01-15 10:30:00-05:00,2025-01-15 16:10:00-05:00,21392.0,21372.25,FORCE_CLOSE,-19.75,17,-145.75,60.75,55.75726086653071,10,420.0,OOS,2025
2025-01-16,SHORT,2025-01-16 14:10:00-05:00,2025-01-16 16:10:00-05:00,21328.0,21231.75,FORCE_CLOSE,96.25,6,-67.75,102.75,60.42509825737458,14,214.25,OOS,2025
2025-01-22,LONG,2025-01-22 10:30:00-05:00,2025-01-22 16:10:00-05:00,22013.0,21990.25,FORCE_CLOSE,-22.75,17,-33.0,80.5,25.68073311307913,10,166.0,OOS,2025
2025-01-24,SHORT,2025-01-24 13:50:00-05:00,2025-01-24 16:10:00-05:00,21907.75,21907.75,FORCE_CLOSE,-0.0,7,-11.5,63.75,35.44379889219394,13,86.75,OOS,2025
2025-01-28,LONG,2025-01-28 11:10:00-05:00,2025-01-28 16:10:00-05:00,21461.75,21566.5,FORCE_CLOSE,104.75,15,-74.25,164.25,69.46655195088046,11,204.5,OOS,2025
2025-01-29,SHORT,2025-01-29 11:10:00-05:00,2025-01-29 14:50:00-05:00,21495.0,21542.25,SL_YELLOW,-47.25,11,-83.0,128.0,44.96940530195023,11,166.5,OOS,2025
2025-01-31,LONG,2025-01-31 10:30:00-05:00,2025-01-31 13:30:00-05:00,21897.0,21815.0,SL_YELLOW,-82.0,9,-87.0,69.0,36.16583844942725,10,153.0,OOS,2025
2025-02-03,LONG,2025-02-03 11:10:00-05:00,2025-02-03 16:10:00-05:00,21418.75,21424.25,FORCE_CLOSE,5.5,15,-77.75,101.0,81.62108050374268,11,329.0,OOS,2025
2025-02-04,LONG,2025-02-04 10:50:00-05:00,2025-02-04 16:10:00-05:00,21653.0,21625.5,FORCE_CLOSE,-27.5,16,-103.0,41.0,53.95332100915711,10,357.5,OOS,2025
2025-02-05,LONG,2025-02-05 12:30:00-05:00,2025-02-05 16:10:00-05:00,21706.75,21762.25,FORCE_CLOSE,55.5,11,-34.75,75.5,47.72664061753652,12,194.0,OOS,2025
2025-02-07,SHORT,2025-02-07 10:50:00-05:00,2025-02-07 15:30:00-05:00,21776.0,21564.214096492396,TP,211.7859035076035,14,-28.0,223.25,52.9464758769011,10,139.75,OOS,2025
2025-02-10,LONG,2025-02-10 10:50:00-05:00,2025-02-10 16:10:00-05:00,21882.25,21829.0,FORCE_CLOSE,-53.25,16,-65.0,4.25,33.81830270490584,10,216.25,OOS,2025
2025-02-11,LONG,2025-02-11 11:10:00-05:00,2025-02-11 12:10:00-05:00,21834.5,21735.25,SL_YELLOW,-99.25,3,-118.75,13.25,35.049025632907615,11,162.75,OOS,2025
2025-02-13,LONG,2025-02-13 11:10:00-05:00,2025-02-13 16:10:00-05:00,22032.0,22089.75,FORCE_CLOSE,57.75,15,-141.5,92.0,48.09659169850759,11,174.0,OOS,2025
2025-02-14,LONG,2025-02-14 14:30:00-05:00,2025-02-14 16:10:00-05:00,22176.75,22211.75,FORCE_CLOSE,35.0,5,-20.75,48.25,32.24455318259687,14,121.0,OOS,2025
2025-02-18,SHORT,2025-02-18 10:30:00-05:00,2025-02-18 16:10:00-05:00,22139.0,22229.25,SL_YELLOW,-90.25,17,-111.0,36.25,33.79850408390999,10,121.5,OOS,2025
2025-02-19,SHORT,2025-02-19 10:30:00-05:00,2025-02-19 16:10:00-05:00,22149.0,22222.5,FORCE_CLOSE,-73.5,17,-150.75,2.0,31.531105299348894,10,111.75,OOS,2025
2025-02-20,SHORT,2025-02-20 10:30:00-05:00,2025-02-20 16:10:00-05:00,22088.0,22142.0,FORCE_CLOSE,-54.0,17,-62.0,113.0,41.80921265094533,10,94.5,OOS,2025
2025-02-21,SHORT,2025-02-21 10:50:00-05:00,2025-02-21 13:10:00-05:00,21986.75,21825.905847452064,TP,160.84415254793566,7,-43.0,184.0,40.21103813698406,10,141.75,OOS,2025
2025-02-24,SHORT,2025-02-24 10:50:00-05:00,2025-02-24 16:10:00-05:00,21482.75,21429.0,FORCE_CLOSE,53.75,16,-177.75,75.25,55.79902424638925,10,136.25,OOS,2025
2025-02-25,SHORT,2025-02-25 10:50:00-05:00,2025-02-25 16:10:00-05:00,21111.75,21200.75,FORCE_CLOSE,-89.0,16,-169.5,121.75,63.101396204380194,10,167.75,OOS,2025
2025-02-26,LONG,2025-02-26 11:30:00-05:00,2025-02-26 13:10:00-05:00,21365.5,21239.5,SL_YELLOW,-126.0,5,-155.75,43.75,46.18588185116401,11,132.5,OOS,2025
2025-02-27,SHORT,2025-02-27 11:30:00-05:00,2025-02-27 15:30:00-05:00,21065.0,20727.54589316997,TP,337.4541068300314,12,-52.5,380.5,84.3635267075082,11,278.5,OOS,2025
2025-02-28,LONG,2025-02-28 11:10:00-05:00,2025-02-28 16:10:00-05:00,20742.25,20906.75,FORCE_CLOSE,164.5,15,-258.0,202.0,68.09747983517865,11,172.5,OOS,2025
2025-03-03,SHORT,2025-03-03 13:50:00-05:00,2025-03-03 15:30:00-05:00,20713.75,20377.122154876455,TP,336.62784512354483,5,-106.0,352.75,84.15696128088658,13,263.25,OOS,2025
2025-03-04,SHORT,2025-03-04 10:50:00-05:00,2025-03-04 12:30:00-05:00,20232.0,20396.0,SL_YELLOW,-164.0,5,-204.25,123.5,89.50555592084797,10,330.0,OOS,2025
2025-03-05,SHORT,2025-03-05 11:10:00-05:00,2025-03-05 14:10:00-05:00,20326.25,20685.0,SL_YELLOW,-358.75,9,-361.0,111.25,89.40600299248409,11,250.25,OOS,2025
2025-03-06,SHORT,2025-03-06 12:50:00-05:00,2025-03-06 16:10:00-05:00,20100.0,20130.0,FORCE_CLOSE,-30.0,10,-108.0,97.0,90.92012585684124,12,348.5,OOS,2025
2025-03-07,SHORT,2025-03-07 11:50:00-05:00,2025-03-07 14:30:00-05:00,19811.25,20252.25,SL_YELLOW,-441.0,8,-462.75,45.75,91.82590789070404,11,247.25,OOS,2025
2025-03-10,SHORT,2025-03-10 10:30:00-04:00,2025-03-10 14:10:00-04:00,19668.0,19402.67310014392,TP,265.3268998560816,11,-35.0,271.25,66.33172496402027,10,295.5,OOS,2025
2025-03-13,SHORT,2025-03-13 11:50:00-04:00,2025-03-13 16:10:00-04:00,19365.0,19299.75,FORCE_CLOSE,65.25,13,-31.25,195.0,84.60203301973932,11,293.25,OOS,2025
2025-03-14,LONG,2025-03-14 11:30:00-04:00,2025-03-14 16:10:00-04:00,19645.0,19666.0,FORCE_CLOSE,21.0,14,-40.5,97.5,64.34326803038714,11,236.75,OOS,2025
2025-03-17,LONG,2025-03-17 14:30:00-04:00,2025-03-17 16:10:00-04:00,20128.0,20021.75,FORCE_CLOSE,-106.25,5,-124.0,39.75,64.8891903408547,14,437.25,OOS,2025
2025-03-18,SHORT,2025-03-18 10:30:00-04:00,2025-03-18 16:10:00-04:00,19699.5,19728.75,FORCE_CLOSE,-29.25,17,-84.0,95.25,54.20734395038778,10,181.0,OOS,2025
2025-03-19,LONG,2025-03-19 10:50:00-04:00,2025-03-19 15:10:00-04:00,19829.0,20005.65831034099,TP,176.65831034099028,13,-60.0,300.25,44.164577585247315,10,137.5,OOS,2025
2025-03-24,LONG,2025-03-24 11:10:00-04:00,2025-03-24 16:10:00-04:00,20362.25,20369.0,FORCE_CLOSE,6.75,15,-54.0,47.25,34.64828496902703,11,235.5,OOS,2025
2025-03-25,LONG,2025-03-25 11:10:00-04:00,2025-03-25 16:10:00-04:00,20489.0,20505.0,FORCE_CLOSE,16.0,15,-87.0,21.0,34.711070926362254,11,154.5,OOS,2025
2025-03-26,SHORT,2025-03-26 10:30:00-04:00,2025-03-26 13:10:00-04:00,20285.0,20134.42308177093,TP,150.57691822907145,8,-35.5,160.25,37.64422955726814,10,107.25,OOS,2025
2025-03-28,SHORT,2025-03-28 10:50:00-04:00,2025-03-28 16:10:00-04:00,19616.0,19414.25,FORCE_CLOSE,201.75,16,-22.5,202.75,59.598318715030324,10,166.5,OOS,2025
2025-03-31,LONG,2025-03-31 15:10:00-04:00,2025-03-31 16:10:00-04:00,19392.25,19406.5,FORCE_CLOSE,14.25,3,-39.5,97.5,75.52425165303059,15,246.5,OOS,2025
2025-04-01,LONG,2025-04-01 11:50:00-04:00,2025-04-01 14:10:00-04:00,19595.75,19425.75,SL_YELLOW,-170.0,7,-174.75,48.25,67.5472123831699,11,227.75,OOS,2025
2025-04-02,LONG,2025-04-02 13:10:00-04:00,2025-04-02 16:10:00-04:00,19845.5,19741.75,FORCE_CLOSE,-103.75,9,-240.75,44.75,72.62360541646493,13,377.5,OOS,2025
2025-04-04,SHORT,2025-04-04 13:10:00-04:00,2025-04-04 16:10:00-04:00,17737.5,17521.75,FORCE_CLOSE,215.75,9,-175.5,294.0,163.77321599682864,13,892.25,OOS,2025
2025-04-07,LONG,2025-04-07 11:10:00-04:00,2025-04-07 16:10:00-04:00,17499.75,17699.75,FORCE_CLOSE,200.0,15,-350.0,324.25,288.2128040523468,11,818.0,OOS,2025
2025-04-08,LONG,2025-04-08 10:50:00-04:00,2025-04-08 13:10:00-04:00,18210.0,17582.75,SL_YELLOW,-627.25,7,-637.0,16.25,110.9016816583629,10,525.5,OOS,2025
2025-04-09,LONG,2025-04-09 13:10:00-04:00,2025-04-09 13:30:00-04:00,17568.25,18263.16195877414,TP,694.9119587741407,1,-147.75,1217.25,173.72798969353494,13,690.0,OOS,2025
2025-04-10,SHORT,2025-04-10 10:50:00-04:00,2025-04-10 12:30:00-04:00,18663.5,18136.20970570223,TP,527.2902942977707,5,-23.5,744.5,131.82257357444252,10,680.0,OOS,2025
2025-04-11,LONG,2025-04-11 15:30:00-04:00,2025-04-11 16:10:00-04:00,18829.75,18795.75,FORCE_CLOSE,-34.0,2,-52.25,28.25,141.38933971297553,15,728.0,OOS,2025
2025-04-14,SHORT,2025-04-14 12:30:00-04:00,2025-04-14 16:10:00-04:00,18815.75,18919.5,FORCE_CLOSE,-103.75,11,-279.25,43.75,96.6100440599169,12,324.5,OOS,2025
2025-04-15,LONG,2025-04-15 12:50:00-04:00,2025-04-15 16:10:00-04:00,19050.25,18975.5,FORCE_CLOSE,-74.75,10,-166.0,2.0,71.91805228429769,12,231.5,OOS,2025
2025-04-16,SHORT,2025-04-16 14:30:00-04:00,2025-04-16 16:10:00-04:00,18350.0,18387.75,SL_YELLOW,-37.75,5,-81.5,233.75,84.02489056113214,14,356.75,OOS,2025
2025-04-21,SHORT,2025-04-21 10:50:00-04:00,2025-04-21 16:10:00-04:00,17916.25,17916.5,SL_YELLOW,-0.25,16,-36.0,216.25,58.09750110186981,10,303.5,OOS,2025
2025-04-22,LONG,2025-04-22 10:30:00-04:00,2025-04-22 12:30:00-04:00,18279.75,18477.85844816118,TP,198.1084481611797,6,-35.75,234.25,49.527112040294824,10,307.75,OOS,2025
2025-04-23,LONG,2025-04-23 10:30:00-04:00,2025-04-23 11:50:00-04:00,19101.5,18815.25,SL_YELLOW,-286.25,4,-286.5,64.0,69.5945889133715,10,348.25,OOS,2025
2025-04-24,LONG,2025-04-24 10:30:00-04:00,2025-04-24 16:10:00-04:00,19140.25,19407.67953011759,TP,267.42953011759164,17,-53.0,277.75,66.85738252939758,10,282.25,OOS,2025
2025-04-28,SHORT,2025-04-28 12:10:00-04:00,2025-04-28 16:10:00-04:00,19296.75,19497.25,FORCE_CLOSE,-200.5,12,-282.0,39.5,67.60830816314798,12,177.25,OOS,2025
2025-04-29,LONG,2025-04-29 14:30:00-04:00,2025-04-29 16:10:00-04:00,19672.75,19635.0,FORCE_CLOSE,-37.75,5,-57.75,15.75,68.66514870301484,14,253.0,OOS,2025
2025-05-01,LONG,2025-05-01 11:30:00-04:00,2025-05-01 16:10:00-04:00,20078.0,19781.0,SL_YELLOW,-297.0,14,-320.75,5.75,54.009254196580294,11,230.75,OOS,2025
2025-05-02,LONG,2025-05-02 11:10:00-04:00,2025-05-02 16:10:00-04:00,20158.75,20217.75,FORCE_CLOSE,59.0,15,-31.5,118.0,54.616248335992836,11,391.75,OOS,2025
2025-05-07,SHORT,2025-05-07 14:50:00-04:00,2025-05-07 16:10:00-04:00,19777.25,19921.25,FORCE_CLOSE,-144.0,4,-276.25,31.5,70.9776723786351,14,334.25,OOS,2025
2025-05-08,LONG,2025-05-08 12:30:00-04:00,2025-05-08 16:10:00-04:00,20284.0,20174.25,FORCE_CLOSE,-109.75,11,-142.75,53.25,64.50596478647518,12,351.75,OOS,2025
2025-05-13,LONG,2025-05-13 10:50:00-04:00,2025-05-13 16:10:00-04:00,21207.25,21248.25,FORCE_CLOSE,41.0,16,-0.75,139.25,48.87270264676867,10,247.75,OOS,2025
2025-05-15,LONG,2025-05-15 12:30:00-04:00,2025-05-15 15:30:00-04:00,21443.5,21320.25,SL_YELLOW,-123.25,9,-139.75,86.25,48.779679723044694,12,220.0,OOS,2025
2025-05-19,LONG,2025-05-19 12:30:00-04:00,2025-05-19 16:10:00-04:00,21471.5,21486.75,FORCE_CLOSE,15.25,11,-28.0,73.0,51.41565472038608,12,305.5,OOS,2025
2025-05-20,SHORT,2025-05-20 15:10:00-04:00,2025-05-20 16:10:00-04:00,21340.0,21414.0,FORCE_CLOSE,-74.0,3,-112.0,8.5,44.18863887233285,15,168.5,OOS,2025
2025-05-21,LONG,2025-05-21 11:50:00-04:00,2025-05-21 13:30:00-04:00,21514.75,21203.5,SL_YELLOW,-311.25,5,-320.0,43.75,46.21189901480886,11,214.25,OOS,2025
2025-05-22,LONG,2025-05-22 12:30:00-04:00,2025-05-22 16:10:00-04:00,21269.0,21189.25,FORCE_CLOSE,-79.75,11,-103.0,68.5,66.18972062562185,12,203.5,OOS,2025
2025-05-27,LONG,2025-05-27 11:10:00-04:00,2025-05-27 16:10:00-04:00,21367.5,21470.25,FORCE_CLOSE,102.75,15,-3.0,121.0,41.36327769572561,11,218.25,OOS,2025
2025-05-29,SHORT,2025-05-29 10:50:00-04:00,2025-05-29 16:10:00-04:00,21477.5,21387.5,FORCE_CLOSE,90.0,16,-44.75,176.5,59.44441377660771,10,369.75,OOS,2025
2025-05-30,SHORT,2025-05-30 13:10:00-04:00,2025-05-30 16:10:00-04:00,21183.75,21359.25,FORCE_CLOSE,-175.5,9,-249.75,42.5,72.76637558361955,13,194.75,OOS,2025
2025-06-02,LONG,2025-06-02 11:10:00-04:00,2025-06-02 16:10:00-04:00,21366.25,21551.75,FORCE_CLOSE,185.5,15,-11.0,187.75,56.72595232796208,11,185.5,OOS,2025
2025-06-03,LONG,2025-06-03 10:30:00-04:00,2025-06-03 16:10:00-04:00,21621.25,21673.0,FORCE_CLOSE,51.75,17,-37.25,138.5,38.06769218453683,10,158.75,OOS,2025
2025-06-04,LONG,2025-06-04 13:50:00-04:00,2025-06-04 16:10:00-04:00,21777.25,21755.25,FORCE_CLOSE,-22.0,7,-34.5,25.75,38.53264995574628,13,111.75,OOS,2025
